ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Democrat,Republican,Richard V. Campagna/ Michael Badnarik,Patricia LaMarche/ David Cobb,Peter Miguel Camejo/ Ralph Nader,Margaret Trowe/ James Harris,Mary Alice Herbert/ Walter F. Brown,Scattering ,other.votes,Total.votes
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,2,Adams,1002,2,Wards 1 & 2,350,324,1,0,3,2,0,0,6,680
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,4,Big Flats,1004,2,,290,210,0,1,7,0,0,3,11,511
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,6,Colburn,1006,2,,64,54,0,0,0,0,0,0,0,118
02-Nov-04,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,Town,8,Dell Prairie,1008,2,Wards 1 & 2,411,356,2,1,2,0,0,0,5,772
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,10,Easton,1010,2,Wards 1 & 2,264,228,1,3,7,0,0,0,11,503
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,12,Jackson,1012,2,,256,294,1,1,2,0,0,0,4,554
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,14,Leola,1014,2,,55,94,0,0,0,0,0,0,0,149
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,16,Lincoln,1016,2,,99,88,0,1,1,0,0,0,2,189
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,18,Monroe,1018,2,,147,127,2,0,0,0,0,1,3,277
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,20,New Chester,1020,2,Wards 1 & 2,268,159,0,0,10,0,0,0,10,437
02-Nov-04,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,Town,22,New Haven,1022,2,,188,210,1,1,3,0,0,0,5,403
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,24,Preston,1024,2,Wards 1 - 3,396,297,0,0,6,0,0,0,6,699
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,26,Quincy,1026,2,Wards 1 & 2,419,287,0,0,7,0,0,3,10,716
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,28,Richfield,1028,2,,43,43,0,0,0,0,0,0,0,86
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,30,Rome,1030,2,Wards 1 - 5,848,1008,0,0,9,0,0,2,11,1867
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,32,Springville,1032,2,Wards 1 & 2,324,312,1,1,4,0,1,4,11,647
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,34,Strongs Prairie,1034,2,Wards 1 & 2,358,303,0,1,5,0,0,1,7,668
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Village,126,Friendship,1126,2,,175,142,0,0,6,0,1,1,8,325
02-Nov-04,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,City,201,Adams,1201,2,Wards 1 - 5,490,350,1,0,7,0,0,1,9,849
02-Nov-04,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,City,291,Wisconsin Dells,1291,2,Ward 5,2,4,0,0,0,0,0,0,0,6
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,2,Agenda,2002,2,,127,148,0,1,1,0,0,0,2,277
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,4,Ashland,2004,2,,211,110,0,0,4,0,0,0,4,325
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,6,Chippewa,2006,2,,127,97,0,1,0,0,0,0,1,225
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,8,Gingles,2008,2,Wards 1 & 2,349,125,2,0,0,0,0,0,2,476
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,10,Gordon,2010,2,,112,99,0,0,0,0,0,0,0,211
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,12,Jacobs,2012,2,,216,225,0,0,4,0,0,0,4,445
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,14,La Pointe,2014,2,,173,67,3,0,1,0,0,0,4,244
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,16,Marengo,2016,2,Wards 1 & 2,136,71,0,0,0,0,0,0,0,207
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,18,Morse,2018,2,Wards 1 & 2,165,138,1,0,1,0,0,0,2,305
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,20,Peeksville,2020,2,,45,62,0,0,3,0,0,0,3,110
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,22,Sanborn,2022,2,Wards 1 & 2,469,87,0,0,6,0,0,0,6,562
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,24,Shanagolden,2024,2,,48,37,0,0,2,0,0,0,2,87
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,26,White River,2026,2,Wards 1 - 3,214,257,0,0,2,0,0,0,2,473
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Village,106,Butternut,2106,2,Wards 1 & 2,132,75,0,0,0,0,0,0,0,207
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,27,Ward 1,271,231,3,0,1,0,0,0,4,506
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,28,Ward 2,256,99,1,0,0,0,0,0,1,356
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,29,Ward 3,251,144,0,2,2,0,0,0,4,399
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,30,Ward 4,264,190,0,0,1,0,0,0,1,455
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,31,Ward 5,266,153,0,0,1,0,0,0,1,420
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,32,Ward 6,253,120,2,0,3,0,0,0,5,378
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,33,Ward 7,377,130,3,2,8,0,0,0,13,520
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,34,Ward 8,262,133,1,1,5,0,0,0,7,402
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,35,Ward 9,241,109,0,1,2,0,0,0,3,353
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,36,Ward 10,268,143,0,0,3,0,0,0,3,414
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,37,Ward 11,298,115,1,0,1,0,1,0,3,416
02-Nov-04,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,251,Mellen,2251,2,Wards 1 - 3,274,148,0,0,4,0,0,0,4,426
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,2,Almena,3002,2,Wards 1 - 3,248,245,1,1,0,0,0,1,3,496
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,4,Arland,3004,2,,148,166,1,1,4,0,0,0,6,320
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,6,Barron,3006,2,Wards 1 & 2,141,318,1,1,0,0,0,3,5,464
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,8,Bear Lake,3008,2,,182,162,0,0,2,0,0,0,2,346
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,10,Cedar Lake,3010,2,,259,348,1,0,0,0,0,0,1,608
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,12,Chetek,3012,2,Wards 1 - 3,519,560,0,0,2,0,0,0,2,1081
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,14,Clinton,3014,2,Wards 1 & 2,172,221,0,0,2,0,0,3,5,398
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,16,Crystal Lake,3016,2,,248,204,0,0,3,0,0,0,3,455
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,18,Cumberland,3018,2,,268,253,1,0,3,1,0,0,5,526
02-Nov-04,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,20,Dallas,3020,2,Wards 1 & 2,135,167,0,1,6,0,0,0,7,309
02-Nov-04,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,22,Dovre,3022,2,,179,199,1,0,3,0,0,0,4,382
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,24,Doyle,3024,2,,117,158,1,0,1,0,0,0,2,277
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,26,Lakeland,3026,2,Wards 1 & 2,284,266,2,0,2,0,0,0,4,554
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,28,Maple Grove,3028,2,Wards 1 - 3,195,295,0,0,5,0,0,4,9,499
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,30,Maple Plain,3030,2,,250,222,0,0,0,1,0,0,1,473
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,32,Oak Grove,3032,2,Wards 1 & 2,264,219,2,1,2,0,0,0,5,488
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,34,Prairie Farm,3034,2,Wards 1 & 2,173,135,0,0,3,0,1,0,4,312
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,36,Prairie Lake,3036,2,Wards 1 & 2,390,420,2,0,5,0,0,0,7,817
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,38,Rice Lake,3038,2,Wards 1 - 4,767,882,2,1,7,0,0,2,12,1661
02-Nov-04,FALL,GENERAL,PRES,President,7,23,67,3,3,Barron,Town,40,Sioux Creek,3040,2,,143,202,0,1,3,0,0,0,4,349
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,42,Stanfold,3042,2,,190,163,3,0,2,0,0,0,5,358
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,44,Stanley,3044,2,Wards 1 - 3,549,777,1,1,4,0,0,0,6,1332
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,46,Sumner,3046,2,Wards 1 & 2,190,172,0,0,2,0,0,0,2,364
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,48,Turtle Lake,3048,2,,170,134,0,0,1,0,0,1,2,306
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Town,50,Vance Creek,3050,2,,173,169,0,0,1,0,0,0,1,343
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,101,Almena,3101,2,,151,150,2,0,3,0,0,0,5,306
02-Nov-04,FALL,GENERAL,PRES,President,7,25,75,3,3,Barron,Village,111,Cameron,3111,2,Wards 1 & 2,368,403,1,0,4,0,0,2,7,778
