ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTYNO,COUNTY,MUNICIPALITY_TYPE,MUNICIPALITYNO,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Joe Biden Barack Obama,Sarah Palin John McCain,Rosa Clemente Cynthia McKinney,Wayne A. Root Bob Barr,Stewart A. Alexander Brian Moore,Robert Moses Gloria LaRiva,Matt Gonzalez Ralph Nader,Darrell L. Castle Chuck Baldwin,David J. Klimisch Jeffrey J. Wamboldt,Scattering 
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,2,Adams,1002,2,Wards 1 & 2,405,235,1,4,0,0,7,6,2,3
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,4,Big Flats,1004,2,,314,169,0,1,0,0,7,1,1,3
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,6,Colburn,1006,2,,67,54,2,0,0,0,4,2,0,0
04-Nov-08,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,Town,8,Dell Prairie,1008,2,Wards 1 & 2,446,345,0,2,0,0,3,1,0,4
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,10,Easton,1010,2,Wards 1 & 2,269,184,2,6,0,0,6,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,12,Jackson,1012,2,,293,220,2,1,0,0,1,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,14,Leola,1014,2,,51,95,1,1,0,0,1,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,16,Lincoln,1016,2,,86,73,0,2,0,0,1,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,18,Monroe,1018,2,,149,107,1,0,0,0,0,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,20,New Chester,1020,2,Wards 1 & 2,268,132,0,0,0,0,2,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,Town,22,New Haven,1022,2,,238,142,0,1,0,0,0,1,1,2
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,24,Preston,1024,2,Wards 1 - 3,421,233,1,1,0,0,5,5,0,0
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,26,Quincy,1026,2,Wards 1 & 2,428,205,1,0,0,0,3,4,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,28,Richfield,1028,2,,50,26,0,0,0,0,0,6,0,0
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,30,Rome,1030,2,Wards 1 - 5,903,920,0,7,0,0,15,1,1,6
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,32,Springville,1032,2,Wards 1 & 2,308,240,1,1,0,0,5,3,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Town,34,Strongs Prairie,1034,2,Wards 1 & 2,372,250,0,0,0,0,2,0,0,3
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,Village,126,Friendship,1126,2,,192,103,1,0,0,0,4,2,0,1
04-Nov-08,FALL,GENERAL,PRES,President,6,24,72,4,1,Adams,City,201,Adams,1201,2,Wards 1 - 5,539,229,3,0,0,0,10,5,1,5
04-Nov-08,FALL,GENERAL,PRES,President,6,14,42,4,1,Adams,City,291,Wisconsin Dells,1291,2,Ward 5,7,12,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,2,Agenda,2002,2,,120,127,0,2,0,0,4,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,4,Ashland,2004,2,,200,91,0,1,0,0,7,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,6,Chippewa,2006,2,,116,83,0,1,1,0,0,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,8,Gingles,2008,2,Wards 1 & 2,279,131,0,0,0,0,3,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,10,Gordon,2010,2,,129,76,1,2,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,12,Jacobs,2012,2,,244,174,0,0,0,0,2,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,14,La Pointe,2014,2,,190,57,0,0,0,0,3,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,16,Marengo,2016,2,Wards 1 & 2,143,62,0,1,0,0,1,1,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,18,Morse,2018,2,Wards 1 & 2,174,112,2,0,0,0,1,0,1,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,20,Peeksville,2020,2,,47,48,0,2,0,0,3,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,22,Sanborn,2022,2,Wards 1 & 2,447,57,0,1,0,0,0,0,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,24,Shanagolden,2024,2,,44,41,0,0,0,0,1,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Town,26,White River,2026,2,Wards 1 - 3,220,243,1,0,0,0,3,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,Village,106,Butternut,2106,2,Wards 1 & 2,128,57,0,0,0,0,0,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,1,Ward 1,278,199,1,0,0,0,0,0,1,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,2,Ward 2,236,76,1,2,0,0,3,1,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,3,Ward 3,265,104,0,0,0,0,2,0,0,0
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,4,Ward 4,276,152,0,0,0,0,4,1,0,1
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,5,Ward 5,300,101,1,0,0,0,1,0,0,2
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,6,Ward 6,254,79,0,1,0,0,4,1,0,3
04-Nov-08,FALL,GENERAL,PRES,President,7,25,74,3,2,Ashland,City,201,Ashland,2201,7,Ward 7,386,87,4,2,0,0,5,1,0,1
