G.A.B. Canvass Reporting System,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ward by Ward Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2014 GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GOVERNOR/LIEUTENANT GOVERNOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Total Votes Cast,DEM,REP,IND,IND,,IND,REP,CON,IND,IND,REP,
,,,"MARY BURKE
JOHN LEHMAN","SCOTT WALKER
REBECCA KLEEFISCH","DENNIS FEHR
No Candidate","ROBERT BURKE
JOSEPH M. BROST",,MARY JO WALTERS (WRITE-IN),STEVE R. EVANS (WRITE-IN),JUMOKA A. JOHNSON (WRITE-IN),BRETT D HULSEY (WRITE-IN),JESSICA NICOLE PERRY (WRITE-IN),SUSAN P. RESCH (WRITE-IN),SCATTERING
ADAMS ,TOWN OF ADAMS Wards 1-3,500,233,258,1,8,,0,0,0,0,0,0,0
,TOWN OF BIG FLATS WARDS 1 & 2,402,187,205,3,6,,0,0,0,0,0,1,0
,TOWN OF COLBURN WARD 1,104,43,59,1,0,,0,0,0,0,0,0,1
,TOWN OF DELL PRAIRIE WARDS 1-3,673,310,359,3,1,,0,0,0,0,0,0,0
,TOWN OF EASTON WARDS 1 & 2,389,171,209,0,9,,0,0,0,0,0,0,0
,TOWN OF JACKSON WARDS 1 & 2,462,214,241,1,6,,0,0,0,0,0,0,0
,TOWN OF LEOLA WARD 1,122,33,88,1,0,,0,0,0,0,0,0,0
,TOWN OF LINCOLN Ward 1,143,72,69,2,0,,0,0,0,0,0,0,0
,TOWN OF MONROE WARD 1,216,101,114,1,0,,0,0,0,0,0,0,0
,TOWN OF NEW CHESTER WARD 1-3,304,147,153,1,3,,0,0,0,0,0,0,0
,TOWN OF NEW HAVEN WARD 1,297,145,143,2,7,,0,0,0,0,0,0,0
,TOWN OF PRESTON WARDS 1 & 2,533,263,261,2,7,,0,0,0,0,0,0,0
,TOWN OF QUINCY WARDS 1-3,509,245,256,4,4,,0,0,0,0,0,0,0
,TOWN OF RICHFIELD WARD 1,72,27,41,2,2,,0,0,0,0,0,0,0
,TOWN OF ROME Wards 1-5,"1,662",716,929,4,13,,0,0,0,0,0,0,0
,TOWN OF SPRINGVILLE WARDS 1 & 2,495,196,293,0,6,,0,0,0,0,0,0,0
,TOWN OF STRONGS PRAIRIE Wards 1-3,509,231,272,2,4,,0,0,0,0,0,0,0
,VILLAGE OF FRIENDSHIP WARD 1,217,122,92,0,3,,0,0,0,0,0,0,0
,CITY OF ADAMS WARDS 1 - 4,565,298,252,6,9,,0,0,0,0,0,0,0
,CITY OF WISCONSIN DELLS WARDS 5 & 9,11,8,3,0,0,,0,0,0,0,0,0,0
,County Totals:,"8,185","3,762","4,297",36,88,,0,0,0,0,0,1,1
ASHLAND ,TOWN OF AGENDA Ward 1,197,77,117,0,3,,0,0,0,0,0,0,0
,TOWN OF ASHLAND Ward 1,260,171,89,0,0,,0,0,0,0,0,0,0
,TOWN OF CHIPPEWA Ward 1,167,67,96,2,2,,0,0,0,0,0,0,0
,TOWN OF GINGLES Ward 1,357,232,119,2,4,,0,0,0,0,0,0,0
,TOWN OF GORDON Wards 1-2,125,57,68,0,0,,0,0,0,0,0,0,0
,TOWN OF JACOBS Ward 1,276,140,132,1,3,,0,0,0,0,0,0,0
,TOWN OF LA POINTE Ward 1,232,178,52,0,2,,0,0,0,0,0,0,0
,TOWN OF MARENGO Wards 1-2,190,115,74,1,0,,0,0,0,0,0,0,0
,TOWN OF MORSE Wards 1-3,248,140,106,1,1,,0,0,0,0,0,0,0
,TOWN OF PEEKSVILLE Wards 1-2,83,38,44,1,0,,0,0,0,0,0,0,0
,TOWN OF SANBORN Wards 1-2,406,352,50,2,2,,0,0,0,0,0,0,0
,TOWN OF SHANAGOLDEN Wards 1,55,27,28,0,0,,0,0,0,0,0,0,0
