G.A.B. Canvass Reporting System,,,,,,,
,,,,,,,
Ward by Ward Report,,,,,,,
,,,,,,,
2014 GENERAL ELECTION,,,,,,,
,,,,,,,
CONGRESSIONAL - DISTRICT 1,,,,,,,
,,,,,,,
,,Total Votes Cast,DEM,REP,IND,,
,,,ROB  ZERBAN,PAUL RYAN,KEITH R. DESCHLER (WRITE-IN),SCATTERING,
KENOSHA ,TOWN OF BRIGHTON Wards 1-4,713,176,536,0,1,
,TOWN OF PARIS Wards 1 & 2,793,230,563,0,0,
,TOWN OF RANDALL Wards 1 - 7,"1,219",366,849,0,4,
,TOWN OF SALEM Wards 1 - 5 & 10,"2,254",700,"1,553",0,1,
,TOWN OF SALEM Wards 6 - 9,"1,740",558,"1,181",0,1,
,TOWN OF SOMERS Wards 1-4,"1,284",528,755,0,1,
,"TOWN OF SOMERS Wards 5-6, 9, 12","1,043",472,571,0,0,
,TOWN OF SOMERS Wards 7-8,454,246,208,0,0,
,"TOWN OF SOMERS Wards 10, 13",729,267,462,0,0,
,TOWN OF SOMERS Ward 11,274,114,160,0,0,
,TOWN OF WHEATLAND Wards 1-6,"1,375",390,985,0,0,
,"VILLAGE OF BRISTOL WARDS 1,2,3 & 8","1,174",296,877,0,1,
,VILLAGE OF BRISTOL WARDS 4-7,966,298,668,0,0,
,VILLAGE OF GENOA CITY Ward 5,0,0,0,0,0,
,VILLAGE OF PADDOCK LAKE WARDS 1 - 6,"1,083",370,711,0,2,
,VILLAGE OF PLEASANT PRAIRIE Wards 1-3,"2,033",838,"1,193",0,2,
,VILLAGE OF PLEASANT PRAIRIE Wards 4-5,"1,031",418,611,0,2,
,VILLAGE OF PLEASANT PRAIRIE Wards 6-7,"1,375",633,740,0,2,
,VILLAGE OF PLEASANT PRAIRIE Wards 8-11,"1,877",581,"1,294",0,2,
,VILLAGE OF PLEASANT PRAIRIE Wards 12-14,"1,751",692,"1,059",0,0,
,VILLAGE OF SILVER LAKE Wards 1-3,"1,122",372,748,0,2,
,VILLAGE OF TWIN LAKES Wards 1 - 8,"1,811",623,"1,182",1,5,
,CITY OF KENOSHA WARD01,355,203,152,0,0,
,CITY OF KENOSHA WARD02,394,218,176,0,0,
,CITY OF KENOSHA WARD03,119,72,47,0,0,
,CITY OF KENOSHA WARD04,607,388,219,0,0,
,CITY OF KENOSHA WARD05,299,188,110,0,1,
,CITY OF KENOSHA WARD06,326,202,123,0,1,
,CITY OF KENOSHA WARD07,217,161,55,0,1,
,CITY OF KENOSHA WARD08,643,393,248,0,2,
,CITY OF KENOSHA WARD09,267,163,104,0,0,
,CITY OF KENOSHA WARD10,238,160,77,0,1,
,CITY OF KENOSHA WARD11,266,195,71,0,0,
,CITY OF KENOSHA WARD12,407,239,168,0,0,
,CITY OF KENOSHA WARD13,575,260,314,0,1,
,CITY OF KENOSHA WARD14,409,210,197,0,2,
,CITY OF KENOSHA WARD15,664,388,275,0,1,
,CITY OF KENOSHA WARD16,286,168,118,0,0,
,CITY OF KENOSHA WARD17,141,89,52,0,0,
,CITY OF KENOSHA WARD18,508,307,200,0,1,
,CITY OF KENOSHA WARD19,191,125,66,0,0,
,CITY OF KENOSHA WARD20,441,235,206,0,0,
,CITY OF KENOSHA WARD21,140,63,77,0,0,
,CITY OF KENOSHA WARD22,962,447,514,0,1,
,CITY OF KENOSHA WARD23,232,125,107,0,0,
,CITY OF KENOSHA WARD24,500,298,201,0,1,
,CITY OF KENOSHA WARD25,590,349,241,0,0,
,CITY OF KENOSHA WARD26,228,149,77,0,2,
,CITY OF KENOSHA WARD27,348,231,117,0,0,
,CITY OF KENOSHA WARD28,175,122,52,0,1,
,CITY OF KENOSHA WARD29,254,174,79,0,1,
,CITY OF KENOSHA WARD30,178,122,55,0,1,
,CITY OF KENOSHA WARD31,509,300,208,0,1,
,CITY OF KENOSHA WARD32,184,127,57,0,0,
,CITY OF KENOSHA WARD33,9,6,3,0,0,
,CITY OF KENOSHA WARD34,292,159,132,0,1,
,CITY OF KENOSHA WARD35,580,327,250,0,3,
,CITY OF KENOSHA WARD36,149,109,40,0,0,
,CITY OF KENOSHA WARD37,509,319,190,0,0,
,CITY OF KENOSHA WARD38,787,416,371,0,0,
,CITY OF KENOSHA WARD39,437,222,214,0,1,
,CITY OF KENOSHA WARD40,187,121,66,0,0,
,CITY OF KENOSHA WARD41,334,201,132,0,1,
,CITY OF KENOSHA WARD42,202,116,86,0,0,
,CITY OF KENOSHA WARD43,579,300,279,0,0,
,CITY OF KENOSHA WARD44,391,176,215,0,0,
,CITY OF KENOSHA WARD45,231,121,110,0,0,
,CITY OF KENOSHA WARD46,269,197,72,0,0,
,CITY OF KENOSHA WARD47,141,76,64,0,1,
,CITY OF KENOSHA WARD48,180,123,57,0,0,
,CITY OF KENOSHA WARD49,166,99,67,0,0,
,CITY OF KENOSHA WARD50,336,209,127,0,0,
,CITY OF KENOSHA WARD51,223,120,103,0,0,
,CITY OF KENOSHA WARD52,564,349,214,0,1,
,CITY OF KENOSHA WARD53,192,85,107,0,0,
,CITY OF KENOSHA WARD54,609,295,314,0,0,
,CITY OF KENOSHA WARD55,279,154,125,0,0,
,CITY OF KENOSHA WARD56,354,183,167,0,4,
,CITY OF KENOSHA WARD57,611,315,296,0,0,
,CITY OF KENOSHA WARD58,39,17,22,0,0,
,CITY OF KENOSHA WARD59,751,381,369,0,1,
,CITY OF KENOSHA WARD60,592,289,302,0,1,
,CITY OF KENOSHA WARD61,314,154,159,0,1,
,CITY OF KENOSHA WARD62,593,304,288,0,1,
,CITY OF KENOSHA WARD63,357,179,177,0,1,
,CITY OF KENOSHA WARD64,523,221,301,0,1,
,CITY OF KENOSHA WARD65,16,10,6,0,0,
,CITY OF KENOSHA WARD66,942,462,480,0,0,
,CITY OF KENOSHA WARD67,544,261,283,0,0,
,CITY OF KENOSHA WARD68,310,154,156,0,0,
,CITY OF KENOSHA WARD69,59,26,33,0,0,
