HINDI,County,Municipality,Reporting Unit,Registrants,Late Registrants,Election Day Registrants,Total Ballots,Total Voters,Paper Ballots,Optical Scan Ballots,DRE,Ballot Marking Device,Ballots Counted At,Total Election Inspectors,Split Shifts?,Difficulty Obtaining?,16-17,18-25,26-40,41-60,61-70,71+,Polling Place Name,Shared?,Provisional - Identification,Provisional - No DL,Counted,Rejected,Absentee Issued,Absentee In-Person,Absentee Not Returned,Absentee Undeliverable,Received by Election Day?,Counted?,Rejected2,Late (Received after the election),FWAB Received,FWAB Counted,FWAB Rejected,FWAB Late,Military Issued,Military Sent but not returned?,Military Undeliverable,Military Received by Election Day?,Military Counted,Military Rejected,Military Late,Overseas Issued,Overseas Sent but not returned?,Overseas Undeliverable,Overseas Received by Election Day?,Overseas Counted,Overseas Rejected,Overseas Late
1002,ADAMS COUNTY,TOWN OF ADAMS,Wards 1-3,737,6,72,623,623,623,0,0,0,Polling Place,14,Yes,3 Neither difficult nor easy,0,0,0,1,11,2,TOWN HALL,No,0,0,0,0,64,29,6,0,57,57,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0
1004,ADAMS COUNTY,TOWN OF BIG FLATS,Ward 1-2,570,0,76,493,493,54,0,439,0,Polling Place,2,Yes,5 Very easy,0,0,0,0,5,3,TOWN HALL,Yes,0,0,0,0,35,34,1,0,34,34,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
1006,ADAMS COUNTY,TOWN OF COLBURN,Ward 1,146,0,11,131,131,13,0,118,0,Polling Place,6,Yes,3 Neither difficult nor easy,0,0,0,0,6,0,COLBURN TOWN HALL,No,0,0,0,0,6,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,ADAMS COUNTY,TOWN OF DELL PRAIRIE,Ward 1-3,1009,8,126,833,836,833,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,2,0,3,TOWN OF DELL PRAIRIE,No,0,0,0,0,72,37,1,0,70,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,ADAMS COUNTY,TOWN OF EASTON,Wards 1-2,582,0,76,524,524,214,0,310,0,Polling Place,10,Yes,1 Very difficult,0,0,0,1,4,5,TOWN OF EASTON,No,1,0,0,0,29,26,0,0,29,29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1012,ADAMS COUNTY,TOWN OF JACKSON,Ward 1-2,675,4,53,569,569,569,0,0,0,Polling Place,11,Yes,3 Neither difficult nor easy,0,0,0,3,6,2,JACKSON TOWN HALL,Yes,0,0,0,0,48,18,0,0,48,48,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
1014,ADAMS COUNTY,TOWN OF LEOLA,Ward 1,160,0,15,138,138,138,0,0,0,Polling Place,2,Yes,2 Somewhat difficult,0,0,0,2,2,4,JACKSON TOWN HALL,No,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,ADAMS COUNTY,TOWN OF LINCOLN,Ward 1,223,0,21,182,182,2,0,161,0,Polling Place,2,Yes,2 Somewhat difficult,0,0,0,1,1,0,Lincoln Town Hall,No,0,0,0,0,19,3,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,ADAMS COUNTY,TOWN OF MONROE,Ward 1,276,1,21,240,240,43,0,197,0,Polling Place,5,No,2 Somewhat difficult,0,0,0,1,1,4,MONROE TOWN HALL,No,0,0,0,0,20,8,0,0,20,20,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0
1020,ADAMS COUNTY,TOWN OF NEW CHESTER,Ward 1-3,489,7,52,404,404,150,0,254,0,Polling Place,7,Yes,5 Very easy,0,0,0,3,3,1,NEW CHESTER TOWN HALL,No,0,0,0,0,21,5,1,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,ADAMS COUNTY,TOWN OF NEW HAVEN,Ward 1,418,2,27,344,344,108,0,236,0,Polling Place,10,Yes,5 Very easy,0,0,0,1,5,4,NEW HAVEN TOWN HALL,No,0,0,0,0,34,8,1,0,33,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,ADAMS COUNTY,TOWN OF PRESTON,Ward 1-2,758,39,73,707,707,707,0,0,0,Polling Place,6,Yes,2 Somewhat difficult,0,0,2,0,1,3,PRESTON TOWN HALL,No,0,0,0,0,81,78,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,ADAMS COUNTY,TOWN OF QUINCY,Ward 1-3,769,2,59,660,660,660,0,0,0,Polling Place,5,Yes,5 Very easy,0,0,0,1,4,3,Quincy Town Hall,No,2,2,0,0,107,69,1,0,106,106,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
1028,ADAMS COUNTY,TOWN OF RICHFIELD,Ward 1,97,0,9,87,87,87,0,0,0,Polling Place,4,Yes,2 Somewhat difficult,0,0,0,2,1,1,RICHFIELD TOWN HALL,No,0,0,0,0,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,ADAMS COUNTY,TOWN OF ROME,Ward 1-5,2259,67,115,1980,1980,0,1980,0,0,Polling Place,7,Yes,1 Very difficult,0,0,0,2,3,2,,No,1,0,1,0,756,623,7,1,743,743,0,0,0,0,0,0,5,3,0,2,2,0,0,1,0,0,1,1,0,0
1032,ADAMS COUNTY,TOWN OF SPRINGVILLE,Ward 1-2,700,14,109,657,657,657,0,0,0,Polling Place,7,Yes,3 Neither difficult nor easy,0,0,0,2,4,1,SPRINGVILLE TOWN HALL,No,0,0,0,0,59,30,0,0,59,59,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1034,ADAMS COUNTY,TOWN OF STRONGS PRAIRIE,Wards 1-3,720,8,73,615,615,56,0,559,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,1,2,3,TOWNHALL,No,0,0,0,0,49,31,1,0,48,48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1126,ADAMS COUNTY,VILLAGE OF FRIENDSHIP,Ward 1,342,19,40,286,286,286,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,1,4,0,FRIENDSHIP VILLAGE HALL,No,0,0,0,0,57,45,0,0,57,57,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1201,ADAMS COUNTY,CITY OF ADAMS,Ward 1-4,957,15,115,760,760,0,760,0,0,Polling Place,17,Yes,4 Somewhat easy,0,0,0,4,9,4,Adams Municipal Building,No,0,0,0,0,127,47,10,0,118,118,0,0,0,0,0,0,2,0,0,2,2,0,0,2,1,0,1,1,0,0
1291,ADAMS COUNTY,CITY OF WISCONSIN DELLS,"Wards 5,9",20,0,5,22,22,0,22,0,0,Polling Place,9,No,3 Neither difficult nor easy,0,0,0,1,5,3,WI Dells Municipal Bldg,No,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,ASHLAND COUNTY,TOWN OF AGENDA,Ward 1,258,0,24,230,230,230,0,0,0,Polling Place,3,No,4 Somewhat easy,0,0,0,0,2,1,Agenda Town Hall,No,0,0,0,0,14,8,1,0,14,14,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2004,ASHLAND COUNTY,TOWN OF ASHLAND,Ward 1,359,0,18,315,315,315,0,0,0,Polling Place,3,No,3 Neither difficult nor easy,0,0,1,2,0,0,Highbridge Town Hall,No,0,0,0,0,28,21,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2006,ASHLAND COUNTY,TOWN OF CHIPPEWA,Ward 1,234,0,29,214,214,140,0,0,74,Polling Place,3,No,3 Neither difficult nor easy,0,0,0,1,1,1,Chippewa Town Hall,No,0,0,0,0,14,10,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ASHLAND COUNTY,TOWN OF GINGLES,Ward 1,497,1,47,433,433,432,0,0,1,Polling Place,5,No,2 Somewhat difficult,0,0,0,0,4,1,Gingles Town Hall,No,0,0,0,0,29,16,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,ASHLAND COUNTY,TOWN OF GORDON,Wards 1-2,173,1,13,151,151,151,0,0,0,Polling Place,4,Yes,4 Somewhat easy,0,0,0,1,0,3,Gordon Town Hall,No,0,0,0,0,12,0,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ASHLAND COUNTY,TOWN OF JACOBS,Ward 1,426,0,31,340,340,334,0,0,6,Polling Place,3,No,3 Neither difficult nor easy,0,0,1,0,1,1,Jacobs Town Halls,No,0,0,0,0,16,11,0,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ASHLAND COUNTY,TOWN OF LA POINTE,Ward 1,313,1,4,247,247,247,0,0,0,Polling Place,6,Yes,2 Somewhat difficult,0,0,1,4,1,0,EMS Building,No,0,0,0,0,70,46,3,0,67,66,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0
2016,ASHLAND COUNTY,TOWN OF MARENGO,Wards 1-2,253,0,10,212,212,207,0,0,5,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,4,1,0,Marengo Town Hall,No,0,0,0,0,13,4,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ASHLAND COUNTY,TOWN OF MORSE,Wards 1-3,356,0,14,303,303,303,0,0,0,Polling Place,6,Yes,3 Neither difficult nor easy,0,0,1,0,1,4,Morse Town Hall,No,0,0,0,0,36,16,2,0,34,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,ASHLAND COUNTY,TOWN OF PEEKSVILLE,Wards 1-2,122,0,4,95,95,95,0,0,0,Polling Place,3,Yes,2 Somewhat difficult,0,1,1,0,0,1,Peeksville Town Hall,No,0,0,0,0,6,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,ASHLAND COUNTY,TOWN OF SANBORN,Wards 1-2,674,0,56,502,502,502,0,0,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,2,3,1,0,Sanborn Town Hall,No,0,0,0,0,13,10,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,ASHLAND COUNTY,TOWN OF SHANAGOLDEN,Ward 1,86,0,1,67,67,57,0,0,10,Polling Place,3,No,2 Somewhat difficult,0,0,0,0,2,1,Shanagolden Town Hall,No,0,0,0,0,12,2,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,ASHLAND COUNTY,TOWN OF WHITE RIVER,Wards 1-2,533,0,41,468,468,468,0,0,0,Polling Place,3,No,2 Somewhat difficult,0,0,0,1,2,0,White River Town Hall,No,0,0,0,0,21,9,0,0,21,21,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2106,ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Wards 1-2,182,0,27,180,179,166,0,0,13,Polling Place,5,Yes,5 Very easy,0,0,1,1,0,3,Village Of Butternut Hall,No,0,0,0,0,19,8,1,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 6,400,11,62,311,311,311,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,1,3,1,Senior Community Center,Yes,0,0,0,0,65,49,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 7,618,11,114,477,476,476,0,0,0,Polling Place,7,Yes,1 Very difficult,0,0,0,0,6,1,BRETTING CENTER,Yes,1,0,0,1,56,35,1,0,55,55,0,0,0,0,0,0,2,1,0,1,1,0,0,6,0,0,5,5,0,1
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 3,373,4,37,323,323,323,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,2,3,National Guard Armory,Yes,0,0,0,0,93,46,7,0,86,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 4,510,7,43,451,452,452,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,3,2,National Guard Armory,Yes,0,0,0,0,88,73,0,0,88,88,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 5,466,8,42,398,398,398,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,2,3,National Guard Armory,Yes,0,0,0,0,90,73,0,0,90,90,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,3,3,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 2,374,6,53,271,271,271,0,0,0,Polling Place,7,Yes,1 Very difficult,0,0,0,0,6,1,Senior Center,Yes,2,2,1,1,64,28,6,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 1,557,6,41,480,481,481,0,0,0,Polling Place,7,Yes,1 Very difficult,0,0,0,0,3,4,National Guard Armory,Yes,0,0,0,0,90,52,3,0,87,85,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 8,414,9,40,318,318,318,0,0,0,Polling Place,5,Yes,1 Very difficult,0,0,0,0,1,4,BRETTING CENTER,Yes,0,0,0,0,56,38,2,0,54,54,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
