"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-BRIGHTON-WARDS-1-3-KENOSHA","30002","TOWN-OF-BRIGHTON-WARDS-1-3-KENOSHA","Town of Brighton Wards 1 - 3","KENOSHA","TOWN OF BRIGHTON KENOSHA",77.1156138259833,22.5268176400477,0.357568533969011,0.83625730994152,0,1,0.134032634032634,0,0,0,0.0750487329434698,858,1026,0.0256410256410256,839,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,1384,40550,4.06147091108672,16.871921182266,98.0491329479769,0.289017341040462,2.89017341040462,50.1445086705202,50.3,2.27,272.668915433416
"TOWN-OF-BRISTOL-WARDS-1-4-8-KENOSHA","30004","TOWN-OF-BRISTOL-WARDS-1-4-8-KENOSHA","Town of Bristol Wards 1 - 4 & 8","KENOSHA","TOWN OF BRISTOL KENOSHA",74.0094022834117,24.3787777031565,1.61182001343183,0.716037735849057,0,0.0797101449275362,0.254281949934124,0,0,0,0.0820754716981132,1518,2120,0.0566534914361001,1489,1,3.3,6.41656887046849,611.9,NA,NA,NA,54930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOWN-OF-PARIS-WARDS-1-2-KENOSHA","30006","TOWN-OF-PARIS-WARDS-1-2-KENOSHA","Town of Paris Wards 1 & 2","KENOSHA","TOWN OF PARIS KENOSHA",75.3100338218715,23.2243517474634,1.46561443066516,0.800881057268722,0,0.127612761276128,0.121012101210121,0,0.0011001100110011,0,0.0422907488986784,909,1135,0.0275027502750275,887,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,1764,32536,7.45573159366263,18.3425414364641,98.015873015873,0,3.57142857142857,53.7414965986395,46.1,2.8,38.1170641395578
"TOWN-OF-RANDALL-WARDS-1-5-KENOSHA","30010","TOWN-OF-RANDALL-WARDS-1-5-KENOSHA","Town of Randall Wards 1 - 5","KENOSHA","TOWN OF RANDALL KENOSHA",67.6416819012797,30.5301645338208,1.82815356489945,0.788327929597036,0.0334900117508813,0.964747356051704,0.216216216216216,57,0.000587544065804935,0,0.0838351088466883,1702,2159,0.0141010575793184,1641,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,3241,33443,5.93585447582575,20.7597645799893,96.9762419006479,0.246837395865474,1.78957112002468,50.3548287565566,46.1,2.6,373.539592495019
"TOWN-OF-SALEM-WARDS-1-3-5-7-11-15-KENOSHA","30012","TOWN-OF-SALEM-WARDS-1-3-5-7-11-15-KENOSHA","Town of Salem Wards 1 - 3 5 - 7 11 - 15","KENOSHA","TOWN OF SALEM KENOSHA",66.7476465229274,31.7036137260856,1.54873975098694,0.706864176924682,0.344155844155844,1,0.405844155844156,1166,0.0185950413223141,0.00177095631641086,0.14896724389735,3388,4793,0.0460448642266824,3293,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,12153,28688,7.36173393124066,16.4662611401896,98.1321484407142,0.444334732164898,4.95350942154201,49.0743026413231,40.3,2.74,3423.01698774274
"TOWN-OF-SALEM-WARDS-4-8-10-KENOSHA","30012","TOWN-OF-SALEM-WARDS-4-8-10-KENOSHA","Town of Salem Wards 4 8 - 10","KENOSHA","TOWN OF SALEM KENOSHA",64.4456289978678,33.1556503198294,2.39872068230277,0.719408502772643,0.301644398766701,0.698355601233299,0.303699897225077,587,0.0236382322713258,0,0.113863216266174,1946,2705,0.0436793422404933,1876,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,12153,28688,7.36173393124066,16.4662611401896,98.1321484407142,0.444334732164898,4.95350942154201,49.0743026413231,40.3,2.74,3423.01698774274
"TOWN-OF-SOMERS-WARDS-1-4-KENOSHA","30014","TOWN-OF-SOMERS-WARDS-1-4-KENOSHA","Town of Somers Wards 1 - 4","KENOSHA","TOWN OF SOMERS KENOSHA",64.838337182448,33.6605080831409,1.50115473441109,0.727048167970358,0,1,0.345979614949037,0,0.00113250283125708,0.00113250283125708,0.0815150267599835,1766,2429,0.0385050962627407,1732,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,9475,28021,8.97887323943662,27.1006655574043,90.2585751978892,3.89445910290237,8.49604221635884,48.0949868073879,40,2.47,2762.96169295074
"TOWN-OF-SOMERS-WARDS-5-6-12-KENOSHA","30014","TOWN-OF-SOMERS-WARDS-5-6-12-KENOSHA","Town of Somers Wards 5 6 & 12","KENOSHA","TOWN OF SOMERS KENOSHA",54.002624671916,43.3070866141732,2.69028871391076,0.956030897207368,0,0.999378495960224,0.399005593536358,0,0.00124300807955252,0,0.20736779560309,1609,1683,0.0882535736482287,1524,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,9475,28021,8.97887323943662,27.1006655574043,90.2585751978892,3.89445910290237,8.49604221635884,48.0949868073879,40,2.47,2762.96169295074
"TOWN-OF-SOMERS-WARDS-9-11-KENOSHA","30014","TOWN-OF-SOMERS-WARDS-9-11-KENOSHA","Town of Somers Wards 9 - 11","KENOSHA","TOWN OF SOMERS KENOSHA",61.9507908611599,36.9947275922671,1.05448154657293,0.747597693786035,0,1,0.377892030848329,0,0,0,0.0653427290198591,1167,1561,0.038560411311054,1138,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,9475,28021,8.97887323943662,27.1006655574043,90.2585751978892,3.89445910290237,8.49604221635884,48.0949868073879,40,2.47,2762.96169295074
"TOWN-OF-WHEATLAND-WARDS-1-5-KENOSHA","30016","TOWN-OF-WHEATLAND-WARDS-1-5-KENOSHA","Town of Wheatland Wards 1 - 5","KENOSHA","TOWN OF WHEATLAND KENOSHA",71.037296037296,27.0979020979021,1.86480186480186,0.904179408766565,0.00450958286358512,0.995490417136415,0.187711386696731,8,0,0,0.0932721712538226,1774,1962,0.0467869222096956,1716,1,3.3,6.41656887046849,611.9,"aNone","ES&S DS200","ES&S ExpressVote",54930,3373,28960,4.77815699658703,12.7612761276128,93.536910761933,2.22353987548177,4.00237177586718,51.1117699377409,40.8,2.72,390.045256101464
