"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"CITY-OF-ADAMS-WARDS-14-ADAMS","01201","CITY-OF-ADAMS-WARDS-14-ADAMS","CITY OF ADAMS WARDS 1-4","ADAMS","CITY OF ADAMS ADAMS",37.34335839599,62.280701754386,0.37593984962406,0.809236947791165,0,1,0.153846153846154,0,0.00248138957816377,0,0.0522088353413655,806,996,0.0148883374689826,798,2,7.3,3.47506723022861,32.3,"aNone","Optech/Command Central- Eagle","ES&S Automark",44897,1660,18198,6.65110851808635,17.7083333333333,95.4819277108434,0.301204819277108,4.87951807228916,46.8674698795181,46.5,2.35,370.116847877082
"CITY-OF-WISCONSIN-DELLS-WARDS-5-9-ADAMS","01291","CITY-OF-WISCONSIN-DELLS-WARDS-5-9-ADAMS","CITY OF WISCONSIN DELLS WARDS 5 & 9","ADAMS","CITY OF WISCONSIN DELLS ADAMS",66.6666666666667,33.3333333333333,0,0.75,0,1,0,0,0,0,0.2,15,20,0,15,2,7.3,3.47506723022861,32.3,NA,NA,NA,44897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOWN-OF-ADAMS-WARDS-13-ADAMS","01002","TOWN-OF-ADAMS-WARDS-13-ADAMS","TOWN OF ADAMS Wards 1-3","ADAMS","TOWN OF ADAMS ADAMS",42.2535211267606,55.868544600939,1.87793427230047,0.807061790668348,0,0,0.0859375,0,0,0,0.064312736443884,640,793,0.0078125,639,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARDS-1-2-ADAMS","01004","TOWN-OF-BIG-FLATS-WARDS-1-2-ADAMS","TOWN OF BIG FLATS WARDS 1 & 2","ADAMS","TOWN OF BIG FLATS ADAMS",42.0523138832998,56.7404426559356,1.20724346076459,0.812703583061889,0.881763527054108,0,0.0861723446893788,440,0.00801603206412826,0,0.0667752442996743,499,614,0.00801603206412826,497,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","TOWN OF COLBURN WARD 1","ADAMS","TOWN OF COLBURN ADAMS",46.7741935483871,50.8064516129032,2.41935483870968,0.78125,0.936,0,0.048,117,0,0,0.0375,125,160,0.008,124,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARDS-13-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARDS-13-ADAMS","TOWN OF DELL PRAIRIE WARDS 1-3","ADAMS","TOWN OF DELL PRAIRIE ADAMS",48.6390532544379,50.7692307692308,0.591715976331361,0.861336032388664,0,0,0.0810810810810811,0,0,0,0.105263157894737,851,988,0.0082256169212691,845,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARDS-1-2-ADAMS","01010","TOWN-OF-EASTON-WARDS-1-2-ADAMS","TOWN OF EASTON WARDS 1 & 2","ADAMS","TOWN OF EASTON ADAMS",46.2890625,52.734375,0.9765625,0.898423817863398,0.584795321637427,0,0.0584795321637427,300,0,0,0.119089316987741,513,571,0.00389863547758285,512,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARDS-1-2-ADAMS","01012","TOWN-OF-JACKSON-WARDS-1-2-ADAMS","TOWN OF JACKSON WARDS 1 & 2","ADAMS","TOWN OF JACKSON ADAMS",44.6208112874779,54.673721340388,0.705467372134039,0.882716049382716,0,0,0.0891608391608392,0,0.00524475524475524,0,0.0848765432098765,572,648,0,567,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","TOWN OF LEOLA WARD 1","ADAMS","TOWN OF LEOLA ADAMS",66.2337662337662,32.4675324675325,1.2987012987013,0.870056497175141,0,0,0,0,0,0.0779220779220779,0.0903954802259887,154,177,0,154,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","TOWN OF LINCOLN Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",48.1927710843374,50.6024096385542,1.20481927710843,0.871134020618557,0.810650887573965,0,0.100591715976331,137,0,0,0.0824742268041237,169,194,0.00591715976331361,166,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
