"","hindi","reporting_unit","reporting_unit_orig","county","muni_county","votes_perc_republican","votes_perc_democrat","votes_perc_other","turnout_perc","tch_prop","os_prop","counted_absent_prop","tch_votes","rejected_absent_prop","absentee_undeliverable","sameday_reg_prop","total_ballots","registrants","late_registrants","votes_tot","county_paper_or_paperplusmachine","ratio_nocollege_college","log.pop.sq.mile.2010","pop_sq_mile_2010","tch_model_off_full","os_model_off","bmd_model_off","medianhouseholdincome_2009.2013","pop","inc_2015","unemp_rate","pct_graduate","pct_white","pct_black","pct_latino","pct_male","age_med","house_size_ave","muni.dense"
"TOWN-OF-ADAMS-WARD-1-3-ADAMS","01002","TOWN-OF-ADAMS-WARD-1-3-ADAMS","TOWN OF ADAMS Wards 1-3","ADAMS","TOWN OF ADAMS ADAMS",51.6,46.6,1.8,0.707112970711297,0,0,0.0532544378698225,0,0.0019723865877712,0.0019723865877712,0.0488145048814505,507,717,0.00591715976331361,500,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1438,18965,4.82673267326733,11.5819209039548,92.0027816411683,0.278164116828929,4.65924895688456,49.3741307371349,48.1,2.59,12.8384255135077
"TOWN-OF-BIG-FLATS-WARD-1-2-ADAMS","01004","TOWN-OF-BIG-FLATS-WARD-1-2-ADAMS","TOWN OF BIG FLATS WARDS 1 & 2","ADAMS","TOWN OF BIG FLATS ADAMS",50.9950248756219,46.5174129353234,2.48756218905473,0.70383275261324,0.893564356435644,0,0.0420792079207921,361,0,0,0.0383275261324042,404,574,0,402,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,853,20234,8.73015873015873,6.25,97.5381008206331,0.468933177022274,6.79953106682298,53.9273153575615,58.7,2.27,13.6506409553158
"TOWN-OF-COLBURN-WARD-1-ADAMS","01006","TOWN-OF-COLBURN-WARD-1-ADAMS","TOWN OF COLBURN WARD 1","ADAMS","TOWN OF COLBURN ADAMS",56.7307692307692,41.3461538461538,1.92307692307692,0.704697986577181,0.933333333333333,0,0.0571428571428571,98,0,0,0.0469798657718121,105,149,0,104,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,285,20075,1.71428571428571,9.80392156862745,98.2456140350877,0.350877192982456,1.75438596491228,52.280701754386,53.6,2.42,3.06426786135655
"TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","01008","TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","TOWN OF DELL PRAIRIE WARDS 1-3","ADAMS","TOWN OF DELL PRAIRIE ADAMS",53.3432392273403,46.0624071322437,0.594353640416048,0.665354330708661,0,0,0.0695266272189349,0,0,0,0.0452755905511811,676,1016,0.0029585798816568,673,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1617,24790,7.98029556650246,16.2222222222222,94.9907235621521,0.494743351886209,3.58688930117502,50.8967223252938,45.2,2.72,46.4111072909669
"TOWN-OF-EASTON-WARD-1-2-ADAMS","01010","TOWN-OF-EASTON-WARD-1-2-ADAMS","TOWN OF EASTON WARDS 1 & 2","ADAMS","TOWN OF EASTON ADAMS",53.7275064267352,43.9588688946015,2.31362467866324,0.681898066783831,0,0.68298969072165,0.0283505154639175,0,0,0,0.0597539543057996,388,569,0,389,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,993,20561,9.15032679738562,11.3879003558719,96.5760322255791,1.81268882175227,0,53.0715005035247,50.3,2.61,17.3700312049274
"TOWN-OF-JACKSON-WARD-1-2-ADAMS","01012","TOWN-OF-JACKSON-WARD-1-2-ADAMS","TOWN OF JACKSON WARDS 1 & 2","ADAMS","TOWN OF JACKSON ADAMS",52.1645021645022,46.3203463203463,1.51515151515152,0.738170347003155,0,0,0.0876068376068376,0,0,0,0.0867507886435331,468,634,0.00427350427350427,462,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,1189,27590,6.33093525179856,12.6139817629179,93.6080740117746,0,4.70984020185029,48.2758620689655,55.2,2.55,26.5475259157289
"TOWN-OF-LEOLA-WARD-1-ADAMS","01014","TOWN-OF-LEOLA-WARD-1-ADAMS","TOWN OF LEOLA WARD 1","ADAMS","TOWN OF LEOLA ADAMS",72.1311475409836,27.0491803278689,0.819672131147541,0.72189349112426,0,0,0.0327868852459016,0,0.00819672131147541,0,0.0591715976331361,122,169,0,122,2,7.3,3.47506723022861,32.3,"aNone","None","Vote Pad-Vote Pad (non-electronic)",44897,324,19373,10.6796116504854,11.2359550561798,95.9876543209877,0,0,58.9506172839506,44.2,2.89,3.35469626681109
"TOWN-OF-LINCOLN-WARD-1-ADAMS","01016","TOWN-OF-LINCOLN-WARD-1-ADAMS","TOWN OF LINCOLN Ward 1","ADAMS","TOWN OF LINCOLN ADAMS",48.2517482517483,50.3496503496504,1.3986013986014,0.795580110497238,0.916666666666667,0,0.0694444444444444,132,0,0,0.116022099447514,144,181,0,143,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,362,21312,4,14.0243902439024,93.9226519337017,1.65745856353591,1.10497237569061,55.524861878453,51.8,2.7,3.86734924122314
"TOWN-OF-MONROE-WARD-1-ADAMS","01018","TOWN-OF-MONROE-WARD-1-ADAMS","TOWN OF MONROE WARD 1","ADAMS","TOWN OF MONROE ADAMS",52.7777777777778,46.7592592592593,0.462962962962963,0.799270072992701,0.776255707762557,0,0.0639269406392694,170,0,0,0.0693430656934307,219,274,0,216,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","Dominion (Sequoia)- Sequoia Insight",NA,44897,431,29463,8.94308943089431,15.3846153846154,98.6078886310905,0,0,59.8607888631091,58.8,2.13,4.32475926945851
"TOWN-OF-NEW-CHESTER-WARD-1-3-ADAMS","01020","TOWN-OF-NEW-CHESTER-WARD-1-3-ADAMS","TOWN OF NEW CHESTER WARD 1-3","ADAMS","TOWN OF NEW CHESTER ADAMS",50.328947368421,48.3552631578947,1.31578947368421,0.646090534979424,0.614649681528662,0,0.0254777070063694,193,0.00318471337579618,0,0.065843621399177,314,486,0.00955414012738853,304,2,7.3,3.47506723022861,32.3,"Dominion (Sequoia)/Command Central-Edge","None",NA,44897,2010,15366,9.41619585687382,3.32880434782609,60.1492537313433,27.6119402985075,14.7761194029851,76.5671641791045,37.6,2.57,60.2318510587298
