"","county","reporting_unit","muni_county","municipality","votes_rec_cruz","votes_rec_kasich","votes_rec_other","votes_rec_trump","votes_tot","votes_perc_cruz","votes_perc_kasich","votes_perc_other","votes_perc_trump","trump_prim_won","total_ballots","tch_prop","turnout_perc","sameday_reg_prop","counted_absent_prop","rejected_absent_prop","registrants","late_registrants","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","coll_deg_plus25_2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","log.pop.sq.mile.2010"
"1","KENOSHA","TOWN-OF-BRIGHTON-WARD-1-4-KENOSHA","TOWN OF BRIGHTON KENOSHA","TOWN OF BRIGHTON",221,45,11,162,5707,50.3416856492027,10.250569476082,2.50569476082005,36.9020501138952,0,143,0.307692307692308,0.147119341563786,0.00720164609053498,0.027972027972028,0.00699300699300699,972,0.013986013986014,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"2","KENOSHA","TOWN-OF-PARIS-WARD-1-2-KENOSHA","TOWN OF PARIS KENOSHA","TOWN OF PARIS",215,67,6,153,5733,48.7528344671202,15.1927437641723,1.36054421768708,34.6938775510204,0,144,0,0.140350877192982,0.0107212475633528,0,0.00694444444444444,1026,0,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"3","KENOSHA","TOWN-OF-RANDALL-WARD-1-7-KENOSHA","TOWN OF RANDALL KENOSHA","TOWN OF RANDALL",269,94,18,347,9464,36.9505494505495,12.9120879120879,2.47252747252747,47.6648351648352,1,182,0,0.0951385258755881,0.00209095661265029,0.0769230769230769,0.010989010989011,1913,0.0274725274725275,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"4","KENOSHA","TOWN-OF-SALEM-WARD-1-5-10-KENOSHA","TOWN OF SALEM KENOSHA","TOWN OF SALEM",572,163,25,628,18044,41.2103746397695,11.7435158501441,1.80115273775216,45.2449567723343,1,332,0,0.0918649695628113,0.00415052573325955,0.162650602409639,0,3614,0.0391566265060241,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"5","KENOSHA","TOWN-OF-SALEM-WARD-6-9-KENOSHA","TOWN OF SALEM KENOSHA","TOWN OF SALEM",401,144,28,438,13143,39.6636993076162,14.2433234421365,2.76953511374876,43.3234421364985,1,212,0,0.0737134909596662,0.00208623087621697,0.179245283018868,0,2876,0.0377358490566038,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"6","KENOSHA","TOWN-OF-SOMERS-WARD-1-2-KENOSHA","TOWN OF SOMERS KENOSHA","TOWN OF SOMERS",99,19,7,120,3185,40.4081632653061,7.75510204081633,2.85714285714286,48.9795918367347,1,101,0,0.143059490084986,0,0.207920792079208,0,706,0,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"7","KENOSHA","TOWN-OF-WHEATLAND-WARD-1-6-KENOSHA","TOWN OF WHEATLAND KENOSHA","TOWN OF WHEATLAND",379,131,18,272,10400,47.375,16.375,2.25,34,0,225,0,0.113751263902932,0.00252780586450961,0.0622222222222222,0,1978,0.00444444444444444,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"8","KENOSHA","VILLAGE-OF-BRISTOL-WARD-1-3-8-KENOSHA","VILLAGE OF BRISTOL KENOSHA","VILLAGE OF BRISTOL",348,109,17,311,10205,44.3312101910828,13.8853503184713,2.1656050955414,39.6178343949045,0,190,0.157894736842105,0.113095238095238,0.00416666666666667,0.105263157894737,0,1680,0,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"9","KENOSHA","VILLAGE-OF-BRISTOL-WARD-4-7-KENOSHA","VILLAGE OF BRISTOL KENOSHA","VILLAGE OF BRISTOL",259,88,12,296,8515,39.5419847328244,13.4351145038168,1.83206106870229,45.1908396946565,1,131,0.396946564885496,0.0945165945165945,0.00288600288600289,0.0687022900763359,0,1386,0.0152671755725191,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,"ES&S DS200","ES&S ExpressVote",0,1,1,NA,"ES&S ExpressVote",0,"aNone",6.41656887046849
"10","KENOSHA","VILLAGE-OF-GENOA-CITY-WARD-5-KENOSHA","VILLAGE OF GENOA CITY KENOSHA","VILLAGE OF GENOA CITY",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,2,NA,"94152","80.53%","35,770","36,025",4030,"75,825",-255,"-20.28%","3.00%","282.72%","-6.27%","47.17%","47.51%","5.31%","2.58%",0,1,1,"44,867","34,977","1,053","80,897","55.46%","43.24%","1.30%","2.64%",1,2,168068,126891,166426,24.5,87.9,7.2,9136,77.2,97960,28931,23.2,29439,3.4,10.7,3.3,54930,611.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41656887046849
