"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","MCD_FIPS"
"1","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY OF ABBOTSFORD","MARATHON",54,38.2978723404255,5,141,3.54609929078014,82,58.1560283687943,61,3,141,77,43.2624113475177,54.6099290780142,2.12765957446809,-7,5,2,-4.9645390070922,3.54609929078014,1.41843971631206,0,0,0,NA,NA,NA,0,NA,NA,NA,"5507300100"
"2","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-6-MARATHON","CITY OF ABBOTSFORD WARD 6 MARATHON","CITY OF ABBOTSFORD","MARATHON",4,57.1428571428571,0,7,0,3,42.8571428571429,0,0,0,0,NA,NA,NA,4,3,0,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,NA,"5507300100"
"3","CITY OF ABBOTSFORD CLARK","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK","CITY OF ABBOTSFORD WARDS 2-5 CLARK","CITY OF ABBOTSFORD","CLARK",232,36.5930599369085,29,634,4.57413249211356,373,58.8328075709779,278,7,671,386,41.4307004470939,57.5260804769002,1.04321907600596,-46,-13,22,-4.83764051018537,1.30672709407776,3.5309134161076,0,0,1,"ES&S","ES&S M100","ES&S Automark",1,"ES&S","ES&S M100","ES&S Automark",NA
"4","CITY OF ADAMS ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS","CITY OF ADAMS WARD 1-4 ADAMS","CITY OF ADAMS","ADAMS",329,43.5761589403974,47,755,6.22516556291391,379,50.1986754966887,497,3,798,298,62.280701754386,37.34335839599,0.37593984962406,-168,81,44,-18.7045428139886,12.8553171006988,5.84922571328985,0,1,1,"Optech","Optech/Command Central- Eagle","ES&S Automark",1,"Optech","Optech/Command Central- Eagle","ES&S Automark",NA
"5","CITY OF ALGOMA KEWAUNEE","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE","CITY OF ALGOMA WARD 1-6 KEWAUNEE","CITY OF ALGOMA","KEWAUNEE",694,46.9553450608931,88,1478,5.95399188092016,696,47.0906630581867,889,22,1542,631,57.6523994811932,40.9208819714656,1.42671854734112,-195,65,66,-10.6970544203001,6.16978108672111,4.52727333357905,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"6","CITY OF ALMA BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO","CITY OF ALMA WARDS 1-2 BUFFALO","CITY OF ALMA","BUFFALO",176,41.6075650118203,22,423,5.20094562647754,225,53.1914893617021,234,6,450,210,52,46.6666666666667,1.33333333333333,-58,15,16,-10.3924349881797,6.52482269503546,3.86761229314421,0,1,0,NA,"None ","Dominion (Sequoia)/Command Central-Edge",0,NA,"None ","Dominion (Sequoia)/Command Central-Edge",NA
"7","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",1810,47.3574045002616,297,3822,7.77080062794348,1715,44.8717948717949,1977,44,3576,1555,55.2852348993289,43.4843400447427,1.23042505592841,-167,160,253,-7.92783039906723,1.38745482705215,6.54037557201507,1,1,1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",NA
"8","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-12-15-EAU-CLAIRE","CITY OF ALTOONA WARDS 12-15 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",2,100,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",NA
"9","CITY OF AMERY POLK","CITY-OF-AMERY-WARD-1-5-POLK","CITY OF AMERY WARDS 1-5 POLK","CITY OF AMERY","POLK",562,41.9090231170768,84,1341,6.26398210290828,695,51.8269947800149,684,13,1326,629,51.5837104072398,47.4358974358974,0.980392156862745,-122,66,71,-9.67468729016301,4.39109734411748,5.28358994604553,0,1,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
"10","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY OF ANTIGO","LANGLADE",154,41.9618528610354,15,367,4.08719346049046,198,53.9509536784741,158,8,360,194,43.8888888888889,53.8888888888889,2.22222222222222,-4,4,7,-1.92703602785347,0.0620647895852287,1.86497123826824,0,0,1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",NA
