"","county","municipality","muni_county","reporting_unit_orig","reporting_unit","democrat_votes.rec","democrat_votes.perc","other_votes.rec","other_votes.perc","republican_votes.rec","republican_votes.perc","votes.tot"
"1","MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON",61,43.2624113475177,3,2.12765957446809,77,54.6099290780142,141
"2","MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD MARATHON","CITY OF ABBOTSFORD WARD 6 MARATHON","CITY-OF-ABBOTSFORD-WARD-6-MARATHON",0,NA,0,NA,0,NA,0
"3","CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD CLARK","CITY OF ABBOTSFORD WARDS 2-5 CLARK","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK",278,41.4307004470939,7,1.04321907600596,386,57.5260804769002,671
"4","ADAMS","CITY OF ADAMS","CITY OF ADAMS ADAMS","CITY OF ADAMS WARDS 1-4 ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS",497,62.280701754386,3,0.37593984962406,298,37.34335839599,798
"5","KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA KEWAUNEE","CITY OF ALGOMA WARDS 1 -6 KEWAUNEE","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE",889,57.6523994811932,22,1.42671854734112,631,40.9208819714656,1542
"6","BUFFALO","CITY OF ALMA","CITY OF ALMA BUFFALO","CITY OF ALMA WARDS 1 - 2 BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO",234,52,6,1.33333333333333,210,46.6666666666667,450
"7","EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA EAU CLAIRE","CITY OF ALTOONA WARD 1-11 EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE",1977,55.2852348993289,44,1.23042505592841,1555,43.4843400447427,3576
"8","POLK","CITY OF AMERY","CITY OF AMERY POLK","CITY OF AMERY WARDS 1 - 5 POLK","CITY-OF-AMERY-WARD-1-5-POLK",684,51.5837104072398,13,0.980392156862745,629,47.4358974358974,1326
"9","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE",158,43.8888888888889,8,2.22222222222222,194,53.8888888888889,360
"10","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE",201,51.1450381679389,9,2.29007633587786,183,46.5648854961832,393
"11","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 3 LANGLADE","CITY-OF-ANTIGO-WARD-3-LANGLADE",161,44.475138121547,4,1.10497237569061,197,54.4198895027624,362
"12","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 4 LANGLADE","CITY-OF-ANTIGO-WARD-4-LANGLADE",200,54.0540540540541,9,2.43243243243243,161,43.5135135135135,370
"13","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 5 LANGLADE","CITY-OF-ANTIGO-WARD-5-LANGLADE",183,53.9823008849557,2,0.589970501474926,154,45.4277286135693,339
"14","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 6 LANGLADE","CITY-OF-ANTIGO-WARD-6-LANGLADE",164,41.8367346938776,12,3.06122448979592,216,55.1020408163265,392
"15","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 7 LANGLADE","CITY-OF-ANTIGO-WARD-7-LANGLADE",236,45.5598455598456,6,1.15830115830116,276,53.2818532818533,518
"16","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 8 LANGLADE","CITY-OF-ANTIGO-WARD-8-LANGLADE",184,49.3297587131367,7,1.87667560321716,182,48.7935656836461,373
"17","LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO WARD 9 LANGLADE","CITY-OF-ANTIGO-WARD-9-LANGLADE",227,49.3478260869565,9,1.95652173913044,224,48.695652173913,460
"18","OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON WARD 1 OUTAGAMIE","CITY-OF-APPLETON-WARD-1-OUTAGAMIE",449,60.7577807848444,23,3.11231393775372,267,36.1299052774019,739
