"","county","cand","votes.rec","votes.perc","cand.group"
"1","Adams","Darrell Castle",44,0.44,"Other"
"2","Adams","Hillary Clinton",3780,37.4,"Clinton"
"3","Adams","Rocky Roque De La Fuente",4,0.04,"Other"
"4","Adams","Gary Johnson",207,2.05,"Other"
"5","Adams","Monica Moorehead",9,0.09,"Other"
"6","Adams","Jill Stein",80,0.79,"Other"
"7","Adams","Donald J. Trump",5983,59.2,"Trump"
"8","Ashland","Darrell Castle",22,0.28,"Other"
"9","Ashland","Hillary Clinton",4136,52.18,"Clinton"
"10","Ashland","Rocky Roque De La Fuente",9,0.11,"Other"
"11","Ashland","Gary Johnson",182,2.3,"Other"
"12","Ashland","Monica Moorehead",9,0.11,"Other"
"13","Ashland","Jill Stein",140,1.77,"Other"
"14","Ashland","Donald J. Trump",3428,43.25,"Trump"
"15","Barron","Darrell Castle",116,0.52,"Other"
"16","Barron","Hillary Clinton",7881,35,"Clinton"
"17","Barron","Rocky Roque De La Fuente",11,0.05,"Other"
"18","Barron","Gary Johnson",726,3.22,"Other"
"19","Barron","Monica Moorehead",16,0.07,"Other"
"20","Barron","Jill Stein",169,0.75,"Other"
"21","Barron","Donald J. Trump",13595,60.38,"Trump"
"22","Bayfield","Darrell Castle",24,0.25,"Other"
"23","Bayfield","Hillary Clinton",4953,52.19,"Clinton"
"24","Bayfield","Rocky Roque De La Fuente",12,0.13,"Other"
"25","Bayfield","Gary Johnson",186,1.96,"Other"
"26","Bayfield","Monica Moorehead",6,0.06,"Other"
"27","Bayfield","Jill Stein",185,1.95,"Other"
"28","Bayfield","Donald J. Trump",4125,43.46,"Trump"
"29","Brown","Darrell Castle",475,0.37,"Other"
"30","Brown","Hillary Clinton",53358,41.85,"Clinton"
"31","Brown","Rocky Roque De La Fuente",65,0.05,"Other"
"32","Brown","Gary Johnson",4982,3.91,"Other"
"33","Brown","Monica Moorehead",54,0.04,"Other"
"34","Brown","Jill Stein",1371,1.08,"Other"
"35","Brown","Donald J. Trump",67192,52.7,"Trump"
"36","Buffalo","Darrell Castle",37,0.53,"Other"
"37","Buffalo","Hillary Clinton",2531,36.57,"Clinton"
"38","Buffalo","Rocky Roque De La Fuente",3,0.04,"Other"
"39","Buffalo","Gary Johnson",218,3.15,"Other"
"40","Buffalo","Monica Moorehead",9,0.13,"Other"
"41","Buffalo","Jill Stein",74,1.07,"Other"
"42","Buffalo","Donald J. Trump",4049,58.5,"Trump"
"43","Burnett","Darrell Castle",55,0.63,"Other"
"44","Burnett","Hillary Clinton",2948,33.81,"Clinton"
"45","Burnett","Rocky Roque De La Fuente",1,0.01,"Other"
"46","Burnett","Gary Johnson",229,2.63,"Other"
"47","Burnett","Monica Moorehead",7,0.08,"Other"
"48","Burnett","Jill Stein",67,0.77,"Other"
"49","Burnett","Donald J. Trump",5412,62.07,"Trump"
"50","Calumet","Darrell Castle",171,0.65,"Other"
"51","Calumet","Hillary Clinton",9634,36.45,"Clinton"
"52","Calumet","Rocky Roque De La Fuente",10,0.04,"Other"
"53","Calumet","Gary Johnson",1052,3.98,"Other"
"54","Calumet","Monica Moorehead",13,0.05,"Other"
"55","Calumet","Jill Stein",204,0.77,"Other"
"56","Calumet","Donald J. Trump",15345,58.06,"Trump"
"57","Chippewa","Darrell Castle",175,0.56,"Other"
"58","Chippewa","Hillary Clinton",11875,37.73,"Clinton"
"59","Chippewa","Rocky Roque De La Fuente",10,0.03,"Other"
"60","Chippewa","Gary Johnson",1207,3.84,"Other"
"61","Chippewa","Monica Moorehead",28,0.09,"Other"
"62","Chippewa","Jill Stein",264,0.84,"Other"
"63","Chippewa","Donald J. Trump",17912,56.92,"Trump"
"64","Clark","Darrell Castle",99,0.73,"Other"
"65","Clark","Hillary Clinton",4225,31.19,"Clinton"
