"","county","dem.votes","dem.votes.perc","rep.votes","rep.votes.perc","oth.votes","oth.votes.perc","turnout","year","perc.diff","num.diff","winner","winner.party","mean.poll.trump","mean.poll.clinton","turnout.all","reg.voters.all","registered.voters","turnout.perc.reg","turnout.state.reg","total.voters.age.est","turnout.perc.allage.est","turnout.2012","turnout.2012.perc","dem.2012","rep.2012","oth.2012","diff.2012.num","diff.2012.perc","use.machines.prop","machine.most.used","all.machines"
"1","Adams",3780,37.4,5983,59.2,344,3.41,10107,2016,21.8,2203,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,12476,81.011542160949,81.343183804623,17741,56.9697311312778,10287,58.9175257731959,5542,4644,101,-898,-8.72946437250899,0.368421052631579,"Dominion","Some or no optical scanners"
"2","Ashland",4136,52.18,3428,43.25,362,4.57,7926,2016,-8.93,-708,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,10120,78.3201581027668,81.343183804623,12590,62.9547259729944,8372,67.5706214689265,5399,2820,153,-2579,-30.8050645007167,0.0625,"Dominion","Some or no optical scanners"
"3","Barron",7881,35,13595,60.38,1038,4.61,22514,2016,25.38,5714,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,27081,83.1357778516303,81.343183804623,36495,61.6906425537745,22692,63.1789960185984,10890,11443,359,553,2.43698219636876,0.228571428571429,"Dominion","Some or no optical scanners"
"4","Bayfield",4953,52.19,4125,43.46,413,4.35,9491,2016,-8.73,-828,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,11370,83.4740545294635,81.343183804623,12441,76.2880797363556,9788,79.9411956876838,6033,3603,152,-2430,-24.8263179403351,0.428571428571429,"Dominion","Some or no optical scanners"
"5","Brown",53358,41.85,67192,52.7,6947,5.45,127497,2016,10.85,13834,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,152605,83.5470659545886,81.343183804623,191688,66.5127707524728,128928,68.3413462812677,62526,64836,1566,2310,1.79169769173492,1,"Dominion","Mostly optical scanners"
"6","Buffalo",2531,36.57,4049,58.5,341,4.92,6921,2016,21.93,1518,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,8347,82.9160177309213,81.343183804623,10835,63.8763267189663,7039,66.0133170777455,3570,3364,105,-206,-2.92655206705498,0.0434782608695652,"Dominion","Some or no optical scanners"
"7","Burnett",2948,33.81,5412,62.07,359,4.12,8719,2016,28.26,2464,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,10283,84.7904308081299,81.343183804623,12628,69.0449794108331,8677,69.8181525587383,3986,4550,141,564,6.49994237639737,0,NA,"Some or no optical scanners"
"8","Calumet",9634,36.45,15345,58.06,1450,5.49,26429,2016,21.61,5711,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,30699,86.0907521417636,81.343183804623,36603,72.2044641149633,26420,73.3420314798879,11489,14539,392,3050,11.5442846328539,0.941176470588235,"Dominion","Mostly optical scanners"
"9","Chippewa",11875,37.73,17912,56.92,1684,5.36,31471,2016,19.19,6037,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,36651,85.8666884941748,81.343183804623,48958,64.2816291515176,30932,64.1969159247037,15237,15322,373,85,0.274796327427906,1,"ES&S","Mostly optical scanners"
"10","Clark",4225,31.19,8645,63.81,678,5,13548,2016,32.62,4420,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,16173,83.7692450380263,81.343183804623,25107,53.9610467200382,13801,55.8541422153871,6172,7412,217,1240,8.98485616984277,0.363636363636364,"Dominion","Some or no optical scanners"
"11","Columbia",13525,46.18,14160,48.35,1602,5.46,29287,2016,2.17,635,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,35495,82.5102127060149,81.343183804623,44458,65.8756579243331,30546,69.8130456643964,17175,13026,345,-4149,-13.5827931644078,1,"Dominion","Mostly optical scanners"
"12","Crawford",3426,44.62,3844,50.07,408,5.32,7678,2016,5.45,418,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,9682,79.3017971493493,81.343183804623,13178,58.2637729549249,7817,60.274500732516,4629,3067,121,-1562,-19.982090315978,0,NA,"Some or no optical scanners"
"13","Dane",217506,71.38,71270,23.39,15953,5.25,304729,2016,-47.99,-146236,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,385063,79.1374398475055,81.343183804623,392542,77.6296549159071,304181,78.7364622807562,216071,83644,4466,-132427,-43.5355922953768,1,"Dominion","Mostly optical scanners"
"14","Dodge",13968,32.62,26643,62.22,2207,5.15,42818,2016,29.6,12675,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,51594,82.9902701864558,81.343183804623,70506,60.7295832978754,44488,64.113908544582,18762,25211,515,6449,14.4960438770005,1,"Dominion","Mostly optical scanners"
"15","Door",8026,46.13,8584,49.34,788,4.53,17398,2016,3.21,558,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,20527,84.7566619574219,81.343183804623,23245,74.8462034846203,17671,77.2435196922673,9357,8121,193,-1236,-6.99451078037463,1,"Dominion","Mostly optical scanners"
"16","Douglas",11342,51.12,9657,43.53,1186,5.35,22185,2016,-7.59,-1685,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,27644,80.2524960208363,81.343183804623,35428,62.6199616122841,22894,65.6609401439757,14863,7705,326,-7158,-31.2658338429283,1,"Dominion","Mostly optical scanners"
"17","Dunn",9025,40.97,11487,52.14,1517,6.89,22029,2016,11.17,2462,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,26779,82.2622203965794,81.343183804623,35486,62.0780025925717,21992,62.9710227923491,11316,10224,452,-1092,-4.96544197890142,0.733333333333333,"Dominion","Some or no optical scanners"
"18","Eau Claire",27271,50.43,23301,43.09,3508,6.49,54080,2016,-7.34,-3970,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,66509,81.3123035980093,81.343183804623,79878,67.7032474523649,54806,69.7162046989684,30666,23256,884,-7410,-13.5204174725395,1,"Dominion","Mostly optical scanners"
"19","Florence",666,25.12,1897,71.56,88,3.32,2651,2016,46.44,1231,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,3129,84.7235538510706,81.343183804623,3670,72.2343324250681,2625,72.6945444475215,953,1645,27,692,26.3619047619048,0,NA,"Some or no optical scanners"
"20","Fond du Lac",17391,34.04,31044,60.76,2659,5.21,51094,2016,26.72,13653,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,60664,84.2245813002769,81.343183804623,80481,63.4857916775388,53402,67.4208087669019,22379,30355,668,7976,14.9357701958728,1,"ES&S","Mostly optical scanners"
"21","Forest",1583,35.12,2787,61.84,137,3.04,4507,2016,26.72,1204,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,5786,77.8949187694435,81.343183804623,7325,61.5290102389079,4648,64.474961853239,2425,2172,51,-253,-5.44320137693632,0,NA,"Some or no optical scanners"
"22","Grant",10047,41.77,12347,51.34,1657,6.89,24051,2016,9.57,2300,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,29875,80.5054393305439,81.343183804623,41343,58.174297946448,24248,59.5949665749115,13594,10255,399,-3339,-13.770207852194,0.192307692307692,"ES&S","Some or no optical scanners"
"23","Green",9121,48.54,8693,46.26,977,5.2,18791,2016,-2.28,-428,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,22117,84.96179409504,81.343183804623,28472,65.9981736442821,19322,68.9554262874273,11206,7857,259,-3349,-17.3325742676742,1,"ES&S","Mostly optical scanners"
"24","Green Lake",2700,28.99,6210,66.67,405,4.35,9315,2016,37.68,3510,"Trump","Rep",42.3181818181818,45.9090909090909,2944620,3619996,11142,83.6025848142165,81.343183804623,15008,62.0668976545842,9675,65.5044008124577,3793,5782,100,1989,20.5581395348837,0.5625,"ES&S","Some or no optical scanners"
"25","Iowa",6669,55.01,4809,39.67,645,5.31,12123,2016,-15.34,-1860,"Clinton","Dem",42.3181818181818,45.9090909090909,2944620,3619996,14650,82.7508532423208,81.343183804623,18193,66.6355191557192,12534,70.002792516057,8105,4287,142,-3818,-30.4611456837402,0.16,"ES&S","Some or no optical scanners"
