"","county","dem.change","rep.change","oth.change","turnout.change","papernopaper","scan.machines.prop","ratio_white_nonwhite","ratio_nocollege_college","pop_sq_mile_2010","medianhouseholdincome_2009.2013","turnout","total.voting.age","dem.wins","dem.2016"
"1","Adams",-16.4738213278896,14.0556430446194,2.42817828327015,-1.94779464191804,2,0.368421052631579,9.8,7.3,32.3,44897,10107,17741,4,"Rep2016"
"2","Ashland",-12.3087720974677,9.56629240324893,2.74247969421882,-4.61589549593211,1,0.0625,5.1,3.6,15.5,38550,7926,12590,5,"Dem2016"
"3","Barron",-12.9904812268641,9.95253657676715,3.02794465009695,-1.48835346482394,2,0.228571428571429,15.9,5.2,53.2,44054,22514,36495,1,"Rep2016"
"4","Bayfield",-9.44669799754802,6.64961994278708,2.79707805476093,-3.65311595132816,1,0.428571428571429,5.8,2.5,10.2,44944,9491,12441,5,"Dem2016"
"5","Brown",-6.64683544303797,2.4114668652271,4.23536857781087,-1.82857552879494,1,1,4.8,2.7,468.2,53119,127497,191688,1,"Rep2016"
"6","Buffalo",-14.1474314533314,10.7091206137235,3.4283108396079,-2.13699035877916,2,0.0434782608695652,26.8,4.8,20.2,47384,6921,10835,4,"Rep2016"
"7","Burnett",-12.1275360147516,9.63252160885099,2.49501440590066,-0.773173147905254,2,0,9.4,5,18.8,39564,8719,12628,1,"Rep2016"
"8","Calumet",-7.03599545798637,3.02971990915972,4.00627554882665,-1.13756736492459,2,0.941176470588235,11.3,2.6,153.9,65130,26429,36603,1,"Rep2016"
"9","Chippewa",-11.5296663649295,7.38553730764257,4.15412905728695,0.0847132268138893,2,1,16.5,4.4,61.9,50551,31471,48958,1,"Rep2016"
"10","Clark",-13.5313970002174,10.1037468299399,3.42765017027752,-1.89309549534887,2,0.363636363636364,15.1,7.6,28.7,43276,13548,25107,1,"Rep2016"
"11","Columbia",-10.0466745236692,5.70611864073856,4.33055588293066,-3.93738774006333,1,1,15.1,3.7,74.2,57922,29287,44458,3,"Rep2016"
"12","Crawford",-14.5970909556096,10.8349993603684,3.77209159524114,-2.01072777759113,2,0,21.7,5.5,29.2,42235,7678,13178,4,"Rep2016"
"13","Dane",0.346306245294727,-4.10810145932849,3.78179521403375,-1.10680736484916,1,1,4.3,1.1,407.7,61721,304729,392542,5,"Dem2016"
"14","Dodge",-9.55317029311275,5.55078582988671,3.99238446322604,-3.38432524670664,2,1,10,5.3,101.4,53075,42818,70506,0,"Rep2016"
"15","Door",-6.82116292230207,3.38334785807255,3.43781506422953,-2.39731620764699,1,1,17.5,2.4,57.6,50438,17398,23245,2,"Rep2016"
"16","Douglas",-13.8009399842754,9.87489385865292,3.92604612562243,-3.04097853169161,1,1,11.7,3.6,33.9,45418,22185,35428,5,"Dem2016"
"17","Dunn",-10.4850745725718,5.65036740632957,4.83470716624227,-0.893020199777375,2,0.733333333333333,14.4,3,51.6,48893,22029,35486,4,"Rep2016"
"18","Eau Claire",-5.5237276940481,0.656689778491405,4.87703791555669,-2.01295724660351,2,1,10.6,2.2,154.8,48090,54080,79878,5,"Dem2016"
"19","Florence",-11.1847619047619,8.89333333333333,2.29142857142857,-0.460212022453334,2,0,26,5.9,9.1,47960,2651,3670,0,"Rep2016"
"20","Fond du Lac",-7.86667016216621,3.91755964196097,3.95911052020524,-3.93501708936312,1,1,10.2,4,141.2,53820,51094,80481,0,"Rep2016"
"21","Forest",-17.0529776247849,15.1102237521515,1.94275387263339,-2.94595161433115,2,0,4.2,7.2,9.2,39963,4507,7325,2,"Rep2016"
"22","Grant",-14.2923556581986,9.04785219399538,5.24450346420323,-1.42066862846352,2,0.192307692307692,22.8,4.2,44.7,46963,24051,41343,4,"Rep2016"
"23","Green",-9.45606665976607,5.59650760790808,3.85955905185799,-2.95725264314518,1,1,18.6,3.9,63.1,55584,18791,28472,5,"Dem2016"
"24","Green Lake",-10.2141343669251,6.90772609819122,3.31640826873385,-3.43750315787347,2,0.5625,13.9,5,54.5,46994,9315,15008,0,"Rep2016"
"25","Iowa",-9.65411361097814,5.46703207276209,4.17708153821605,-3.36727336033773,2,0.16,26,3.6,31.1,55659,12123,18193,5,"Dem2016"
"26","Iron",-12.5089427312775,10.825859030837,1.68308370044053,-4.29466319858155,2,0,30.2,3.8,7.8,39051,3477,4974,2,"Rep2016"
"27","Jackson",-15.3682207666702,11.4530537957693,3.90516697090089,-1.61219729261716,2,0.037037037037037,6.6,5.8,20.7,44149,9202,16198,4,"Rep2016"
"28","Jefferson",-6.40291050337617,2.20144328267203,4.19146722070414,-4.09049481288281,1,1,9.3,3.3,150.4,53454,42324,65255,1,"Rep2016"
"29","Juneau",-17.83754291029,15.49875285364,2.34879005665004,-1.30300634221825,2,0.0357142857142857,11.5,7.1,34.8,45297,11736,21592,2,"Rep2016"
"30","Kenosha",-8.29188362980086,4.27353882096988,4.00834480883098,-5.04207733806736,1,1,3.4,3.3,611.9,54930,75825,126412,4,"Rep2016"
"31","Kewaunee",-12.9584117060796,9.51969103923167,3.44872066684788,-2.93781528204963,2,1,21.7,6.4,60.1,53588,10742,16091,1,"Rep2016"
"32","La Crosse",-6.20885222652926,1.44296177239924,4.77589045413003,-1.83099224322999,1,1,9.8,2.3,253.8,51339,62785,92752,5,"Dem2016"
"33","Lafayette",-13.7922535211268,10.6449496981891,3.14730382293763,-3.74034917356615,2,0.0384615384615385,18.2,5.1,26.6,49107,7602,12787,4,"Rep2016"
"34","Langlade",-11.1737142313908,8.47957315334158,2.69414107804924,-3.71972009295649,2,0.0526315789473684,18.6,6.6,22.9,42389,10093,16011,1,"Rep2016"
"35","Lincoln",-12.8342586750789,8.68552050473186,4.148738170347,-3.90860741487012,1,1,24,5.9,32.7,49021,14563,22974,2,"Rep2016"
"36","Manitowoc",-11.4552610460614,7.40661473121055,4.06864631485088,-5.13307234059556,2,0.566666666666667,11.2,4.3,138.3,48881,39991,64521,1,"Rep2016"
"37","Marathon",-7.86418195871862,4.2466708654204,3.61751109329822,-2.06273818522699,2,1,8.6,3.5,86.8,53363,68849,103613,1,"Rep2016"
"38","Marinette",-16.3122082110025,13.9306001828946,2.391608028108,-3.34758751655656,2,0.08,23.4,6.4,29.8,40490,19979,33830,1,"Rep2016"
"39","Marquette",-13.5849845774213,11.0564528069093,2.51853177051203,-3.36230783065191,2,0,17.2,6.8,33.8,46077,7813,12564,2,"Rep2016"
"40","Menominee",-8.07237472766884,8.03072621641249,0.0416485112563545,-4.14632261967849,2,1,0.1,5.3,11.8,33333,1279,2899,5,"Dem2016"
"41","Milwaukee",-1.04968687065549,-2.46179627103229,3.51148314168778,-9.02164409462835,1,1,1.1,2.6,3926,43193,434970,726351,5,"Dem2016"
"42","Monroe",-12.7924352065692,8.85642032332564,3.93601488324352,-0.720075080870238,2,0.147058823529412,10.9,4.7,49.6,49774,19554,33967,1,"Rep2016"
"43","Oconto",-15.099709955184,12.443691525253,2.66601842993101,-0.850953251177998,2,0.642857142857143,21.7,5.7,37.7,51615,19924,29959,1,"Rep2016"
"44","Oneida",-9.38267688897099,5.61971549972289,3.77296138924811,-3.87825548725978,2,0.619047619047619,21.2,3.2,32.3,45759,20837,30012,1,"Rep2016"
"45","Outagamie",-8.2173685990951,4.12177259080723,4.08559600828788,-0.702573000921731,2,0.67741935483871,7.9,2.8,277.2,58318,95162,136085,1,"Rep2016"
"46","Ozaukee",3.46533188813444,-7.5644303706756,4.10909848254116,-4.95456816133523,1,1,12.7,1.2,370.7,75457,53368,67559,0,"Rep2016"
"47","Pepin",-14.8164098404974,10.9804055150041,3.83600432549338,-0.222264545271479,2,0,31.3,4.8,32.2,47701,3746,5882,4,"Rep2016"
