percentage_d_2008,percentage_r_2008,votes_d_2008,votes_r_2008,county_fips,percentage_d_2012,percentage_i_2012,percentage_r_2012,votes_d_2012,votes_i_2012,votes_r_2012,percentage_d_2016,percentage_i_2016,percentage_r_2016,votes_d_2016,votes_i_2016,votes_r_2016,county,inc_2013,inc_2014,inc_2015,inc_rank,pct_chg_2014,pct_chg_2015,pct_rank,state,name,labor_force,employed,unemp_level,unemp_rate,total_pop,pct_male,pct_female,pct_old,pct_latino,pct_white,pct_black,pct_no_hs,pct_some_hs,pct_hs,pct_some_college,pct_associates,pct_bachelors,pct_graduate,pct_hs_less,electronic,paper,electronic_2012,paper_2012,dem_votes_state,rep_votes_state,dem_votes_state_2012,rep_votes_state_2012,diff,diff_r,paper_ind,electronic_ind,no_paper_trail,has_electronic,swing_state_dummy,swing_state_dummy_exit_small,swing_state_dummy_fte,swing_state_dummy_exit_large,swing_state_dummy_onepct,swing_state_dummy_twopct,swing_state_dummy_threepct,swing_state_dummy_fourpct,swing_state_dummy_fivepct,swing_state_dummy_five_varied,non_swing_states,non_swing_states_dem,swing_states,temp,resid,mean_pop,elec_X_resid,sig,pred_diff_no_electronic,pred_votes_no_electronic,pred_votes_swing,_Iswing_sta_2,_Iswing_sta_3,_Iswing_sta_4,_Iswing_sta_5,_Iswing_sta_6,_Iswing_sta_7,_Iswing_sta_8,_Iswing_sta_9,_Iswing_sta_10,_Iswing_sta_11,_Iswing_sta_12,_IswiXelec_2,_IswiXelec_3,_IswiXelec_4,_IswiXelec_5,_IswiXelec_6,_IswiXelec_7,_IswiXelec_8,_IswiXelec_9,_IswiXelec_10,_IswiXelec_11,_IswiXelec_12,_Istate_2,_Istate_3,_Istate_4,_Istate_5,_Istate_6,_Istate_7,_Istate_8,_Istate_9,_Istate_10,_Istate_11,_Istate_12,_Istate_13,_Istate_14,_Istate_15,_Istate_16,_Istate_17,_Istate_18,_Istate_19,_Istate_20,_Istate_21,_Istate_22,_Istate_23,_Istate_24,_Istate_25,_Istate_26,_Istate_27,_Istate_28,_Istate_29,_Istate_30,_Istate_31,_Istate_32,_Istate_33,_Istate_34,_Istate_35,_Istate_36,_Istate_37,_Istate_38,_Istate_39,_Istate_40,_Istate_41,_Istate_42,_Istate_43,_Istate_44,_Istate_45,_Istate_46,_Istate_47,_Istate_48,_Istate_49,_Istate_50,pred_diff_r_no_electronic,pred_votes_r_no_electronic,pred_votes_r_swing,dem_votes_state_no_electronic,rep_votes_state_no_electronic,unemp_test,inc_test,d_pct_no_elec,r_pct_no_elec,dem_pct_state,rep_pct_state,dem_win,dem_win_2012,dem_win_no_electronic
26,74,6093,17403,1001,26.6,.2666667,72.6,6354,63,17366,24,1.3,73.4,5908,321.5,18110,"Autauga",35345,36571,37773,8,3.5,3.3,26,"AL","Autauga County, AL",26113,"     24,694 ",1419,5.4,55136,48.6,51.4,16.3,2.5,76.2,18.4,4.4,9.4,33.5,22.9,7.8,13.6,8.3,47.3,0,1,0,1,710518,1289932,784496,1236718,-2.6,.8000031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-3.693814,1.093813,100005.8,,0,-2.6,5908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.8000031,18110,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
24,76,19386,61271,1003,21.6,.3333333,77.4,18329,295.6667,65772,19.6,1.55,77.4,18409,1450.5,72780,"Baldwin",37727,39028,40121,5,3.4,2.8,40,"AL","Baldwin County, AL",90842,"     85,839 ",5003,5.5,191205,48.8,51.2,21.9,4.5,83.2,9.3,3.6,7.3,28.8,22.9,8.7,19.1,9.5,39.7,0,1,0,1,710518,1289932,784496,1236718,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-2.865189,.8651891,100005.8,,0,-2,18409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72780,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
49,51,5697,5866,1005,51.3,.1666667,48.3,5873,15.66667,5539,46.7,.55,52.3,4848,55.5,5431,"Barbour",30081,30197,31443,46,.4,4.1,6,"AL","Barbour County, AL",8574,"      7,839 ",735,8.6,27119,53.7,46.3,18.9,4.7,46.1,46.2,9.1,16.4,33.4,20.5,7.1,7.9,5.7,58.9,0,1,0,1,710518,1289932,784496,1236718,-4.599998,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-6.20966,1.609662,100005.8,,0,-4.599998,4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5431,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
27,73,2299,6262,1007,26.2,.2666667,73.1,2200,20,6131,21.4,.8,77,1874,70.5,6733,"Bibb",27375,28127,29075,62,2.7,3.4,22,"AL","Bibb County, AL",8745,"      8,157 ",588,6.7,22653,53.9,46.1,17.5,2,74.8,21.1,9,13.1,40.1,21.5,6.1,5.8,4.4,62.2,0,1,0,1,710518,1289932,784496,1236718,-4.800001,3.900002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-8.79013,3.990129,100005.8,,0,-4.800001,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.900002,6733,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
15,84,3522,20389,1009,12.3,.3666667,86.5,2961,92.66666,20741,8.5,.85,89.9,2150,213,22808,"Blount",29846,30946,31663,42,3.7,2.3,55,"AL","Blount County, AL",25250,"     23,856 ",1394,5.5,57645,49.6,50.4,20.1,8.5,88.2,1.5,7.5,14.5,34.5,22.3,9,8.1,4.1,56.5,0,1,0,1,710518,1289932,784496,1236718,-3.8,3.400002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-7.421741,3.621741,100005.8,,0,-3.8,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.400002,22808,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
74,26,4011,1391,1011,76.3,.1,23.5,4058,3.333333,1250,75.1,.35,24.2,3530,16,1139,"Bullock",26008,25350,25929,67,-2.5,2.3,56,"AL","Bullock County, AL",5056,"      4,662 ",394,7.8,10693,54.2,45.8,18.5,4,22.2,71.4,13.9,20.6,32.3,15.3,3.8,5.9,8.2,66.8,0,1,0,1,710518,1289932,784496,1236718,-1.200005,.7000008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-6.957898,5.757893,100005.8,,0,-1.200005,3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7000008,1139,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
43,57,4188,5485,1013,46.1,.1333333,53.6,4367,11.66667,5081,42.8,.4,56.3,3716,39,4891,"Butler",31572,32775,33518,31,3.8,2.3,57,"AL","Butler County, AL",9273,"      8,628 ",645,7,20523,46.7,53.3,21.3,1.1,53.6,43.7,7.9,15.5,37.1,17.4,7.8,8.3,6,60.5,0,1,0,1,710518,1289932,784496,1236718,-3.299999,2.700001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-6.36633,3.06633,100005.8,,0,-3.299999,3716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.700001,4891,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
33,66,16334,32348,1015,33.5,.3333333,65.5,15500,156,30272,27.9,1.5,69.2,13197,688,32803,"Calhoun",31347,32448,33418,32,3.5,3,37,"AL","Calhoun County, AL",46835,"     43,760 ",3075,6.6,117186,48.2,51.8,18.8,3.4,73.3,20.6,6.7,13.3,32.4,23.4,7.4,10.7,6.2,52.4,0,1,0,1,710518,1289932,784496,1236718,-5.6,3.699997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-5.428344,-.1716566,100005.8,,0,-5.6,13197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.699997,32803,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
46,54,6799,8067,1017,47.1,.2333333,52.2,6853,37.66667,7596,41.8,.75,56.6,5763,106,7803,"Chambers",29498,30271,31282,48,2.6,3.3,23,"AL","Chambers County, AL",15696,"     14,824 ",872,5.6,34091,47.7,52.3,21,.5,57.6,40.2,6.4,16.1,37.3,20.7,7.2,7.8,4.4,59.8,0,1,0,1,710518,1289932,784496,1236718,-5.299999,4.399998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-6.637657,1.337658,100005.8,,0,-5.299999,5763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.399998,7803,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
24,75,2306,7298,1019,21.8,.5,76.8,2126,47,7494,14.5,.8,83.9,1524,85,8809,"Cherokee",30660,31688,32645,35,3.4,3,35,"AL","Cherokee County, AL",11499,"     10,884 ",615,5.3,26042,49.8,50.2,24,1.4,91.9,4.8,8.2,12.4,35.9,23.2,6.7,8.1,5.7,56.5,0,1,0,1,710518,1289932,784496,1236718,-7.299999,7.099998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",-8.551913,1.251914,100005.8,,0,-7.299999,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.099998,8809,0,710518,1289932,.059775,38054.62,35.51791,64.48209,35.51791,64.48209,0,0,0
