"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"1","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY OF ABBOTSFORD","MARATHON",54,38.2978723404255,5,141,3.54609929078014,82,58.1560283687943,82,5,161,74,50.9316770186335,45.9627329192547,3.1055900621118,-28,8,0,-12.633804678208,12.1932954495397,0.440509228668341,0,1,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1 MARATHON"
"2","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-6-MARATHON","CITY OF ABBOTSFORD WARD 6 MARATHON","CITY OF ABBOTSFORD","MARATHON",4,57.1428571428571,0,7,0,3,42.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1 MARATHON"
"3","CITY OF ABBOTSFORD CLARK","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK","CITY OF ABBOTSFORD WARDS 2-5 CLARK","CITY OF ABBOTSFORD","CLARK",232,36.5930599369085,29,634,4.57413249211356,373,58.8328075709779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARDS 2-5 CLARK"
"4","CITY OF ADAMS ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS","CITY OF ADAMS WARD 1-4 ADAMS","CITY OF ADAMS","ADAMS",329,43.5761589403974,47,755,6.22516556291391,379,50.1986754966887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ADAMS","CITY OF ADAMS","CITY OF ADAMS WARD 1-4 ADAMS"
"5","CITY OF ALGOMA KEWAUNEE","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE","CITY OF ALGOMA WARD 1-6 KEWAUNEE","CITY OF ALGOMA","KEWAUNEE",694,46.9553450608931,88,1478,5.95399188092016,696,47.0906630581867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA WARD 1-6 KEWAUNEE"
"6","CITY OF ALMA BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO","CITY OF ALMA WARDS 1-2 BUFFALO","CITY OF ALMA","BUFFALO",176,41.6075650118203,22,423,5.20094562647754,225,53.1914893617021,252,6,447,189,56.3758389261745,42.2818791946309,1.34228187919463,-76,36,16,-14.7682739143542,10.9096101670712,3.85866374728291,0,1,"BUFFALO","CITY OF ALMA","CITY OF ALMA WARDS 1-2 BUFFALO"
"7","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",1810,47.3574045002616,297,3822,7.77080062794348,1715,44.8717948717949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"8","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-12-15-EAU-CLAIRE","CITY OF ALTOONA WARDS 12-15 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",2,100,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"9","CITY OF AMERY POLK","CITY-OF-AMERY-WARD-1-5-POLK","CITY OF AMERY WARDS 1-5 POLK","CITY OF AMERY","POLK",562,41.9090231170768,84,1341,6.26398210290828,695,51.8269947800149,737,23,1436,676,51.3231197771588,47.075208913649,1.6016713091922,-175,19,61,-9.41409666008197,4.75178586636589,4.66231079371608,0,1,"POLK","CITY OF AMERY","CITY OF AMERY WARDS 1-5 POLK"
"10","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY OF ANTIGO","LANGLADE",154,41.9618528610354,15,367,4.08719346049046,198,53.9509536784741,225,2,400,173,56.25,43.25,0.5,-71,25,13,-14.2881471389646,10.7009536784741,3.58719346049046,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
