"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2008","other_votes.rec2008","votes.tot2008","republican_votes.rec2008","dem.perc2008","rep.perc2008","oth.perc2008","dem.change.2008.num","rep.change.2008.num","oth.change.2008.num","dem.change.2008.perc","rep.change.2008.perc","oth.change.2008.perc","demwinner","demwinner2008","county","municipality","reporting_unit"
"1","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY OF ABBOTSFORD","MARATHON",58,39.1891891891892,5,148,3.37837837837838,85,57.4324324324324,82,5,161,74,50.9316770186335,45.9627329192547,3.1055900621118,-24,11,0,-11.7424878294444,11.4696995131778,0.272788316266577,0,1,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1 MARATHON"
"2","CITY OF ABBOTSFORD CLARK","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK","CITY OF ABBOTSFORD WARDS 2-5 CLARK","CITY OF ABBOTSFORD","CLARK",232,36.25,35,640,5.46875,373,58.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARDS 2-5 CLARK"
"3","CITY OF ADAMS ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS","CITY OF ADAMS WARD 1-4 ADAMS","CITY OF ADAMS","ADAMS",325,43.4491978609626,46,748,6.14973262032086,377,50.4010695187166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ADAMS","CITY OF ADAMS","CITY OF ADAMS WARD 1-4 ADAMS"
"4","CITY OF ALGOMA KEWAUNEE","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE","CITY OF ALGOMA WARD 1-6 KEWAUNEE","CITY OF ALGOMA","KEWAUNEE",694,46.9871360866622,87,1477,5.89031821259309,696,47.1225457007448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA WARD 1-6 KEWAUNEE"
"5","CITY OF ALMA BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO","CITY OF ALMA WARDS 1-2 BUFFALO","CITY OF ALMA","BUFFALO",173,41.1904761904762,22,420,5.23809523809524,225,53.5714285714286,252,6,447,189,56.3758389261745,42.2818791946309,1.34228187919463,-79,36,16,-15.1853627356983,11.2895493767977,3.89581335890061,0,1,"BUFFALO","CITY OF ALMA","CITY OF ALMA WARDS 1-2 BUFFALO"
"6","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",1814,47.3752938103944,298,3829,7.78271089057195,1717,44.8419952990337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"7","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-12-15-EAU-CLAIRE","CITY OF ALTOONA WARDS 12-15 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",2,100,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"8","CITY OF AMERY POLK","CITY-OF-AMERY-WARD-1-5-POLK","CITY OF AMERY WARDS 1-5 POLK","CITY OF AMERY","POLK",562,41.9402985074627,86,1340,6.41791044776119,692,51.6417910447761,737,23,1436,676,51.3231197771588,47.075208913649,1.6016713091922,-175,16,63,-9.38282126969609,4.5665821311271,4.81623913856899,0,1,"POLK","CITY OF AMERY","CITY OF AMERY WARDS 1-5 POLK"
"9","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY OF ANTIGO","LANGLADE",152,41.304347826087,18,368,4.89130434782609,198,53.804347826087,225,2,400,173,56.25,43.25,0.5,-73,25,16,-14.945652173913,10.554347826087,4.39130434782609,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"10","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY OF ANTIGO","LANGLADE",169,40.9200968523002,22,413,5.32687651331719,222,53.7530266343826,217,7,431,207,50.3480278422274,48.0278422273782,1.62412993039443,-48,15,15,-9.42793098992714,5.72518440700437,3.70274658292276,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
