"","muni_county","reporting_unit","reporting_unit_orig","municipality","county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit"
"1","CITY OF ABBOTSFORD MARATHON","CITY-OF-ABBOTSFORD-WARD-1-MARATHON","CITY OF ABBOTSFORD WARD 1 MARATHON","CITY OF ABBOTSFORD","MARATHON",58,39.1891891891892,5,148,3.37837837837838,85,57.4324324324324,61,3,141,77,43.2624113475177,54.6099290780142,2.12765957446809,-3,8,2,-4.07322215832855,2.82250335441825,1.25071880391029,0,0,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1 MARATHON"
"2","CITY OF ABBOTSFORD CLARK","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK","CITY OF ABBOTSFORD WARDS 2-5 CLARK","CITY OF ABBOTSFORD","CLARK",232,36.25,35,640,5.46875,373,58.28125,278,7,671,386,41.4307004470939,57.5260804769002,1.04321907600596,-46,-13,28,-5.18070044709389,0.755169523099838,4.42553092399404,0,0,"CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARDS 2-5 CLARK"
"3","CITY OF ADAMS ADAMS","CITY-OF-ADAMS-WARD-1-4-ADAMS","CITY OF ADAMS WARD 1-4 ADAMS","CITY OF ADAMS","ADAMS",325,43.4491978609626,46,748,6.14973262032086,377,50.4010695187166,497,3,798,298,62.280701754386,37.34335839599,0.37593984962406,-172,79,43,-18.8315038934234,13.0577111227266,5.7737927706968,0,1,"ADAMS","CITY OF ADAMS","CITY OF ADAMS WARD 1-4 ADAMS"
"4","CITY OF ALGOMA KEWAUNEE","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE","CITY OF ALGOMA WARD 1-6 KEWAUNEE","CITY OF ALGOMA","KEWAUNEE",694,46.9871360866622,87,1477,5.89031821259309,696,47.1225457007448,889,22,1542,631,57.6523994811932,40.9208819714656,1.42671854734112,-195,65,65,-10.6652633945311,6.20166372927913,4.46359966525198,0,1,"KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA WARD 1-6 KEWAUNEE"
"5","CITY OF ALMA BUFFALO","CITY-OF-ALMA-WARD-1-2-BUFFALO","CITY OF ALMA WARDS 1-2 BUFFALO","CITY OF ALMA","BUFFALO",173,41.1904761904762,22,420,5.23809523809524,225,53.5714285714286,234,6,450,210,52,46.6666666666667,1.33333333333333,-61,15,16,-10.8095238095238,6.90476190476191,3.9047619047619,0,1,"BUFFALO","CITY OF ALMA","CITY OF ALMA WARDS 1-2 BUFFALO"
"6","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",1814,47.3752938103944,298,3829,7.78271089057195,1717,44.8419952990337,1977,44,3576,1555,55.2852348993289,43.4843400447427,1.23042505592841,-163,162,254,-7.9099410889345,1.35765525429096,6.55228583464354,1,1,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"7","CITY OF ALTOONA EAU CLAIRE","CITY-OF-ALTOONA-WARD-12-15-EAU-CLAIRE","CITY OF ALTOONA WARDS 12-15 EAU CLAIRE","CITY OF ALTOONA","EAU CLAIRE",2,100,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11 EAU CLAIRE"
"8","CITY OF AMERY POLK","CITY-OF-AMERY-WARD-1-5-POLK","CITY OF AMERY WARDS 1-5 POLK","CITY OF AMERY","POLK",562,41.9402985074627,86,1340,6.41791044776119,692,51.6417910447761,684,13,1326,629,51.5837104072398,47.4358974358974,0.980392156862745,-122,63,73,-9.64341189977714,4.20589360887869,5.43751829089845,0,1,"POLK","CITY OF AMERY","CITY OF AMERY WARDS 1-5 POLK"
"9","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-1-LANGLADE","CITY OF ANTIGO WARD 1 LANGLADE","CITY OF ANTIGO","LANGLADE",152,41.304347826087,18,368,4.89130434782609,198,53.804347826087,158,8,360,194,43.8888888888889,53.8888888888889,2.22222222222222,-6,4,10,-2.58454106280193,-0.0845410628019323,2.66908212560386,0,0,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
"10","CITY OF ANTIGO LANGLADE","CITY-OF-ANTIGO-WARD-2-LANGLADE","CITY OF ANTIGO WARD 2 LANGLADE","CITY OF ANTIGO","LANGLADE",169,40.9200968523002,22,413,5.32687651331719,222,53.7530266343826,201,9,393,183,51.1450381679389,46.5648854961832,2.29007633587786,-32,39,13,-10.2249413156387,7.18814113819936,3.03680017743933,0,1,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1 LANGLADE"
