"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","obama","romney","undecided","other","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","romney.defs","obama.defs","other.defs"
"1","--","Politico/GWU/Battleground",2012-11-04,"2012-11-05","2012-11-06T08:40:26Z",1000,"Likely Voters","Live Phone",47,47,6,NA,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16674","http://www.politico.com/news/stories/1112/83380.html","Nonpartisan","None",NA,1,0,94,50,50,NA
"2","--","YouGov/Economist",2012-11-03,"2012-11-05","2012-11-26T15:31:23Z",740,"Likely Voters","Internet",49,47,3,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16733","http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf","Nonpartisan","None",NA,1,0,96,48.9583333333333,51.0416666666667,NA
"3","--","Gravis Marketing",2012-11-03,"2012-11-05","2012-11-06T09:22:02Z",872,"Likely Voters","Automated Phone",48,48,4,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-16681","http://www.gravispolls.com/2012/11/gravis-marketing-national-poll-shows.html","Nonpartisan","None",NA,1,0,96,50,50,NA
"4","--","IBD/TIPP",2012-11-03,"2012-11-05","2012-11-06T08:51:48Z",712,"Likely Voters","Live Phone",50,49,NA,1,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16679","http://news.investors.com/special-report/508415-ibdtipp-poll.aspx","Nonpartisan","None",NA,1,1,100,49,50,1
"5","--","Rasmussen",2012-11-03,"2012-11-05","2012-11-06T08:47:50Z",1500,"Likely Voters","Automated Phone",48,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16677","http://www.rasmussenreports.com/public_content/politics/obama_administration/daily_presidential_tracking_poll","Nonpartisan","None",NA,1,0,97,50.5154639175258,49.4845360824742,NA
"6","--","JZ Analytics/Newsmax",2012-11-03,"2012-11-05","2012-11-06T07:38:41Z",1041,"Likely Voters","Internet",47,47,6,NA,"http://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16670","http://www.jzanalytics.com/","Sponsor","Rep",NA,1,0,94,50,50,NA
"7","--","UPI/CVOTER",2012-11-03,"2012-11-05","2012-11-05T18:30:15Z",3000,"Likely Voters","Live Phone",49,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16669","","Nonpartisan","None",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"8","--","Ipsos/Reuters (Web)",2012-11-01,"2012-11-05","2012-11-05T16:12:48Z",4725,"Likely Voters","Internet",48,46,4,2,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16655","http://big.assets.huffingtonpost.com/ipsos110512.pdf","Nonpartisan","None",NA,1,2,96,47.9166666666667,50,2.08333333333333
"9","--","ARG",2012-11-02,"2012-11-04","2012-11-05T13:06:54Z",1200,"Likely Voters","Live Phone",49,49,1,1,"http://elections.huffingtonpost.com/pollster/polls/arg-16636","http://americanresearchgroup.com/pres2012/NA12.html","Nonpartisan","None",NA,1,1,99,49.4949494949495,49.4949494949495,1.01010101010101
"10","--","PPP (D-Americans United for Change)",2012-11-02,"2012-11-04","2012-11-04T22:32:19Z",1200,"Likely Voters","Automated Phone",50,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16610","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf","Sponsor","Dem",NA,1,0,98,48.9795918367347,51.0204081632653,NA
