county,Total Voter Reg,TotalTurnout_2016,Hillary Clinton_2016,Donald J. Trump_2016,other_2016,Total_2016,HRCmargin_2016,change%_D,change%_R,change%_other,change%_Total,HRC%_2016,DJT%_2016,other%_2016,County%_2016,Dwin_2016 (1=Dem win),Switch (1=switch),Method_2016.1paperonly.2.paper.machine.combo,Obama_2012,Romney_2012,Others_2012,Total_2012,BHO%_2012,MR%_2012,other%_2012,County_2012,Dwin_2012,"Method_2012 (1=paper only, 2=paper and machine combo)",pop_2014_est,pop_voterage_2014_est_calc,pop_2010_real,%under18_2013,%whitewithlatino_2013,%blackonly_2013,pop_blackonly_2013_calc,%whitenolatino_2013,pop_whitenolatino_2013_calc,pop_nonwhite_2013_calc,%_collegedegreepersons25+_2013,pop_collegedegreepersons25+_2013_calc,ratio_white_nonwhite,ratio_white_black,ratio_nocollege_college,medianhouseholdincome_2009-2013,pop_sq_mile_2010
Menominee,1911,66.93%,"1,003",269,7,"1,279",734,-15.79%,50.28%,0.00%,-7.12%,78.42%,21.03%,0.55%,0.04%,1,0,2,"1,191",179,7,"1,377",86.49%,13.00%,0.51%,0.04%,1,2,4522,3030,4232,33,12.2,0.8,24,11.6,351,2678,15.8,479,0.1,14.5,5.3,33333,11.8
Florence,3025,87.64%,666,"1,897",88,2651,-1231,-30.12%,15.32%,225.93%,0.99%,25.12%,71.56%,3.32%,0.09%,0,0,2,953,"1,645",27,"2,625",36.30%,62.67%,1.03%,0.09%,0,2,4481,3769,4423,15.9,97.1,0.4,15,96.3,3629,139,14.5,546,26,240.8,5.9,47960,9.1
Iron,4259,81.64%,"1,273","2,090",114,"3,477",-817,-28.64%,16.76%,96.55%,-4.27%,36.61%,60.11%,3.28%,0.12%,0,0,2,"1,784","1,790",58,"3,632",49.12%,49.28%,1.60%,0.12%,0,2,5917,4976,5916,15.9,97.3,0.2,10,96.8,4817,159,20.8,1035,30.2,484,3.8,39051,7.8
Pepin,4324,86.63%,"1,345","2,228",173,"3,746",-883,-28.30%,24.19%,496.55%,1.27%,35.90%,59.48%,4.62%,0.13%,0,1,2,"1,876","1,794",29,"3,699",50.72%,48.50%,0.78%,0.12%,1,2,7335,5692,7469,22.4,98.1,0.5,28,96.9,5516,176,17.1,973,31.3,193.8,4.8,47701,32.2
Forest,5730,78.66%,"1,583","2,787",137,"4,507",-1204,-34.72%,28.31%,168.63%,-3.03%,35.12%,61.84%,3.04%,0.15%,0,1,2,"2,425","2,172",51,"4,648",52.17%,46.73%,1.10%,0.15%,1,2,9127,7238,9304,20.7,81.7,1,72,80.9,5855,1382,12.2,883,4.2,80.9,7.2,39963,9.2
Buffalo,8313,83.26%,"2,531","4,049",341,"6,921",-1518,-29.10%,20.36%,224.76%,-1.68%,36.57%,58.50%,4.93%,0.24%,0,1,2,"3,570","3,364",105,"7,039",50.72%,47.79%,1.49%,0.23%,1,2,13188,10379,13587,21.3,98,0.4,42,96.4,10005,374,17.2,1785,26.8,241,4.8,47384,20.2
Rusk,8218,85.53%,"2,171","4,564",294,"7,029",-2393,-36.09%,24.16%,149.15%,-2.25%,30.89%,64.93%,4.18%,0.24%,0,0,2,"3,397","3,676",118,"7,191",47.24%,51.12%,1.64%,0.23%,0,2,14333,11280,14755,21.3,97.5,0.6,68,96.1,10840,440,14.3,1613,24.6,160.2,6,38658,16.2
Price,8848,85.44%,"2,671","4,562",327,"7,560",-1891,-31.28%,17.46%,151.54%,-4.32%,35.33%,60.34%,4.33%,0.26%,0,1,2,"3,887","3,884",130,"7,901",49.20%,49.16%,1.65%,0.26%,1,2,13675,11227,14159,17.9,96.8,0.5,56,95.5,10722,505,15.3,1718,21.2,191,5.5,42644,11.3
Lafayette,9273,81.98%,"3,288","3,977",337,"7,602",-689,-27.51%,20.01%,230.39%,-4.40%,43.25%,52.32%,4.43%,0.26%,0,1,2,"4,536","3,314",102,"7,952",57.04%,41.68%,1.28%,0.26%,1,2,16853,12690,16836,24.7,97.9,0.4,51,94.8,12030,660,16.5,2094,18.2,237,5.1,49107,26.6
Crawford,9238,83.11%,"3,426","3,844",408,"7,678",-418,-25.99%,25.33%,237.19%,-1.78%,44.62%,50.07%,5.31%,0.26%,0,1,2,"4,629","3,067",121,"7,817",59.22%,39.24%,1.55%,0.25%,1,2,16392,12933,16644,21.1,96.5,2,259,95.6,12364,569,15.4,1992,21.7,47.8,5.5,42235,29.2
Sawyer,10872,71.44%,"2,846","4,625",296,"7,767",-1779,-36.56%,4.12%,205.15%,-13.94%,36.64%,59.55%,3.81%,0.26%,0,1,2,"4,486","4,442",97,"9,025",49.71%,49.22%,1.07%,0.29%,1,2,16437,13117,16557,20.2,78.8,0.6,79,77.6,10179,2938,22,2886,3.5,129.3,3.5,39904,13.2
Marquette,9267,84.31%,"2,808","4,712",293,"7,813",-1904,-30.04%,18.04%,195.96%,-3.60%,35.94%,60.31%,3.75%,0.27%,0,1,2,"4,014","3,992",99,"8,105",49.52%,49.25%,1.22%,0.26%,1,2,15050,12070,15404,19.8,97.3,0.6,72,94.5,11406,664,12.9,1557,17.2,157.5,6.8,46077,33.8
