"","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality","county","hand","os.use","tch.use","bmd.use"
"1","CITY OF ABBOTSFORD CLARK",232,36.25,35,640,5.46875,778,373,58.28125,278,7,671,386,86.2467866323908,41.4307004470939,57.5260804769002,1.04321907600596,-46,-13,28,-5.18070044709389,0.755169523099838,4.42553092399404,82.2622107969152,-3.98457583547558,0,0,"CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARDS 2-5",1,"ES&S","ES&S M100","ES&S Automark","CITY OF ABBOTSFORD CLARK",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5501900100",1,775,"Wisconsin","Clark City","Abbotsford","Ballot Marking Device or System","Yes","City","CITY OF ABBOTSFORD","CLARK",0,1,0,1
"2","CITY OF ABBOTSFORD MARATHON",58,39.1891891891892,5,148,3.37837837837838,170,85,57.4324324324324,61,3,141,77,82.9411764705882,43.2624113475177,54.6099290780142,2.12765957446809,-3,8,2,-4.07322215832855,2.82250335441825,1.25071880391029,87.0588235294118,4.11764705882352,0,0,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1",0,NA,NA,NA,"CITY OF ABBOTSFORD CLARK",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5507300100",1,775,"Wisconsin","Clark City","Abbotsford","Ballot Marking Device or System","Yes","City","CITY OF ABBOTSFORD","CLARK",0,1,0,1
"3","CITY OF ADAMS ADAMS",325,43.4491978609626,46,748,6.14973262032086,1064,377,50.4010695187166,497,3,798,298,75,62.280701754386,37.34335839599,0.37593984962406,-172,79,43,-18.8315038934234,13.0577111227266,5.7737927706968,70.3007518796992,-4.69924812030075,0,1,"ADAMS","CITY OF ADAMS","CITY OF ADAMS WARD 1-4",1,"Optech","Optech/Command Central- Eagle","ES&S Automark","CITY OF ADAMS ADAMS",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5500100275",1,971,"Wisconsin","Adams City","Adams","Ballot Marking Device or System","Yes","City","CITY OF ADAMS","ADAMS",0,1,0,1
"4","CITY OF ALGOMA KEWAUNEE",694,46.9871360866622,87,1477,5.89031821259309,1855,696,47.1225457007448,889,22,1542,631,83.1266846361186,57.6523994811932,40.9208819714656,1.42671854734112,-195,65,65,-10.6652633945311,6.20166372927913,4.46359966525198,79.622641509434,-3.50404312668464,0,1,"KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA WARD 1-6",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF ALGOMA KEWAUNEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506101000",1,1849,"Wisconsin","Kewaunee City","Algoma","DRE-Touchscreen","Yes","City","CITY OF ALGOMA","KEWAUNEE",0,1,1,0
"5","CITY OF ALMA BUFFALO",173,41.1904761904762,22,420,5.23809523809524,551,225,53.5714285714286,234,6,450,210,81.6696914700544,52,46.6666666666667,1.33333333333333,-61,15,16,-10.8095238095238,6.90476190476191,3.9047619047619,76.2250453720508,-5.44464609800363,0,1,"BUFFALO","CITY OF ALMA","CITY OF ALMA WARDS 1-2",0,NA,NA,NA,"CITY OF ALMA BUFFALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5501101225",1,511,"Wisconsin","Buffalo City","Alma","DRE-Touchscreen","Yes","City","CITY OF ALMA","BUFFALO",1,0,1,0
"6","CITY OF ALTOONA EAU CLAIRE",1816,47.4027669015923,298,3831,7.77864787261811,4896,1717,44.8185852257896,1977,44,3576,1555,73.0392156862745,55.2852348993289,43.4843400447427,1.23042505592841,-161,162,254,-7.88246799773659,1.33424518104688,6.5482228166897,78.2475490196078,5.20833333333334,1,1,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","CITY OF ALTOONA EAU CLAIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5503501550",1,4495,"Wisconsin","Eau Claire City","Altoona","DRE-Touchscreen","Yes","City","CITY OF ALTOONA","EAU CLAIRE",0,1,1,0
"7","CITY OF AMERY POLK",562,41.9402985074627,86,1340,6.41791044776119,1646,692,51.6417910447761,684,13,1326,629,80.5589307411908,51.5837104072398,47.4358974358974,0.980392156862745,-122,63,73,-9.64341189977714,4.20589360887869,5.43751829089845,81.4094775212637,0.850546780072904,0,1,"POLK","CITY OF AMERY","CITY OF AMERY WARDS 1-5",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF AMERY POLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5509501725",1,1642,"Wisconsin","Polk City","Amery","Optical Scan","Yes","City","CITY OF AMERY","POLK",0,1,1,0
"8","CITY OF ANTIGO LANGLADE",1288,37.9269729093051,155,3396,4.56419316843345,4432,1953,57.5088339222615,1714,66,3567,1787,80.4828519855596,48.0515839641155,50.0981216708719,1.85029436501262,-426,166,89,-10.1246110548104,7.4107122513896,2.71389880342084,76.6245487364621,-3.85830324909747,0,0,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF ANTIGO LANGLADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"5506702250",9,4136,"Wisconsin","Langlade City","Antigo","DRE-Touchscreen","Yes","City","CITY OF ANTIGO","LANGLADE",0,1,1,0
"9","CITY OF APPLETON CALUMET",2587,46.3703172611579,391,5579,7.00842444882595,6529,2601,46.6212582900161,2948,90,5747,2709,88.0226680961862,51.2963285192274,47.1376370280146,1.56603445275796,-361,-108,301,-4.9260112580695,-0.516378737998487,5.44238999606799,85.4495328534232,-2.57313524276304,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12",0,NA,NA,NA,"CITY OF APPLETON OUTAGAMIE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5501502375",59,36180,"Wisconsin","Outagamie City","Appleton","Ballot Marking Device or System","Yes","City","CITY OF APPLETON","OUTAGAMIE",0,1,0,1
"10","CITY OF APPLETON OUTAGAMIE",15065,49.6588324488249,2126,30337,7.00794409466988,36645,13146,43.3332234565053,16875,705,31592,14012,86.210942829854,53.415421625728,44.353000759686,2.23157761458597,-1810,-866,1421,-3.75658917690316,-1.01977730318074,4.7763664800839,82.7861918406331,-3.4247509892209,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1",1,"ES&S","ES&S M100","ES&S Automark","CITY OF APPLETON OUTAGAMIE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5508702375",59,36180,"Wisconsin","Outagamie City","Appleton","Ballot Marking Device or System","Yes","City","CITY OF APPLETON","OUTAGAMIE",0,1,0,1
