"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"1","CITY OF ABBOTSFORD CLARK","CLARK","CITY OF ABBOTSFORD",735,1,2,90,90,90,0,0,0,5,0,0,0,1,4,0,0,0,0,21,0,3,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0
"2","CITY OF ABBOTSFORD MARATHON","MARATHON","CITY OF ABBOTSFORD",133,0,1,14,14,14,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",932,0,5,113,113,113,0,0,0,8,0,0,1,3,2,0,0,0,0,34,0,3,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"4","CITY OF ALGOMA KEWAUNEE","KEWAUNEE","CITY OF ALGOMA",1731,0,16,377,377,0,56,321,0,10,0,0,0,1,2,0,0,1,0,62,16,3,4,58,54,5,0,0,0,0,0,0,0,0,0,0,0
"5","CITY OF ALMA BUFFALO","BUFFALO","CITY OF ALMA",510,1,2,76,76,5,0,71,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"6","CITY OF ALTOONA EAU CLAIRE","EAU CLAIRE","CITY OF ALTOONA",4087,8,30,613,613,2,544,67,0,8,0,0,0,2,2,0,0,0,0,202,13,19,12,170,172,0,0,0,0,0,1,0,0,1,1,0,0
"7","CITY OF AMERY POLK","POLK","CITY OF AMERY",1501,5,7,176,176,54,54,122,0,9,0,0,1,1,3,0,0,0,0,75,2,21,0,57,53,4,0,0,0,0,0,0,0,0,0,0,0
"8","CITY OF ANTIGO LANGLADE","LANGLADE","CITY OF ANTIGO",3923,14,17,478,478,359,119,0,0,7,0,0,0,1,1,0,0,0,0,110,31,15,5,88,91,0,0,0,0,0,3,3,0,0,0,0,0
"9","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",6153,4,40,780,780,0,780,0,0,63,0,0,0,0,18,0,0,0,0,70,13,0,1,51,57,0,0,0,0,0,0,0,0,0,0,0,0
"10","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",33775,39,264,4907,4909,0,4909,0,0,439,0,0,0,28,161,0,0,0,0,620,129,0,11,485,489,6,0,0,0,0,1,0,0,0,0,0,0
"11","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",499,0,1,95,95,0,95,0,0,20,0,0,0,0,0,0,0,0,0,89,1,0,1,74,75,0,0,0,0,0,0,0,0,0,0,0,0
"12","CITY OF ARCADIA TREMPEALEAU","TREMPEALEAU","CITY OF ARCADIA",1040,0,1,82,82,45,0,37,0,3,0,0,0,1,2,0,0,0,0,20,1,11,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"13","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",4599,7,55,667,666,1,665,0,0,17,0,0,0,0,4,0,0,0,0,128,14,42,4,84,84,1,0,0,0,0,0,0,0,0,0,0,0
"14","CITY OF ASHLAND BAYFIELD","BAYFIELD","CITY OF ASHLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CITY OF AUGUSTA EAU CLAIRE","EAU CLAIRE","CITY OF AUGUSTA",707,0,0,82,82,2,36,44,0,3,0,0,0,2,0,0,0,0,0,9,0,1,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
"16","CITY OF BARABOO SAUK","SAUK","CITY OF BARABOO",6360,12,52,1245,1243,0,1245,0,0,44,0,0,0,6,23,2,0,1,1,373,20,58,12,289,290,2,0,0,0,0,1,1,0,0,0,0,0
"17","CITY OF BARRON BARRON","BARRON","CITY OF BARRON",1520,2,5,181,181,0,47,134,0,14,0,2,0,0,4,0,0,0,0,65,1,31,0,35,32,3,0,0,0,0,0,0,0,0,0,0,0
"18","CITY OF BAYFIELD BAYFIELD","BAYFIELD","CITY OF BAYFIELD",393,0,7,189,189,0,189,0,0,7,0,0,0,3,2,1,0,0,1,30,12,0,0,28,30,0,0,0,0,0,0,0,0,0,0,0,0
"19","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",8053,11,39,998,998,0,998,0,0,38,0,0,2,6,9,0,0,0,0,143,28,26,3,111,113,0,0,0,0,0,1,1,0,0,0,0,0
"20","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",16233,11,20,1299,1299,0,1299,0,0,74,0,0,1,17,34,0,1,0,1,276,49,47,8,218,226,10,0,0,0,0,0,0,0,0,0,0,0
"21","CITY OF BERLIN GREEN LAKE","GREEN LAKE","CITY OF BERLIN",2583,6,15,265,265,45,0,220,0,3,0,0,0,0,1,0,0,0,0,30,26,0,0,4,29,1,0,0,0,0,0,0,0,0,0,0,0
