"","reporting_unit","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"1","CITY-OF-ABBOTSFORD-WARD-1-6-MARATHON","CITY OF ABBOTSFORD MARATHON","MARATHON","CITY OF ABBOTSFORD",133,0,1,14,14,14,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CITY-OF-ABBOTSFORD-WARD-2-5-CLARK","CITY OF ABBOTSFORD CLARK","CLARK","CITY OF ABBOTSFORD",735,1,2,90,90,90,0,0,0,5,0,0,0,1,4,0,0,0,0,21,0,3,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0
"3","CITY-OF-ADAMS-WARD-1-4-ADAMS","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",442,0,1,47,47,47,0,0,0,4,0,0,1,1,1,0,0,0,0,21,0,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"4","CITY-OF-ADAMS-WARD-2-3-ADAMS","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",490,0,4,66,66,66,0,0,0,4,0,0,0,2,1,0,0,0,0,13,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"5","CITY-OF-ALGOMA-WARD-1-6-KEWAUNEE","CITY OF ALGOMA KEWAUNEE","KEWAUNEE","CITY OF ALGOMA",1731,0,16,377,377,0,56,321,0,10,0,0,0,1,2,0,0,1,0,62,16,3,4,58,54,5,0,0,0,0,0,0,0,0,0,0,0
"6","CITY-OF-ALMA-WARD-1-2-BUFFALO","CITY OF ALMA BUFFALO","BUFFALO","CITY OF ALMA",510,1,2,76,76,5,0,71,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"7","CITY-OF-ALTOONA-WARD-1-11-EAU-CLAIRE","CITY OF ALTOONA EAU CLAIRE","EAU CLAIRE","CITY OF ALTOONA",4087,8,30,613,613,2,544,67,0,8,0,0,0,2,2,0,0,0,0,202,13,19,12,170,172,0,0,0,0,0,1,0,0,1,1,0,0
"8","CITY-OF-AMERY-WARD-1-5-POLK","CITY OF AMERY POLK","POLK","CITY OF AMERY",1501,5,7,176,176,54,54,122,0,9,0,0,1,1,3,0,0,0,0,75,2,21,0,57,53,4,0,0,0,0,0,0,0,0,0,0,0
"9","CITY-OF-ANTIGO-WARD-1-9-LANGLADE","CITY OF ANTIGO LANGLADE","LANGLADE","CITY OF ANTIGO",3923,14,17,478,478,359,119,0,0,7,0,0,0,1,1,0,0,0,0,110,31,15,5,88,91,0,0,0,0,0,3,3,0,0,0,0,0
"10","CITY-OF-APPLETON-WARD-1-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",750,3,9,136,135,0,136,0,0,9,0,0,0,0,5,0,0,0,0,70,6,0,1,47,47,1,0,0,0,0,0,0,0,0,0,0,0
"11","CITY-OF-APPLETON-WARD-10-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",692,0,3,122,122,0,122,0,0,10,0,0,0,0,4,0,0,0,0,26,5,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
"12","CITY-OF-APPLETON-WARD-11-OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",554,1,8,95,96,0,95,0,0,9,0,0,0,0,3,0,0,0,0,13,7,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
"13","CITY-OF-APPLETON-WARD-12-CALUMET","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",241,2,15,39,39,0,39,0,0,9,0,0,0,0,3,0,0,0,0,9,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
