OBJECTID,GEOID,B03001e1,B03001m1,B03001e2,B03001m2,B03001e3,B03001m3,B03001e4,B03001m4,B03001e5,B03001m5,B03001e6,B03001m6,B03001e7,B03001m7,B03001e8,B03001m8,B03001e9,B03001m9,B03001e10,B03001m10,B03001e11,B03001m11,B03001e12,B03001m12,B03001e13,B03001m13,B03001e14,B03001m14,B03001e15,B03001m15,B03001e16,B03001m16,B03001e17,B03001m17,B03001e18,B03001m18,B03001e19,B03001m19,B03001e20,B03001m20,B03001e21,B03001m21,B03001e22,B03001m22,B03001e23,B03001m23,B03001e24,B03001m24,B03001e25,B03001m25,B03001e26,B03001m26,B03001e27,B03001m27,B03001e28,B03001m28,B03001e29,B03001m29,B03001e30,B03001m30,B03001e31,B03001m31,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
1,06000US5500100275,1660,245,1579,240,81,60,67,64,6,9,0,9,0,9,8,7,0,9,0,9,0,9,0,9,8,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1660,245,1579,240,1510,234,5,12,14,17,4,6,0,9,0,9,46,53,0,9,46,53,81,60,75,63,0,9,0,9,0,9,0,9,0,9,6,9,6,9,0,9,1660,245,1579,240,81,60
2,06000US5500100300,1438,194,1371,186,67,44,33,22,32,35,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,2,3,0,9,0,9,1438,194,1371,186,1269,184,4,7,9,8,18,23,0,9,0,9,71,39,0,9,71,39,67,44,54,41,0,9,0,9,0,9,0,9,4,6,9,12,9,12,0,9,1438,194,1371,186,67,44
3,06000US5500107300,853,130,795,117,58,53,56,53,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,853,130,795,117,784,115,4,8,0,9,0,9,0,9,0,9,7,15,0,9,7,15,58,53,48,52,0,9,0,9,0,9,0,9,3,4,7,8,7,8,0,9,853,130,795,117,58,53
4,06000US5500116075,285,82,280,82,5,6,2,3,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,285,82,280,82,275,82,1,2,0,9,0,9,0,9,0,9,4,7,0,9,4,7,5,6,5,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,285,82,280,82,5,6
5,06000US5500119575,1617,209,1559,199,58,31,53,31,2,4,0,9,0,9,3,4,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1617,209,1559,199,1502,192,8,13,0,9,0,9,0,9,6,9,43,38,0,9,43,38,58,31,34,23,0,9,0,9,0,9,0,9,15,15,9,12,0,9,9,12,1617,209,1559,199,58,31
6,06000US5500122000,993,150,993,150,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,993,150,993,150,959,142,18,28,0,9,0,9,0,9,0,9,16,22,3,4,13,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,993,150,993,150,0,9
7,06000US5500127950,696,158,681,157,15,18,13,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,696,158,681,157,659,159,15,18,0,9,7,11,0,9,0,9,0,9,0,9,0,9,15,18,15,18,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,696,158,681,157,15,18
8,06000US5500137625,1189,142,1133,134,56,52,44,50,12,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1189,142,1133,134,1101,132,0,9,11,12,0,9,0,9,0,9,21,18,10,13,11,11,56,52,12,16,0,9,0,9,0,9,0,9,13,20,31,32,31,32,0,9,1189,142,1133,134,56,52
9,06000US5500143425,324,98,324,98,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,324,98,324,98,311,95,0,9,8,11,0,9,0,9,0,9,5,12,0,9,5,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,324,98,324,98,0,9
10,06000US5500144250,362,86,358,86,4,5,2,4,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,362,86,358,86,336,78,6,9,0,9,13,15,0,9,0,9,3,6,0,9,3,6,4,5,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,362,86,358,86,4,5
