OBJECTID,GEOID,B02001e1,B02001m1,B02001e2,B02001m2,B02001e3,B02001m3,B02001e4,B02001m4,B02001e5,B02001m5,B02001e6,B02001m6,B02001e7,B02001m7,B02001e8,B02001m8,B02001e9,B02001m9,B02001e10,B02001m10,B02008e1,B02008m1,B02009e1,B02009m1,B02010e1,B02010m1,B02011e1,B02011m1,B02012e1,B02012m1,B02013e1,B02013m1,B02014e1,B02014m1,B02014e2,B02014m2,B02014e3,B02014m3,B02014e4,B02014m4,B02014e5,B02014m5,B02014e6,B02014m6,B02014e7,B02014m7,B02014e8,B02014m8,B02014e9,B02014m9,B02014e10,B02014m10,B02014e11,B02014m11,B02014e12,B02014m12,B02014e13,B02014m13,B02014e14,B02014m14,B02014e15,B02014m15,B02014e16,B02014m16,B02014e17,B02014m17,B02014e18,B02014m18,B02014e19,B02014m19,B02014e20,B02014m20,B02014e21,B02014m21,B02014e22,B02014m22,B02014e23,B02014m23,B02014e24,B02014m24,B02014e25,B02014m25,B02014e26,B02014m26,B02014e27,B02014m27,B02014e28,B02014m28,B02014e29,B02014m29,B02014e30,B02014m30,B02014e31,B02014m31,B02014e32,B02014m32,B02014e33,B02014m33,B02014e34,B02014m34,B02014e35,B02014m35,B02014e36,B02014m36,B02014e37,B02014m37,B02014e38,B02014m38,B02014e39,B02014m39,B02014e40,B02014m40,B02014e41,B02014m41,B02014e42,B02014m42,B02014e43,B02014m43,B02014e44,B02014m44,B02014e45,B02014m45,B02014e46,B02014m46,B02014e47,B02014m47,B02014e48,B02014m48,B02014e49,B02014m49,B02014e50,B02014m50,B02014e51,B02014m51,B02014e52,B02014m52,B02014e53,B02014m53,B02014e54,B02014m54,B02014e55,B02014m55,B02015e1,B02015m1,B02015e2,B02015m2,B02015e3,B02015m3,B02015e4,B02015m4,B02015e5,B02015m5,B02015e6,B02015m6,B02015e7,B02015m7,B02015e8,B02015m8,B02015e9,B02015m9,B02015e10,B02015m10,B02015e11,B02015m11,B02015e12,B02015m12,B02015e13,B02015m13,B02015e14,B02015m14,B02015e15,B02015m15,B02015e16,B02015m16,B02015e17,B02015m17,B02015e18,B02015m18,B02015e19,B02015m19,B02015e20,B02015m20,B02015e21,B02015m21,B02015e22,B02015m22,B02015e23,B02015m23,B02015e24,B02015m24,B02015e25,B02015m25,B02016e1,B02016m1,B02016e2,B02016m2,B02016e3,B02016m3,B02016e4,B02016m4,B02016e5,B02016m5,B02016e6,B02016m6,B02016e7,B02016m7,B02016e8,B02016m8,B02016e9,B02016m9,B02016e10,B02016m10,B02016e11,B02016m11,B02016e12,B02016m12,B02017e1,B02017m1,B02017e2,B02017m2,B02017e3,B02017m3,B02017e4,B02017m4,B02017e5,B02017m5,B02017e6,B02017m6,B02017e7,B02017m7,B02017e8,B02017m8,B02017e9,B02017m9,B02017e10,B02017m10,B02017e11,B02017m11,B02017e12,B02017m12,B02017e13,B02017m13,B02017e14,B02017m14,B02017e15,B02017m15,B02017e16,B02017m16,B02017e17,B02017m17,B02017e18,B02017m18,B02017e19,B02017m19,B02017e20,B02017m20,B02017e21,B02017m21,B02017e22,B02017m22,B02017e23,B02017m23,B02017e24,B02017m24,B02017e25,B02017m25,B02017e26,B02017m26,B02017e27,B02017m27,B02017e28,B02017m28,B02017e29,B02017m29,B02017e30,B02017m30,B02017e31,B02017m31,B02017e32,B02017m32,B02017e33,B02017m33,B02017e34,B02017m34,B02017e35,B02017m35,B02017e36,B02017m36,B02017e37,B02017m37,B02017e38,B02017m38,B02017e39,B02017m39,B02017e40,B02017m40,B02017e41,B02017m41,B02017e42,B02017m42,B02017e43,B02017m43,B02017e44,B02017m44,B02017e45,B02017m45,B02017e46,B02017m46,B02017e47,B02017m47,B02017e48,B02017m48,B02017e49,B02017m49,B02017e50,B02017m50,B02017e51,B02017m51,B02017e52,B02017m52,B02017e53,B02017m53,B02017e54,B02017m54,B02018e1,B02018m1,B02018e2,B02018m2,B02018e3,B02018m3,B02018e4,B02018m4,B02018e5,B02018m5,B02018e6,B02018m6,B02018e7,B02018m7,B02018e8,B02018m8,B02018e9,B02018m9,B02018e10,B02018m10,B02018e11,B02018m11,B02018e12,B02018m12,B02018e13,B02018m13,B02018e14,B02018m14,B02018e15,B02018m15,B02018e16,B02018m16,B02018e17,B02018m17,B02018e18,B02018m18,B02018e19,B02018m19,B02018e20,B02018m20,B02018e21,B02018m21,B02018e22,B02018m22,B02018e23,B02018m23,B02018e24,B02018m24,B02019e1,B02019m1,B02019e2,B02019m2,B02019e3,B02019m3,B02019e4,B02019m4,B02019e5,B02019m5,B02019e6,B02019m6,B02019e7,B02019m7,B02019e8,B02019m8,B02019e9,B02019m9,B02019e10,B02019m10,B02019e11,B02019m11,C02003e1,C02003m1,C02003e2,C02003m2,C02003e3,C02003m3,C02003e4,C02003m4,C02003e5,C02003m5,C02003e6,C02003m6,C02003e7,C02003m7,C02003e8,C02003m8,C02003e9,C02003m9,C02003e10,C02003m10,C02003e11,C02003m11,C02003e12,C02003m12,C02003e13,C02003m13,C02003e14,C02003m14,C02003e15,C02003m15,C02003e16,C02003m16,C02003e17,C02003m17,C02003e18,C02003m18,C02003e19,C02003m19
1,06000US5500100275,1660,245,1585,240,5,12,14,17,4,6,0,9,0,9,52,55,6,9,46,53,1637,241,39,50,26,21,4,6,0,9,6,9,14,17,14,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,14,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,26,21,26,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,14,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,12,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1660,245,1608,245,1585,240,5,12,14,17,4,6,0,9,0,9,52,55,6,9,46,53,52,55,34,50,12,17,0,9,0,9,6,9,0,9,0,9
2,06000US5500100300,1438,194,1323,189,4,7,9,8,18,23,0,9,4,6,80,45,9,12,71,39,1403,189,6,10,78,43,18,23,0,9,13,14,9,8,7,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,8,0,9,18,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,78,43,76,44,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,66,54,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,10,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,8,18,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1438,194,1358,192,1323,189,4,7,9,8,18,23,0,9,4,6,80,45,9,12,71,39,80,45,2,4,69,39,0,9,0,9,9,12,0,9,0,9
3,06000US5500107300,853,130,832,129,4,8,0,9,0,9,0,9,3,4,14,17,7,8,7,15,846,130,11,20,0,9,0,9,0,9,10,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,853,130,839,129,832,129,4,8,0,9,0,9,0,9,3,4,14,17,7,8,7,15,14,17,7,15,0,9,0,9,0,9,7,8,0,9,0,9
4,06000US5500116075,285,82,280,82,1,2,0,9,0,9,0,9,0,9,4,7,0,9,4,7,284,82,1,2,0,9,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,285,82,281,81,280,82,1,2,0,9,0,9,0,9,0,9,4,7,0,9,4,7,4,7,0,9,0,9,4,7,0,9,0,9,0,9,0,9
5,06000US5500119575,1617,209,1536,195,8,13,0,9,0,9,0,9,21,19,52,40,0,9,52,40,1588,201,22,37,17,16,21,26,0,9,21,19,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,17,16,9,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,12,0,9,0,9,8,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,21,26,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,21,26,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1617,209,1565,201,1536,195,8,13,0,9,0,9,0,9,21,19,52,40,0,9,52,40,52,40,14,27,17,16,21,26,0,9,0,9,0,9,0,9
6,06000US5500122000,993,150,959,142,18,28,0,9,0,9,0,9,0,9,16,22,3,4,13,22,975,148,31,38,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,993,150,977,144,959,142,18,28,0,9,0,9,0,9,0,9,16,22,3,4,13,22,16,22,13,22,0,9,0,9,0,9,3,4,0,9,0,9
7,06000US5500127950,696,158,674,161,15,18,0,9,7,11,0,9,0,9,0,9,0,9,0,9,674,161,15,18,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,696,158,696,158,674,161,15,18,0,9,7,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8,06000US5500137625,1189,142,1113,134,0,9,11,12,0,9,0,9,13,20,52,39,41,34,11,11,1164,139,1,2,15,17,7,7,3,4,54,52,11,12,11,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,15,17,15,17,0,9,0,9,0,9,0,9,0,9,1,2,0,9,0,9,14,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,7,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,1189,142,1137,132,1113,134,0,9,11,12,0,9,0,9,13,20,52,39,41,34,11,11,49,38,0,9,3,8,4,5,1,2,41,34,3,4,0,9
9,06000US5500143425,324,98,311,95,0,9,8,11,0,9,0,9,0,9,5,12,0,9,5,12,316,97,0,9,13,19,0,9,0,9,0,9,8,11,4,6,0,9,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,13,19,9,13,0,9,0,9,0,9,0,9,0,9,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,324,98,319,95,311,95,0,9,8,11,0,9,0,9,0,9,5,12,0,9,5,12,5,12,0,9,5,12,0,9,0,9,0,9,0,9,0,9
10,06000US5500144250,362,86,340,78,6,9,0,9,13,15,0,9,0,9,3,6,0,9,3,6,343,79,6,9,3,6,13,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,13,15,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,10,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,6,13,15,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,10,15,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,362,86,359,86,340,78,6,9,0,9,13,15,0,9,0,9,3,6,0,9,3,6,3,6,0,9,3,6,0,9,0,9,0,9,0,9,0,9
