"","X","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","obama","romney","undecided","other","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","other.nonas","decided.total","romney.defs","obama.defs","other.defs"
"1",1,"--","Politico/GWU/Battleground","2012-11-04","2012-11-05","2012-11-06T08:40:26Z",1000,"Likely Voters","Live Phone",47,47,6,NA,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16674","http://www.politico.com/news/stories/1112/83380.html","Nonpartisan","None",NA,1,0,94,50,50,NA
"2",2,"--","YouGov/Economist","2012-11-03","2012-11-05","2012-11-26T15:31:23Z",740,"Likely Voters","Internet",49,47,3,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16733","http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf","Nonpartisan","None",NA,1,0,96,48.9583333333333,51.0416666666667,NA
"3",3,"--","Gravis Marketing","2012-11-03","2012-11-05","2012-11-06T09:22:02Z",872,"Likely Voters","Automated Phone",48,48,4,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-16681","http://www.gravispolls.com/2012/11/gravis-marketing-national-poll-shows.html","Nonpartisan","None",NA,1,0,96,50,50,NA
"4",4,"--","IBD/TIPP","2012-11-03","2012-11-05","2012-11-06T08:51:48Z",712,"Likely Voters","Live Phone",50,49,NA,1,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16679","http://news.investors.com/special-report/508415-ibdtipp-poll.aspx","Nonpartisan","None",NA,1,1,100,49,50,1
"5",5,"--","Rasmussen","2012-11-03","2012-11-05","2012-11-06T08:47:50Z",1500,"Likely Voters","Automated Phone",48,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16677","http://www.rasmussenreports.com/public_content/politics/obama_administration/daily_presidential_tracking_poll","Nonpartisan","None",NA,1,0,97,50.5154639175258,49.4845360824742,NA
"6",6,"--","JZ Analytics/Newsmax","2012-11-03","2012-11-05","2012-11-06T07:38:41Z",1041,"Likely Voters","Internet",47,47,6,NA,"http://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16670","http://www.jzanalytics.com/","Sponsor","Rep",NA,1,0,94,50,50,NA
"7",7,"--","UPI/CVOTER","2012-11-03","2012-11-05","2012-11-05T18:30:15Z",3000,"Likely Voters","Live Phone",49,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16669","","Nonpartisan","None",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"8",8,"--","Ipsos/Reuters (Web)","2012-11-01","2012-11-05","2012-11-05T16:12:48Z",4725,"Likely Voters","Internet",48,46,4,2,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16655","http://big.assets.huffingtonpost.com/ipsos110512.pdf","Nonpartisan","None",NA,1,2,96,47.9166666666667,50,2.08333333333333
"9",9,"--","ARG","2012-11-02","2012-11-04","2012-11-05T13:06:54Z",1200,"Likely Voters","Live Phone",49,49,1,1,"http://elections.huffingtonpost.com/pollster/polls/arg-16636","http://americanresearchgroup.com/pres2012/NA12.html","Nonpartisan","None",NA,1,1,99,49.4949494949495,49.4949494949495,1.01010101010101
"10",10,"--","PPP (D-Americans United for Change)","2012-11-02","2012-11-04","2012-11-04T22:32:19Z",1200,"Likely Voters","Automated Phone",50,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16610","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf","Sponsor","Dem",NA,1,0,98,48.9795918367347,51.0204081632653,NA
"11",11,"--","CNN","2012-11-02","2012-11-04","2012-11-04T20:16:09Z",693,"Likely Voters","Live Phone",49,49,2,NA,"http://elections.huffingtonpost.com/pollster/polls/cnn-16606","http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf","Nonpartisan","None",NA,1,0,98,50,50,NA
"12",12,"--","ABC/Post","2012-11-01","2012-11-04","2012-11-05T16:56:22Z",2345,"Likely Voters","Live Phone",50,47,1,1,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16658","http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/","Nonpartisan","None",NA,1,1,98,47.9591836734694,51.0204081632653,1.02040816326531
"13",13,"--","Gallup","2012-11-01","2012-11-04","2012-11-05T13:48:29Z",2551,"Likely Voters","Live Phone",48,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gallup-16641","http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx","Nonpartisan","None",NA,1,0,97,50.5154639175258,49.4845360824742,NA
"14",14,"--","DailyKos/SEIU/PPP (D)","2012-11-01","2012-11-04","2012-11-05T13:31:31Z",1300,"Likely Voters","Automated Phone",50,48,2,NA,"http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16640","http://www.dailykos.com/weeklypolling/2012/11/1","Sponsor","Dem",NA,1,0,98,48.9795918367347,51.0204081632653,NA
"15",15,"--","Monmouth","2012-11-01","2012-11-04","2012-11-05T12:52:03Z",1417,"Likely Voters","IVR/Live Phone",48,48,2,2,"http://elections.huffingtonpost.com/pollster/polls/monmouth-16634","http://cms.monmouth.edu/assets/0/84/159/2147483694/c8af3c69-d7c7-4f41-9749-99d4fa948484.pdf","Nonpartisan","None",NA,1,2,98,48.9795918367347,48.9795918367347,2.04081632653061
"16",16,"--","Democracy Corps (D)","2012-11-01","2012-11-04","2012-11-05T09:41:50Z",1080,"Likely Voters","Live Phone",49,45,NA,1,"http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-16617","http://big.assets.huffingtonpost.com/demcorpstracker.pdf","Pollster","Dem",NA,1,1,95,47.3684210526316,51.5789473684211,1.05263157894737
"17",17,"--","Angus-Reid","2012-11-01","2012-11-03","2012-11-06T08:47:46Z",1019,"Likely Voters","Internet",51,48,NA,1,"http://elections.huffingtonpost.com/pollster/polls/angus-reid-16676","http://www.angus-reid.com/polls/47681/obama-holds-upper-hand-over-romney-in-national-u-s-race/","Nonpartisan","None",NA,1,1,100,48,51,1
"18",18,"--","NBC/WSJ","2012-11-01","2012-11-03","2012-11-04T09:12:21Z",1475,"Likely Voters","Live Phone",48,47,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16546","http://firstread.nbcnews.com/_news/2012/11/04/14924205-final-national-nbcwsj-poll-before-tuesday-obama-48-percent-romney-47-percent?lite","Nonpartisan","None",NA,1,2,97,48.4536082474227,49.4845360824742,2.06185567010309
"19",19,"--","YouGov","2012-10-31","2012-11-03","2012-11-04T16:24:50Z",36472,"Likely Voters","Internet",49,47,3,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-16573","http://cdn.yougov.com/r/1/ygTabs_november_likelyvoters_National.pdf","Nonpartisan","None",NA,1,0,96,48.9583333333333,51.0416666666667,NA
"20",20,"--","Pew","2012-10-31","2012-11-03","2012-11-04T15:46:59Z",2709,"Likely Voters","Live Phone",48,45,NA,3,"http://elections.huffingtonpost.com/pollster/polls/pew-16568","http://www.people-press.org/2012/11/04/obama-gains-edge-in-campaigns-final-days/","Nonpartisan","None",NA,1,3,96,46.875,50,3.125
"21",21,"--","UPI/CVOTER","2012-11-02","2012-11-02","2012-11-03T16:40:44Z",1074,"Likely Voters","Live Phone",49,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16520","","Nonpartisan","None",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"22",22,"--","Rasmussen","2012-10-31","2012-11-02","2012-11-03T10:54:09Z",1500,"Likely Voters","Automated Phone",48,48,2,1,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16498","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,1,97,49.4845360824742,49.4845360824742,1.03092783505155
"23",23,"--","Purple Strategies","2012-10-31","2012-11-01","2012-11-02T12:31:41Z",1000,"Likely Voters","IVR/Online",47,46,7,NA,"http://elections.huffingtonpost.com/pollster/polls/purple-strategies-16463","http://www.purplestrategies.com/wp-content/uploads/November110212_v4.pdf","Nonpartisan","None",NA,1,0,93,49.4623655913978,50.5376344086022,NA
"24",24,"--","JZ Analytics/Newsmax","2012-10-30","2012-11-01","2012-11-02T22:57:27Z",1030,"Likely Voters","Internet",48,46,6,NA,"http://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16483","http://www.jzanalytics.com/","Sponsor","Rep",NA,1,0,94,48.936170212766,51.063829787234,NA
"25",25,"--","PPP (D-Americans United for Change)","2012-10-30","2012-11-01","2012-11-02T05:46:11Z",1200,"Likely Voters","Automated Phone",49,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16442","http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_111.pdf","Sponsor","Dem",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"26",26,"--","Politico/GWU/Battleground","2012-10-29","2012-11-01","2012-11-04T08:42:53Z",1000,"Likely Voters","Live Phone",48,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16544","https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%20and%20Results_6.pdf","Nonpartisan","None",NA,1,0,96,50,50,NA
"27",27,"--","UPI/CVOTER","2012-10-26","2012-11-01","2012-11-02T11:49:24Z",1094,"Likely Voters","Live Phone",48,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16459","http://www.scribd.com/doc/111916274/UPI-CVoter-International-tracking-poll-11-2","Nonpartisan","None",NA,1,0,96,50,50,NA
"28",28,"--","Washington Times/JZ Analytics","2012-10-29","2012-10-31","2012-11-04T06:37:30Z",800,"Likely Voters","Live Phone",49,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-16540","http://www.washingtontimes.com/news/2012/nov/1/poll-shows-obama-romney-in-a-dead-heat/","Nonpartisan","None",NA,1,0,98,50,50,NA
"29",29,"--","ABC/Post","2012-10-28","2012-10-31","2012-11-01T17:05:21Z",1293,"Likely Voters","Live Phone",49,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16436","http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/01/wapo-abc-tracking-poll-presidential-contest-as-close-as-close-can-be/","Nonpartisan","None",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"30",30,"--","Ipsos/Reuters (Web)","2012-10-27","2012-10-31","2012-10-31T14:56:53Z",4085,"Likely Voters","Internet",47,46,4,3,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16379","http://big.assets.huffingtonpost.com/ipsos103112.pdf","Nonpartisan","None",NA,1,3,96,47.9166666666667,48.9583333333333,3.125
"31",31,"--","FOX","2012-10-28","2012-10-30","2012-10-31T18:19:21Z",1128,"Likely Voters","Live Phone",46,46,6,1,"http://elections.huffingtonpost.com/pollster/polls/fox-16385","http://www.foxnews.com/politics/interactive/2012/10/31/fox-news-poll-race-for-white-house-dead-heat/","Nonpartisan","None",NA,1,1,93,49.4623655913978,49.4623655913978,1.0752688172043
"32",32,"--","Rasmussen","2012-10-28","2012-10-30","2012-10-31T10:39:13Z",1500,"Likely Voters","Automated Phone",47,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16363","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,0,96,51.0416666666667,48.9583333333333,NA
"33",33,"--","High Point University","2012-10-22","2012-10-30","2012-11-01T13:19:44Z",805,"Registered Voters","Live Phone",46,43,11,1,"http://elections.huffingtonpost.com/pollster/polls/high-point-university-16425","http://acme.highpoint.edu/~mkifer/src/19release.pdf","Nonpartisan","None",NA,1,1,90,47.7777777777778,51.1111111111111,1.11111111111111
"34",34,"--","JZ Analytics/Newsmax","2012-10-27","2012-10-29","2012-10-30T17:16:32Z",1073,"Likely Voters","Internet",46,47,7,NA,"http://elections.huffingtonpost.com/pollster/polls/jz-analytics-newsmax-16339","http://www.jzanalytics.com/","Sponsor","Rep",NA,1,0,93,50.5376344086022,49.4623655913978,NA
"35",35,"--","YouGov/Economist","2012-10-26","2012-10-28","2012-10-31T10:50:02Z",688,"Likely Voters","Internet",48,47,1,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-16365","http://today.yougov.com/news/2012/10/31/hurricane-sandy-obama-one/","Nonpartisan","None",NA,1,0,95,49.4736842105263,50.5263157894737,NA
"36",36,"--","PPP (D-Americans United for Change)","2012-10-26","2012-10-28","2012-10-29T09:34:59Z",1200,"Likely Voters","Automated Phone",48,49,3,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16259","http://www.publicpolicypolling.com/pdf/2011/102610271028TrackerResults.pdf","Sponsor","Dem",NA,1,0,97,50.5154639175258,49.4845360824742,NA
"37",37,"--","United Technologies/National Journal","2012-10-25","2012-10-28","2012-10-31T15:01:15Z",713,"Likely Voters","Live Phone",50,45,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/united-technologies-national-journal-16380","http://www.nationaljournal.com/daily/anger-aside-voters-favor-d-c-status-quo-20121031","Nonpartisan","None",NA,1,0,95,47.3684210526316,52.6315789473684,NA
"38",38,"--","CBS/Times","2012-10-25","2012-10-28","2012-10-30T22:58:00Z",563,"Likely Voters","Live Phone",48,47,3,1,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-16346","http://big.assets.huffingtonpost.com/OctQuin.pdf","Nonpartisan","None",NA,1,1,96,48.9583333333333,50,1.04166666666667
"39",39,"--","DailyKos/SEIU/PPP (D)","2012-10-25","2012-10-28","2012-10-30T11:31:10Z",1400,"Likely Voters","Automated Phone",49,49,3,NA,"http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-16322","http://www.dailykos.com/weeklypolling/2012/10/25","Sponsor","Dem",NA,1,0,98,50,50,NA
"40",40,"--","ARG","2012-10-25","2012-10-28","2012-10-29T14:35:29Z",1200,"Likely Voters","Live Phone",48,48,3,1,"http://elections.huffingtonpost.com/pollster/polls/arg-16284","http://americanresearchgroup.com/pres2012/NA12.html","Nonpartisan","None",NA,1,1,97,49.4845360824742,49.4845360824742,1.03092783505155
"41",41,"--","Pew","2012-10-24","2012-10-28","2012-10-29T13:56:16Z",1495,"Likely Voters","Live Phone",47,47,6,NA,"http://elections.huffingtonpost.com/pollster/polls/pew-16283","http://www.people-press.org/2012/10/29/presidential-race-dead-even-romney-maintains-turnout-edge/","Nonpartisan","None",NA,1,0,94,50,50,NA
"42",42,"--","Gallup","2012-10-22","2012-10-28","2012-10-29T12:59:56Z",2700,"Likely Voters","Live Phone",46,51,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gallup-16279","http://www.gallup.com/poll/157817/election-2012-likely-voters-trial-heat-obama-romney.aspx","Nonpartisan","None",NA,1,0,97,52.5773195876289,47.4226804123711,NA
"43",43,"--","Rasmussen","2012-10-25","2012-10-27","2012-10-28T09:31:47Z",1500,"Likely Voters","Automated Phone",47,50,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16236","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,0,97,51.5463917525773,48.4536082474227,NA
"44",44,"--","ABC/Post","2012-10-24","2012-10-27","2012-10-29T06:28:26Z",1278,"Likely Voters","Live Phone",48,49,1,2,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16257","http://www.washingtonpost.com/blogs/the-fix/wp/2012/10/29/wapo-abc-track-49-romney-48-obama-three-days-running/","Nonpartisan","None",NA,1,2,99,49.4949494949495,48.4848484848485,2.02020202020202
"45",45,"--","IBD/TIPP","2012-10-22","2012-10-27","2012-10-28T14:53:09Z",942,"Likely Voters","Live Phone",45,44,7,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-16244","http://news.investors.com/special-report/508415-ibdtipp-poll.aspx","Nonpartisan","None",NA,1,0,89,49.438202247191,50.561797752809,NA
"46",46,"--","Ipsos/Reuters (Web)","2012-10-22","2012-10-26","2012-10-26T15:08:31Z",1237,"Likely Voters","Internet",47,46,5,3,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-16209","http://big.assets.huffingtonpost.com/ipsos102612.pdf","Nonpartisan","None",NA,1,3,96,47.9166666666667,48.9583333333333,3.125
"47",47,"--","NPR","2012-10-23","2012-10-25","2012-10-30T09:17:17Z",1000,"Likely Voters","Live Phone",47,48,5,1,"http://elections.huffingtonpost.com/pollster/polls/npr-16310","http://media.npr.org/documents/2012/oct/NPROctpoll.pdf","Pollster","Dem",NA,1,1,96,50,48.9583333333333,1.04166666666667
"48",48,"--","PPP (D-Americans United for Change)","2012-10-23","2012-10-25","2012-10-26T06:15:25Z",1200,"Likely Voters","Automated Phone",48,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-16177","http://www.publicpolicypolling.com/pdf/2011/102310241025Results.pdf","Sponsor","Dem",NA,1,0,96,50,50,NA
"49",49,"--","Politico/GWU/Battleground","2012-10-22","2012-10-25","2012-10-29T09:14:17Z",1000,"Likely Voters","Live Phone",49,48,3,NA,"http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16258","http://images.politico.com/global/2012/10/politico_gwbgp_oct29_questionnaire.html","Nonpartisan","None",NA,1,0,97,49.4845360824742,50.5154639175258,NA
"50",50,"--","UPI/CVOTER","2012-10-19","2012-10-25","2012-10-27T10:03:41Z",1203,"Likely Voters","Live Phone",48,48,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-16216","http://big.assets.huffingtonpost.com/upi102612.pdf","Nonpartisan","None",NA,1,0,96,50,50,NA
"51",51,"--","Rasmussen","2012-10-22","2012-10-24","2012-10-25T09:32:18Z",1500,"Likely Voters","Automated Phone",47,50,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-16130","http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2","Nonpartisan","None",NA,1,0,97,51.5463917525773,48.4536082474227,NA
"52",52,"--","ABC/Post","2012-10-20","2012-10-23","2012-10-24T17:07:36Z",1394,"Likely Voters","Live Phone",48,49,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/abc-post-16125","http://www.washingtonpost.com/blogs/the-fix/wp/2012/10/24/post-abc-tracking-poll-obama-wins-final-debate-romney-gains-supporters/","Nonpartisan","None",NA,1,0,97,50.5154639175258,49.4845360824742,NA
