"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_identification","provisional_no_dl","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"1","CITY OF ABBOTSFORD CLARK","CLARK","CITY OF ABBOTSFORD",1200,4,75,646,646,646,0,0,12,0,0,0,1,4,0,0,0,0,87,52,0,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CITY OF ABBOTSFORD MARATHON","MARATHON","CITY OF ABBOTSFORD",165,2,29,148,148,148,148,0,12,0,0,0,2,8,0,0,0,0,23,19,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",957,15,115,760,760,0,760,0,17,0,0,0,4,9,0,0,0,0,127,47,10,0,118,118,0,0,0,0,0,0,2,0,0,2,2,0,0,2,1,0,1,1,0,0
"4","CITY OF ALGOMA KEWAUNEE","KEWAUNEE","CITY OF ALGOMA",1835,26,114,1511,1511,0,1026,485,17,2,0,0,5,4,0,0,0,0,507,388,9,1,496,493,3,0,0,0,0,0,2,0,0,2,2,0,0,3,1,0,2,2,0,0
"5","CITY OF ALMA BUFFALO","BUFFALO","CITY OF ALMA",511,6,42,428,428,73,0,355,5,0,0,0,0,2,0,0,0,0,61,4,1,0,60,60,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"6","CITY OF ALTOONA EAU CLAIRE","EAU CLAIRE","CITY OF ALTOONA",4387,120,504,3859,3859,1,3749,109,44,0,0,0,4,22,0,1,1,0,1564,1206,0,2,1544,1542,3,0,0,0,0,0,5,0,0,3,3,0,0,4,0,0,2,2,0,0
"7","CITY OF AMERY POLK","POLK","CITY OF AMERY",1603,48,207,1379,1379,348,0,1031,11,0,0,0,1,3,0,2,0,2,367,165,4,0,346,346,4,2,0,0,0,0,5,1,0,4,4,0,0,1,0,0,1,1,0,0
"8","CITY OF ANTIGO LANGLADE","LANGLADE","CITY OF ANTIGO",3850,80,495,3449,3449,0,2931,517,27,0,0,0,2,3,1,1,1,1,545,400,6,0,539,536,3,0,0,0,0,0,7,3,0,4,4,0,0,5,2,0,3,3,0,0
"9","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",6532,74,713,5674,5674,0,5674,0,92,0,0,1,18,25,0,0,0,0,1557,1226,14,9,1519,1515,2,8,0,0,0,0,11,4,0,7,7,0,0,6,1,0,5,5,0,0
"10","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",36231,531,3755,30954,30962,4,30952,0,650,0,0,2,47,196,1,0,0,1,9437,7437,145,39,9189,9157,20,29,0,0,0,0,51,13,0,34,34,0,2,61,6,0,52,49,1,2
"11","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",552,9,106,453,453,0,453,0,30,0,0,0,0,8,0,0,0,0,192,61,5,1,180,176,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","CITY OF ARCADIA TREMPEALEAU","TREMPEALEAU","CITY OF ARCADIA",1044,4,120,804,804,0,467,337,8,0,0,0,6,1,0,0,0,0,83,38,2,0,78,78,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"13","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",4947,85,557,4045,4049,4049,0,0,61,0,0,0,2,31,6,3,2,4,771,521,20,0,751,746,5,0,0,0,0,0,7,1,0,6,6,0,0,11,0,0,9,10,0,1
"14","CITY OF AUGUSTA EAU CLAIRE","EAU CLAIRE","CITY OF AUGUSTA",750,14,104,621,621,0,430,191,8,0,0,0,5,1,0,0,0,0,74,60,1,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CITY OF BARABOO SAUK","SAUK","CITY OF BARABOO",6417,199,741,5765,5760,5765,0,0,73,0,0,0,5,37,12,0,6,6,1597,1018,31,11,1551,1547,4,4,0,0,0,0,8,3,1,4,4,0,0,9,0,0,9,9,0,0
"16","CITY OF BARRON BARRON","BARRON","CITY OF BARRON",1588,68,195,1387,1388,0,465,922,19,0,2,1,0,6,0,0,0,0,375,267,12,3,360,360,0,3,0,0,0,0,7,2,0,5,4,1,0,3,0,0,3,3,0,0
"17","CITY OF BAYFIELD BAYFIELD","BAYFIELD","CITY OF BAYFIELD",424,6,24,350,350,0,350,0,9,0,0,0,4,0,0,0,0,0,79,58,1,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","CITY OF BEAVER DAM DODGE","DODGE","CITY OF BEAVER DAM",8452,63,961,7280,7280,0,7280,0,50,0,0,1,6,13,0,2,0,2,1188,857,17,2,1167,1165,2,1,0,0,0,0,8,3,0,5,5,0,0,8,2,0,5,5,1,2
"19","CITY OF BELOIT ROCK","ROCK","CITY OF BELOIT",17364,336,2440,13656,13656,0,13656,0,555,18,70,6,96,162,5,0,1,4,2568,2070,25,6,2521,2510,8,4,0,0,0,0,12,4,0,8,8,0,0,18,1,1,14,14,0,2
"20","CITY OF BERLIN GREEN LAKE","GREEN LAKE","CITY OF BERLIN",2656,69,294,2260,2260,0,1593,667,26,0,0,0,0,14,3,0,1,2,373,297,2,0,76,373,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0
"21","CITY OF BERLIN WAUSHARA","WAUSHARA","CITY OF BERLIN",56,1,1,54,54,0,43,11,26,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","CITY OF BLACK RIVER FALLS JACKSON","JACKSON","CITY OF BLACK RIVER FALLS",1940,42,213,1550,1550,0,1465,85,48,0,0,0,8,36,0,0,0,0,224,154,10,0,212,212,0,0,0,0,0,0,6,2,0,4,4,0,0,1,0,0,1,1,0,0
"23","CITY OF BLAIR TREMPEALEAU","TREMPEALEAU","CITY OF BLAIR",594,20,84,516,516,58,0,458,6,0,0,0,0,1,0,0,0,0,58,49,0,0,57,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","CITY OF BLOOMER CHIPPEWA","CHIPPEWA","CITY OF BLOOMER",2082,35,201,1780,1780,1759,21,0,18,0,0,0,3,11,0,0,0,0,411,234,1,0,410,407,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,0
"25","CITY OF BOSCOBEL GRANT","GRANT","CITY OF BOSCOBEL",1504,150,126,1232,1232,0,1232,0,7,0,0,0,0,4,0,0,0,0,102,53,1,0,102,102,0,0,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0
"26","CITY OF BRILLION CALUMET","CALUMET","CITY OF BRILLION",1767,41,184,1576,1578,0,1142,434,7,0,0,0,2,4,0,0,0,0,321,249,6,0,315,309,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"27","CITY OF BRODHEAD GREEN","GREEN","CITY OF BRODHEAD",1473,216,185,1354,1354,0,1354,0,14,0,0,0,0,0,0,0,0,0,221,185,3,2,31,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","CITY OF BRODHEAD ROCK","ROCK","CITY OF BRODHEAD",42,1,1,32,32,0,32,0,14,0,0,0,0,0,0,0,0,0,13,6,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
