"","X","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","turnout.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop.1","use.machines.prop","machine.most.used","all.machines","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","X._collegedegreepersons25._2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010"
"1",1,"Adams",2016,3780,37.4,5983,59.2,344,3.41,2203,21.8,"Rep","Trump",10107,56.9697311312778,17741,-16.4738213278896,14.0556430446194,2.42817828327015,-1.94779464191804,3101,30.529464372509,-180,-1.94779464191804,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.368421052631579,"Dominion","Some or no optical scanners","11892","84.99%","3,780","5,983",344,"10,107",-2203,"-31.79%","28.83%","240.59%","-1.75%","37.40%","59.20%","3.40%","0.34%",0,1,2,"5,542","4,644","101","10,287","53.87%","45.14%","0.98%","0.34%",1,2,20215,17142,20875,15.2,94,3.2,549,90.7,15548,1594,12.1,2074,9.8,28.3,7.3,44897,32.3
"2",2,"Ashland",2016,4136,52.18,3428,43.25,362,4.57,-708,-8.93,"Dem","Clinton",7926,62.9547259729944,12590,-12.3087720974677,9.56629240324893,2.74247969421882,-4.61589549593211,1871,21.8750645007167,-446,-4.61589549593211,5,"Mostly Dem","Dem2016","Large turnout change 2016","Large turnout change 2016",0.0625,"Dominion","Some or no optical scanners","9844","80.52%","4,136","3,428",362,"7,926",708,"-23.39%","21.56%","136.60%","-5.33%","52.18%","43.25%","4.57%","0.27%",1,0,1,"5,399","2,820","153","8,372","64.49%","33.68%","1.83%","0.27%",1,1,16103,12464,16157,22.6,84.7,0.5,62,83.5,10407,2057,21.7,2705,5.1,167,3.6,38550,15.5
"3",3,"Barron",2016,7881,35,13595,60.38,1038,4.61,5714,25.38,"Rep","Trump",22514,61.6906425537745,36495,-12.9904812268641,9.95253657676715,3.02794465009695,-1.48835346482394,5161,22.9430178036312,-178,-1.48835346482394,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.228571428571429,"Dominion","Some or no optical scanners","26333","85.50%","7,881","13,595",1038,"22,514",-5714,"-27.63%","18.81%","189.14%","-0.78%","35.00%","60.38%","4.61%","0.76%",0,0,2,"10,890","11,443","359","22,692","47.99%","50.43%","1.58%","0.74%",0,2,45455,35591,45870,21.7,96.1,1.1,392,94.1,33491,2100,16.2,5766,15.9,85.5,5.2,44054,53.2
"4",4,"Bayfield",2016,4953,52.19,4125,43.46,413,4.35,-828,-8.73,"Dem","Clinton",9491,76.2880797363556,12441,-9.44669799754802,6.64961994278708,2.79707805476093,-3.65311595132816,1602,16.0963179403351,-297,-3.65311595132816,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.428571428571429,"Dominion","Some or no optical scanners","11299","84.00%","4,953","4,125",413,"9,491",828,"-17.90%","14.39%","177.18%","-3.03%","52.19%","43.46%","4.35%","0.32%",1,0,1,"6,033","3,606","149","9,788","61.64%","36.84%","1.52%","0.32%",1,1,14985,12228,15014,18.4,86.2,0.6,73,85.4,10443,1785,28.5,3485,5.8,142.3,2.5,44944,10.2
"5",5,"Brown",2016,53358,41.85,67192,52.7,6947,5.45,13834,10.85,"Rep","Trump",127497,66.5127707524728,191688,-6.64683544303797,2.4114668652271,4.23536857781087,-1.82857552879494,11524,9.05830230826508,-1431,-1.82857552879494,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly optical scanners","150152","84.91%","53,358","67,192",6947,"127,497",-13834,"-14.66%","3.63%","343.61%","-1.11%","41.85%","52.70%","5.45%","4.33%",0,0,1,"62,526","64,836","1,566","128,928","48.50%","50.29%","1.21%","4.20%",0,1,256670,194043,248007,24.4,89.3,2.5,4851,82.7,160473,33569,26.8,52003,4.8,33.1,2.7,53119,468.2
"6",6,"Buffalo",2016,2531,36.57,4049,58.5,341,4.92,1518,21.93,"Rep","Trump",6921,63.8763267189663,10835,-14.1474314533314,10.7091206137235,3.4283108396079,-2.13699035877916,1724,24.856552067055,-118,-2.13699035877916,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0434782608695652,"Dominion","Some or no optical scanners","8313","83.26%","2,531","4,049",341,"6,921",-1518,"-29.10%","20.36%","224.76%","-1.68%","36.57%","58.50%","4.93%","0.24%",0,1,2,"3,570","3,364","105","7,039","50.72%","47.79%","1.49%","0.23%",1,2,13188,10379,13587,21.3,98,0.4,42,96.4,10005,374,17.2,1785,26.8,241,4.8,47384,20.2
"7",7,"Burnett",2016,2948,33.81,5412,62.07,359,4.12,2464,28.26,"Rep","Trump",8719,69.0449794108331,12628,-12.1275360147516,9.63252160885099,2.49501440590066,-0.773173147905254,1900,21.7600576236026,42,-0.773173147905254,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no optical scanners","10087","86.44%","2,948","5,412",359,"8,719",-2464,"-26.04%","18.95%","154.61%","0.48%","33.81%","62.07%","4.12%","0.30%",0,0,2,"3,986","4,550","141","8,677","45.94%","52.44%","1.62%","0.28%",0,2,15328,12477,15457,18.6,91.5,0.7,87,90.4,11279,1198,16.7,2084,9.4,129.1,5,39564,18.8
"8",8,"Calumet",2016,9634,36.45,15345,58.06,1450,5.49,5711,21.61,"Rep","Trump",26429,72.2044641149633,36603,-7.03599545798637,3.02971990915972,4.00627554882665,-1.13756736492459,2661,10.0657153671461,9,-1.13756736492459,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.941176470588235,"Dominion","Mostly optical scanners","30495","86.67%","9,634","15,345",1450,"26,429",-5711,"-16.15%","5.54%","269.90%","0.03%","36.45%","58.06%","5.49%","0.90%",0,0,2,"11,489","14,539","392","26,420","43.49%","55.03%","1.48%","0.86%",0,2,49491,36772,48971,25.7,95.4,0.6,221,91.9,33793,2979,27.6,10149,11.3,153.2,2.6,65130,153.9
"9",9,"Chippewa",2016,11875,37.73,17912,56.92,1684,5.36,6037,19.19,"Rep","Trump",31471,64.2816291515176,48958,-11.5296663649295,7.38553730764257,4.15412905728695,0.0847132268138893,5952,18.9152036725721,539,0.0847132268138893,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"ES&S","Mostly optical scanners","36107","87.16%","11,875","17,912",1684,"31,471",-6037,"-22.06%","16.90%","351.47%","1.74%","37.73%","56.92%","5.35%","1.07%",0,0,2,"15,237","15,322","373","30,932","49.26%","49.53%","1.21%","1.01%",0,2,63460,48928,62415,22.9,95.4,1.5,734,94.3,46139,2789,18.6,9101,16.5,62.9,4.4,50551,61.9
"10",10,"Clark",2016,4225,31.19,8645,63.81,678,5,4420,32.62,"Rep","Trump",13548,53.9610467200382,25107,-13.5313970002174,10.1037468299399,3.42765017027752,-1.89309549534887,3180,23.6351438301572,-253,-1.89309549534887,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.363636363636364,"Dominion","Some or no optical scanners","16236","83.44%","4,225","8,645",678,"13,548",-4420,"-31.55%","16.64%","212.44%","-1.83%","31.19%","63.81%","5.00%","0.46%",0,0,2,"6,172","7,412","217","13,801","44.72%","53.71%","1.57%","0.45%",0,2,34423,24234,34690,29.6,97.6,0.4,97,93.8,22731,1502,11.6,2811,15.1,234.5,7.6,43276,28.7
