"","muni_county","county","municipality","registrants","late_registrants","edrs","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","absentee_issued","absentee_undeliverable","counted_absent","rejected_absent","fwab_counted","fwab_rejected","military_issued","military_undeliverable","military_counted","military_rejected","overseas_issued","overseas_undeliverable","overseas_counted","overseas_rejected","total_ballots_2008"
"1","CITY OF ABBOTSFORD CLARK","CLARK","CITY OF ABBOTSFORD",830,18,87,728,728,728,0,0,91,0,82,0,1,0,0,0,0,0,0,0,0,0,728
"2","CITY OF ABBOTSFORD MARATHON","MARATHON","CITY OF ABBOTSFORD",217,9,23,162,162,162,0,0,36,0,38,2,0,0,0,0,0,0,0,0,0,0,162
"3","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",996,44,126,806,806,0,806,0,140,0,135,0,0,0,0,0,0,0,0,0,0,0,806
"4","CITY OF ALGOMA KEWAUNEE","KEWAUNEE","CITY OF ALGOMA",1794,37,186,1595,1595,0,1595,0,294,0,287,4,1,0,2,0,2,0,0,0,0,0,1595
"5","CITY OF ALMA BUFFALO","BUFFALO","CITY OF ALMA",521,15,40,448,448,106,0,342,86,0,85,2,2,0,2,0,1,0,0,0,0,0,448
"6","CITY OF ALTOONA EAU CLAIRE","EAU CLAIRE","CITY OF ALTOONA",4676,187,497,3517,3517,0,3514,3,973,0,940,4,1,0,4,0,0,0,0,0,0,0,3517
"7","CITY OF AMERY POLK","POLK","CITY OF AMERY",1658,1,195,1465,1465,0,608,857,612,0,608,0,1,0,5,0,4,0,0,0,0,0,1465
"8","CITY OF ANTIGO LANGLADE","LANGLADE","CITY OF ANTIGO",4750,80,499,3649,3646,0,3219,402,499,0,488,0,1,0,1,0,1,0,1,0,0,0,3649
"9","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",6191,227,787,5685,5685,0,5685,0,1130,2,1082,3,8,0,15,0,2,0,13,0,2,0,5685
"10","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",33857,1502,4451,31263,31191,0,31258,0,6656,15,6519,24,51,0,52,0,8,0,36,0,5,0,31263
"11","CITY OF APPLETON WINNEBAGO","WINNEBAGO","CITY OF APPLETON",487,29,124,418,418,0,418,0,159,3,156,2,0,0,1,0,0,0,1,0,1,0,418
"12","CITY OF ARCADIA TREMPEALEAU","TREMPEALEAU","CITY OF ARCADIA",1061,25,132,879,879,0,768,111,87,0,84,1,2,0,3,0,2,0,0,0,0,0,879
"13","CITY OF ASHLAND ASHLAND","ASHLAND","CITY OF ASHLAND",6188,95,692,4324,4336,0,4309,15,654,1,641,1,4,0,15,1,9,0,10,1,1,0,4324
"14","CITY OF ASHLAND BAYFIELD","BAYFIELD","CITY OF ASHLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CITY OF AUGUSTA EAU CLAIRE","EAU CLAIRE","CITY OF AUGUSTA",839,15,76,681,681,0,474,207,92,0,91,0,0,0,1,0,0,0,0,0,0,0,681
"16","CITY OF BARABOO SAUK","SAUK","CITY OF BARABOO",6911,230,818,5624,5620,0,5605,19,1516,0,1471,4,2,0,15,0,7,0,0,0,0,0,5624
