"","muni_county","county","municipality","registrants","late_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","x71","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"1","CITY OF ABBOTSFORD CLARK","CLARK","CITY OF ABBOTSFORD",816,25,673,673,673,0,0,0,5,0,0,0,2,6,2,104,43,4,0,104,103,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"2","CITY OF ABBOTSFORD MARATHON","MARATHON","CITY OF ABBOTSFORD",416,10,284,284,284,0,0,0,10,0,0,0,4,12,4,56,14,2,0,56,56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CITY OF ADAMS ADAMS","ADAMS","CITY OF ADAMS",996,12,806,806,0,806,0,0,13,0,0,0,4,2,7,131,36,5,0,126,124,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"4","CITY OF ALGOMA KEWAUNEE","KEWAUNEE","CITY OF ALGOMA",1821,37,1563,1564,0,1350,213,0,10,0,0,0,0,3,7,558,391,167,0,555,0,1,0,1,0,0,0,6,4,0,2,0,0,0,1,1,0,0,0,0,0
"5","CITY OF ALMA BUFFALO","BUFFALO","CITY OF ALMA",557,4,454,454,82,0,372,0,5,0,0,0,0,0,5,68,34,2,0,66,66,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"6","CITY OF ALTOONA EAU CLAIRE","EAU CLAIRE","CITY OF ALTOONA",4173,113,3623,3623,0,3468,155,0,22,0,0,1,5,9,7,971,653,7,3,960,963,1,1,0,0,0,0,2,1,0,1,1,0,0,3,0,0,3,3,0,0
"7","CITY OF AMERY POLK","POLK","CITY OF AMERY",1535,41,1335,1335,77,0,1258,0,13,0,0,0,0,6,7,265,146,3,0,261,262,0,0,0,0,0,0,7,1,0,4,6,0,0,0,0,0,0,0,0,0
"8","CITY OF ANTIGO LANGLADE","LANGLADE","CITY OF ANTIGO",3667,87,3595,3595,3,3277,315,0,27,0,0,0,0,9,18,630,374,4,5,615,620,6,1,0,0,0,0,4,0,0,4,4,0,0,2,0,0,2,2,0,0
"9","CITY OF APPLETON CALUMET","CALUMET","CITY OF APPLETON",6371,146,5753,5752,0,5752,0,0,88,0,0,0,11,46,34,1213,867,19,3,1177,1190,1,1,0,0,0,0,10,3,0,5,5,1,0,4,0,0,4,4,0,0
"10","CITY OF APPLETON OUTAGAMIE","OUTAGAMIE","CITY OF APPLETON",35343,906,31659,31621,0,31621,0,0,595,0,0,0,80,235,283,7997,5650,129,18,7747,7791,24,8,5,3,0,0,52,17,0,23,29,3,2,44,4,0,26,30,2,2
