"","X.2","X.1","X","year","turnout","dem.vote.perc","rep.vote.perc","ind.vote.perc","oth.vote.perc","dem.vote","rep.vote","ind.vote","oth.vote","tot.oth.vote.perc","tot.oth.vote","vote.perc.diff","vote.num.diff","winner","voting.age.population","turnout.perc","swing.turnout.perc","swing.vote.num","swing.vote.perc","swing.vote.dem.change.perc","swing.vote.rep.change.perc","swing.vote.tot.oth.change.perc","mean.rep.poll.oneweek","mean.dem.poll.oneweek","mean.rep.poll.oneweek.divergence","mean.dem.poll.oneweek.divergence","mean.oth.poll.oneweek","mean.und.poll.oneweek","mean.other.poll.oneweek.divergence","mean.rep.poll.oneweek.defs","mean.dem.poll.oneweek.defs","mean.oth.poll.oneweek.defs","mean.rep.poll.oneweek.defs.divergence","mean.dem.poll.oneweek.defs.divergence","mean.other.defs.poll.oneweek.defs.divergence"
"1",1,1,1,2016,2977295,46.9401824344058,47.8658366784169,0.0530119336281082,5.14096895354918,1382210,1409467,1561,151382,5.19398088717729,152943,0.925654244011113,27257,"Rep",4449170,66.917986950375,-3.15772659376928,240276,7.86565424401111,-5.8898175655942,1.97583667841691,3.90398088717729,42.3181818181818,45.9090909090909,5.54765486023509,1.03109152531489,4.27272727272727,4.76190476190476,0.92125361445002,45.7648100746667,49.624366171285,4.61082375404823,2.10102660375017,-2.68418373687923,0.583157133129059
"2",2,2,2,2012,3068434,52.83,45.89,0,1.29,1620985,1407966,0,39483,1.29,39483,-6.94,-213019,"Dem",4378741,70.0757135441443,1.18568550014676,201799,6.97,-3.39,3.58,-0.18,47.2222222222222,48.9259259259259,-1.33222222222222,3.90407407407407,1.46153846153846,3.38888888888889,-0.171538461538461,48.7566620665239,50.5163040521479,1.50999344583554,-2.86666206652392,2.31369594785214,-0.219993445835544
"3",3,3,3,2008,2983417,56.22,42.31,0,1.47,1677211,1262393,0,43813,1.47,43813,-13.91,-414818,"Dem",4330695,68.8900280439975,-3.87721613797501,-403434,-13.53,6.52,-7.01,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,2004,2997007,49.7,49.32,0,0.98,1489504,1478120,0,29383,0.98,29383,-0.380000000000003,-11384,"Dem",4118621,72.7672441819726,6.281762288894,-5676,-0.160000000000004,1.87,1.71,-3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,2000,2598607,47.83,47.61,3.62,0.93,1242987,1237279,94070,24271,4.55,118341,-0.219999999999999,-5708,"Dem",3908533,66.4854818930786,8.48642734224614,221234,10.11,-0.980000000000004,9.13,-8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,1996,2196169,48.81,38.48,10.35,2.36,1071971,845029,227339,51830,12.71,279169,-10.33,-226942,"Dem",3786560,57.9990545508324,-10.9874267792303,-116731,-5.98,7.68,1.7,-9.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,1992,2531114,41.13,36.78,21.51,0.58,1041066,930855,544479,14714,22.09,559193,-4.35,-110211,"Dem",3669000,68.9864813300627,7.98987682129564,-30916,-0.740000000000002,-10.28,-11.02,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,8,1988,2191608,51.41,47.8,0,0.79,1126794,1047499,0,17315,0.79,17315,-3.61,-79295,"Dem",3593000,60.996604508767,-2.43947234813,-282248,-12.78,6.38999999999999,-6.39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,1984,2212016,45.02,54.19,0,0.79,995847,1198800,0,17369,0.79,17369,9.16999999999999,202953,"Rep",3487000,63.4360768568971,-3.91861943939924,95692,4.45,1.84,6.29,-8.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,1980,2273221,43.18,47.9,7.07,1.85,981584,1088845,160657,42135,8.92,202792,4.72,107261,"Rep",3375000,67.3546962962963,1.06649440355181,142506,6.39,-6.32,0.0700000000000003,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,11,1976,2101336,49.5,47.83,0,2.67,1040232,1004987,0,56117,2.67,56117,-1.67,-35245,"Dem",3170000,66.2882018927445,3.83825244886177,-214501,-11.35,5.78,-5.57,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,12,1972,1852890,43.72,53.4,0,2.88,810174,989430,0,53286,2.88,53286,9.68,179256,"Rep",2967000,62.4499494438827,-3.62575368111727,118063,6.06,-0.550000000000004,5.51,-4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,13,1968,1691538,44.27,47.89,7.56,0.29,748804,809997,127835,4902,7.85,132737,3.62,61193,"Rep",2560000,66.075703125,-2.58561992694807,473122,27.97,-17.82,10.15,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,14,1964,1691815,62.09,37.74,0,0.17,1050424,638495,0,2896,0.17,2896,-24.35,-411929,"Dem",2464000,68.6613230519481,-4.32651991976996,-476299,-28.07,14.04,-14.03,-0.00999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,15,15,1960,1729082,48.05,51.77,0,0.18,830805,895175,0,3102,0.18,3102,3.72000000000001,64370,"Rep",2369000,72.987842971718,5.83504955465436,-303706,-20.02,10.21,-9.81,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,16,1956,1550558,37.84,61.58,0,0.58,586768,954844,0,8946,0.58,8946,23.74,368076,"Rep",2309000,67.1527934170637,-4.06430893118623,10507,1.49999999999999,-0.869999999999997,0.629999999999995,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,17,17,1952,1607370,38.71,60.95,0,0.34,622175,979744,0,5451,0.34,5451,22.24,357569,"Rep",2257000,71.2171023482499,13.0220248642025,413920,26.66,-11.99,14.67,-2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
