"muni_county_2016","hindi","MCD_FIPS"
"TOWN OF ADAMS ADAMS","1002",5500100300
"TOWN OF BIG FLATS ADAMS","1004",5500107300
"TOWN OF COLBURN ADAMS","1006",5500116075
"TOWN OF DELL PRAIRIE ADAMS","1008",5500119575
"TOWN OF EASTON ADAMS","1010",5500122000
"TOWN OF JACKSON ADAMS","1012",5500137625
"TOWN OF LEOLA ADAMS","1014",5500143425
"TOWN OF LINCOLN ADAMS","1016",5500144250
"TOWN OF MONROE ADAMS","1018",5500153725
"TOWN OF NEW CHESTER ADAMS","1020",5500156525
"TOWN OF NEW HAVEN ADAMS","1022",5500156750
"TOWN OF PRESTON ADAMS","1024",5500165450
"TOWN OF QUINCY ADAMS","1026",5500165825
"TOWN OF RICHFIELD ADAMS","1028",5500167425
"TOWN OF ROME ADAMS","1030",5500169275
"TOWN OF SPRINGVILLE ADAMS","1032",5500176350
"TOWN OF STRONGS PRAIRIE ADAMS","1034",5500177800
"VILLAGE OF FRIENDSHIP ADAMS","1126",5500127950
"CITY OF ADAMS ADAMS","1201",5500100275
"CITY OF WISCONSIN DELLS ADAMS","1291",NA
"TOWN OF AGENDA ASHLAND","2002",5500300550
"TOWN OF ASHLAND ASHLAND","2004",5500303250
"TOWN OF CHIPPEWA ASHLAND","2006",5500314550
"TOWN OF GINGLES ASHLAND","2008",5500329250
"TOWN OF GORDON ASHLAND","2010",5500329875
"TOWN OF JACOBS ASHLAND","2012",5500337775
"TOWN OF LA POINTE ASHLAND","2014",5500342562
"TOWN OF MARENGO ASHLAND","2016",5500349200
"TOWN OF MORSE ASHLAND","2018",5500354400
"TOWN OF PEEKSVILLE ASHLAND","2020",5500361600
"TOWN OF SANBORN ASHLAND","2022",5500371350
"TOWN OF SHANAGOLDEN ASHLAND","2024",5500372825
"TOWN OF WHITE RIVER ASHLAND","2026",5500386850
"VILLAGE OF BUTTERNUT ASHLAND","2106",5500311525
"CITY OF ASHLAND ASHLAND","2201",5500303225
"CITY OF ASHLAND ASHLAND","2201",5500303225
"CITY OF ASHLAND ASHLAND","2201",5500303225
"CITY OF ASHLAND ASHLAND","2201",5500303225
"CITY OF ASHLAND ASHLAND","2201",5500303225
"CITY OF ASHLAND ASHLAND","2201",5500303225
