"","hindi","county","municipality","reporting_unit","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","ballots_counted_at","total_election_inspectors","split_shifts","difficulty_obtaining","x16_17","x18_25","x26_40","x41_60","x61_70","x71","polling_place_name","shared","provisional_identification","provisional_no_dl","counted","rejected","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_2","rejected2","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late","muni_county","reporting_unit_orig"
"1",1002,"ADAMS","TOWN OF ADAMS","TOWN-OF-ADAMS-WARD-1-3-ADAMS","737",6,"72","623","623","623","0","0","0","Polling Place",14,"Yes","3 Neither difficult nor easy",0,0,0,1,11,2,"TOWN HALL","No",0,0,0,0,"64","29",6,0,"57","57",0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,"TOWN OF ADAMS ADAMS","TOWN OF ADAMS WARDS 1-3 ADAMS"
"2",1004,"ADAMS","TOWN OF BIG FLATS","TOWN-OF-BIG-FLATS-WARD-1-2-ADAMS","570",0,"76","493","493","54","0","439","0","Polling Place",2,"Yes","5 Very easy",0,0,0,0,5,3,"TOWN HALL","Yes",0,0,0,0,"35","34",1,0,"34","34",0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,"TOWN OF BIG FLATS ADAMS","TOWN OF BIG FLATS WARD 1-2 ADAMS"
"3",1006,"ADAMS","TOWN OF COLBURN","TOWN-OF-COLBURN-WARD-1-ADAMS","146",0,"11","131","131","13","0","118","0","Polling Place",6,"Yes","3 Neither difficult nor easy",0,0,0,0,6,0,"COLBURN TOWN HALL","No",0,0,0,0,"6","4",0,0,"6","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF COLBURN ADAMS","TOWN OF COLBURN WARD 1 ADAMS"
"4",1008,"ADAMS","TOWN OF DELL PRAIRIE","TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","1,009",8,"126","833","836","833","0","0","0","Polling Place",5,"Yes","2 Somewhat difficult",0,0,0,2,0,3,"TOWN OF DELL PRAIRIE","No",0,0,0,0,"72","37",1,0,"70","70",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF DELL PRAIRIE ADAMS","TOWN OF DELL PRAIRIE WARD 1-3 ADAMS"
"5",1010,"ADAMS","TOWN OF EASTON","TOWN-OF-EASTON-WARD-1-2-ADAMS","582",0,"76","524","524","214","0","310","0","Polling Place",10,"Yes","1 Very difficult",0,0,0,1,4,5,"TOWN OF EASTON","No",1,0,0,0,"29","26",0,0,"29","29",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF EASTON ADAMS","TOWN OF EASTON WARDS 1-2 ADAMS"
"6",1012,"ADAMS","TOWN OF JACKSON","TOWN-OF-JACKSON-WARD-1-2-ADAMS","675",4,"53","569","569","569","0","0","0","Polling Place",11,"Yes","3 Neither difficult nor easy",0,0,0,3,6,2,"JACKSON TOWN HALL","Yes",0,0,0,0,"48","18",0,0,"48","48",0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0,"TOWN OF JACKSON ADAMS","TOWN OF JACKSON WARD 1-2 ADAMS"
"7",1014,"ADAMS","TOWN OF LEOLA","TOWN-OF-LEOLA-WARD-1-ADAMS","160",0,"15","138","138","138","0","0","0","Polling Place",2,"Yes","2 Somewhat difficult",0,0,0,2,2,4,"JACKSON TOWN HALL","No",0,0,0,0,"5","0",0,0,"5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF LEOLA ADAMS","TOWN OF LEOLA WARD 1 ADAMS"
"8",1016,"ADAMS","TOWN OF LINCOLN","TOWN-OF-LINCOLN-WARD-1-ADAMS","223",0,"21","182","182","2","0","161","0","Polling Place",2,"Yes","2 Somewhat difficult",0,0,0,1,1,0,"Lincoln Town Hall","No",0,0,0,0,"19","3",0,0,"19","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF LINCOLN ADAMS","TOWN OF LINCOLN WARD 1 ADAMS"
"9",1018,"ADAMS","TOWN OF MONROE","TOWN-OF-MONROE-WARD-1-ADAMS","276",1,"21","240","240","43","0","197","0","Polling Place",5,"No","2 Somewhat difficult",0,0,0,1,1,4,"MONROE TOWN HALL","No",0,0,0,0,"20","8",0,0,"20","20",0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,"TOWN OF MONROE ADAMS","TOWN OF MONROE WARD 1 ADAMS"
"10",1020,"ADAMS","TOWN OF NEW CHESTER","TOWN-OF-NEW-CHESTER-WARD-1-3-ADAMS","489",7,"52","404","404","150","0","254","0","Polling Place",7,"Yes","5 Very easy",0,0,0,3,3,1,"NEW CHESTER TOWN HALL","No",0,0,0,0,"21","5",1,0,"20","20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF NEW CHESTER ADAMS","TOWN OF NEW CHESTER WARD 1-3 ADAMS"
"11",1022,"ADAMS","TOWN OF NEW HAVEN","TOWN-OF-NEW-HAVEN-WARD-1-ADAMS","418",2,"27","344","344","108","0","236","0","Polling Place",10,"Yes","5 Very easy",0,0,0,1,5,4,"NEW HAVEN TOWN HALL","No",0,0,0,0,"34","8",1,0,"33","32",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF NEW HAVEN ADAMS","TOWN OF NEW HAVEN WARD 1 ADAMS"
"12",1024,"ADAMS","TOWN OF PRESTON","TOWN-OF-PRESTON-WARD-1-2-ADAMS","758",39,"73","707","707","707","0","0","0","Polling Place",6,"Yes","2 Somewhat difficult",0,0,2,0,1,3,"PRESTON TOWN HALL","No",0,0,0,0,"81","78",0,0,"81","81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TOWN OF PRESTON ADAMS","TOWN OF PRESTON WARD 1-2 ADAMS"
"13",1026,"ADAMS","TOWN OF QUINCY","TOWN-OF-QUINCY-WARD-1-3-ADAMS","769",2,"59","660","660","660","0","0","0","Polling Place",5,"Yes","5 Very easy",0,0,0,1,4,3,"Quincy Town Hall","No",2,2,0,0,"107","69",1,0,"106","106",0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0,"TOWN OF QUINCY ADAMS","TOWN OF QUINCY WARD 1-3 ADAMS"
