"","county","muni_county","municipality","votes_rec_cruz","votes_rec_kasich","votes_rec_other","votes_rec_trump","votes_tot","votes_perc_cruz","votes_perc_kasich","votes_perc_other","votes_perc_trump","trump_prim_won","total_ballots","tch_prop","turnout_perc","sameday_reg_prop","counted_absent_prop","rejected_absent_prop","registrants","late_registrants","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","coll_deg_plus25_2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010","percentage_d_2008","percentage_r_2008","votes_d_2008","votes_r_2008","county_fips","percentage_d_2012","percentage_i_2012","percentage_r_2012","votes_d_2012","votes_i_2012","votes_r_2012","percentage_d_2016","percentage_i_2016","percentage_r_2016","votes_d_2016","votes_i_2016","votes_r_2016","inc_2013","inc_2014","inc_2015","inc_rank","pct_chg_2014","pct_chg_2015","pct_rank","state","name","labor_force","employed","unemp_level","unemp_rate","total_pop","pct_male","pct_female","pct_old","pct_latino","pct_white","pct_black","pct_no_hs","pct_some_hs","pct_hs","pct_some_college","pct_associates","pct_bachelors","pct_graduate","pct_hs_less","electronic","paper","electronic_2012","paper_2012","dem_votes_state","rep_votes_state","dem_votes_state_2012","rep_votes_state_2012","diff","diff_r","paper_ind","electronic_ind","no_paper_trail","has_electronic","swing_state_dummy","swing_state_dummy_exit_small","swing_state_dummy_fte","swing_state_dummy_exit_large","swing_state_dummy_onepct","swing_state_dummy_twopct","swing_state_dummy_threepct","swing_state_dummy_fourpct","swing_state_dummy_fivepct","swing_state_dummy_five_varied","non_swing_states","non_swing_states_dem","swing_states","temp","resid","mean_pop","elec_X_resid","sig","pred_diff_no_electronic","pred_votes_no_electronic","pred_votes_swing","X_Iswing_sta_2","X_Iswing_sta_3","X_Iswing_sta_4","X_Iswing_sta_5","X_Iswing_sta_6","X_Iswing_sta_7","X_Iswing_sta_8","X_Iswing_sta_9","X_Iswing_sta_10","X_Iswing_sta_11","X_Iswing_sta_12","X_IswiXelec_2","X_IswiXelec_3","X_IswiXelec_4","X_IswiXelec_5","X_IswiXelec_6","X_IswiXelec_7","X_IswiXelec_8","X_IswiXelec_9","X_IswiXelec_10","X_IswiXelec_11","X_IswiXelec_12","X_Istate_2","X_Istate_3","X_Istate_4","X_Istate_5","X_Istate_6","X_Istate_7","X_Istate_8","X_Istate_9","X_Istate_10","X_Istate_11","X_Istate_12","X_Istate_13","X_Istate_14","X_Istate_15","X_Istate_16","X_Istate_17","X_Istate_18","X_Istate_19","X_Istate_20","X_Istate_21","X_Istate_22","X_Istate_23","X_Istate_24","X_Istate_25","X_Istate_26","X_Istate_27","X_Istate_28","X_Istate_29","X_Istate_30","X_Istate_31","X_Istate_32","X_Istate_33","X_Istate_34","X_Istate_35","X_Istate_36","X_Istate_37","X_Istate_38","X_Istate_39","X_Istate_40","X_Istate_41","X_Istate_42","X_Istate_43","X_Istate_44","X_Istate_45","X_Istate_46","X_Istate_47","X_Istate_48","X_Istate_49","X_Istate_50","pred_diff_r_no_electronic","pred_votes_r_no_electronic","pred_votes_r_swing","dem_votes_state_no_electronic","rep_votes_state_no_electronic","unemp_test","inc_test","d_pct_no_elec","r_pct_no_elec","dem_pct_state","rep_pct_state","dem_win","dem_win_2012","dem_win_no_electronic","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","log.pop.sq.mile.2010","muni.dense"
"1","CLARK","CITY OF ABBOTSFORD CLARK","CITY OF ABBOTSFORD",138,23,6,146,313,44.0894568690096,7.3482428115016,1.91693290734824,46.6453674121406,1,90,0,0.122448979591837,0.00272108843537415,0.233333333333333,0,735,0.0111111111111111,"16236","83.44%","4,225","8,645",678,"13,548",-4420,"-31.55%","16.64%","212.44%","-1.83%","31.19%","63.81%","5.00%","0.46%",0,0,2,"6,172","7,412","217","13,801","44.72%","53.71%","1.57%","0.45%",0,2,34423,24234,34690,29.6,97.6,0.4,97,93.8,22731,1502,11.6,2811,15.1,234.5,7.6,43276,28.7,53,45,7454,6383,55019,44.9,0.28,53.8,6173,34.6,7394,31.2,1,63.8,4225,135.6,8645,34025,36966,36538,64,8.6,-1.2,72,"WI","Clark County, WI",17890,"     17,329 ",561,3.1,34575,50.7,49.3,19.2,3.9,94.1,0.3,10.6,7.6,44.2,18.3,7.6,8.4,3.3,62.4,0.4545455,0.5454546,NA,NA,1382210,1409467,1613950,1408746,-13.7,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-12.61489,-1.085113,100005.8,-37.5156,0,-10.94433,4341.427,116.4271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-16.00314,8445.894,-199.1066,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S M100","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",3.35689712276558,271.003995309346
"2","MARATHON","CITY OF ABBOTSFORD MARATHON","CITY OF ABBOTSFORD",18,7,3,31,59,30.5084745762712,11.864406779661,5.08474576271187,52.5423728813559,1,14,0,0.105263157894737,0.0075187969924812,0,0,133,0,"80465","85.56%","26,476","39,010",3363,"68,849",-12534,"-18.19%","6.54%","281.29%","-1.45%","38.46%","56.66%","4.88%","2.34%",0,0,2,"32,363","36,617","882","69,862","46.32%","52.41%","1.26%","2.28%",0,2,135780,103600,134063,23.7,91.8,0.8,829,89.6,92826,10774,22.2,22999,8.6,112,3.5,53363,86.8,54,45,36367,30345,55073,46.4,0.2,52.5,32330,147.8,36568,38.5,0.96,56.7,26476,672.6,39010,40872,42932,43921,21,5,2.3,57,"WI","Marathon County, WI",74868,"     72,567 ",2301,3.1,134886,50.3,49.7,18.6,2.4,89.7,0.7,4.1,5.2,37.6,18.2,12,15.7,7.3,46.9,0,1,NA,NA,1382210,1409467,1613950,1408746,-7.900002,4.200001,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.263869,0.3638678,100005.8,NA,0,-7.871599,26483.52,7.519911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8.098306,38932.64,-77.35845,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4636066216663,43.3053234546194
"3","ADAMS","CITY OF ADAMS ADAMS","CITY OF ADAMS",83,16,13,140,252,32.9365079365079,6.34920634920635,5.15873015873016,55.5555555555556,1,113,0,0.121244635193133,0.00536480686695279,0.150442477876106,0,932,0,"11892","84.99%","3,780","5,983",344,"10,107",-2203,"-31.79%","28.83%","240.59%","-1.75%","37.40%","59.20%","3.40%","0.34%",0,1,2,"5,542","4,644","101","10,287","53.87%","45.14%","0.98%","0.34%",1,2,20215,17142,20875,15.2,94,3.2,549,90.7,15548,1594,12.1,2074,9.8,28.3,7.3,44897,32.3,58,40,5806,3974,55001,54,0.14,45.2,5537,16.6,4643,37.4,0.66,59.2,3780,68.8,5983,32649,33593,35222,70,2.9,4.8,5,"WI","Adams County, WI",8287,"      7,898 ",389,4.7,20604,53.9,46.1,30.9,3.8,90.7,3,3.2,10.3,42.7,22.8,8.4,8.2,4.4,56.2,0.2105263,0.7894737,NA,NA,1382210,1409467,1613950,1408746,-16.6,14,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-13.28443,-3.315572,100005.8,-68.3101,0,-13.84433,3884.164,104.1644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-18.90314,5845.203,-137.797,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Optech/Command Central- Eagle","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",3.47506723022861,139.482818602869
"4","KEWAUNEE","CITY OF ALGOMA KEWAUNEE","CITY OF ALGOMA",242,51,32,251,576,42.0138888888889,8.85416666666667,5.55555555555556,43.5763888888889,1,377,0.851458885941645,0.217793183131138,0.00924321201617562,0.143236074270557,0.013262599469496,1731,0,"12568","85.47%","3,623","6,616",503,"10,742",-2993,"-29.69%","15.12%","267.15%","-2.67%","33.73%","61.59%","4.68%","0.36%",0,0,2,"5,153","5,747","137","11,037","46.69%","52.07%","1.24%","0.36%",0,1,20444,15865,20574,22.4,97.7,0.4,63,95.6,15167,698,13.5,2142,21.7,239,6.4,53588,60.1,55,44,5902,4711,55061,46.8,0.22,52.2,5151,24.2,5746,33.7,0.92,61.6,3623,100.6,6616,40587,42665,42855,30,5.1,0.4,70,"WI","Kewaunee County, WI",11225,"     10,879 ",346,3.1,20545,50.8,49.2,20.7,2.3,95.6,0.4,3.5,5.1,45.6,20.8,10.6,10.7,3.7,54.2,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-13.1,9.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.56255,-2.53745,100005.8,-52.1289,0,-10.34433,3722.838,99.83799,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-15.40314,6463.624,-152.3759,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",4.09600984154116,286.505263851949
"5","BUFFALO","CITY OF ALMA BUFFALO","CITY OF ALMA",58,15,2,62,137,42.3357664233577,10.9489051094891,1.45985401459854,45.2554744525547,1,76,0.934210526315789,0.149019607843137,0.00392156862745098,0.0526315789473684,0,510,0.0131578947368421,"8313","83.26%","2,531","4,049",341,"6,921",-1518,"-29.10%","20.36%","224.76%","-1.68%","36.57%","58.50%","4.93%","0.24%",0,1,2,"3,570","3,364","105","7,039","50.72%","47.79%","1.49%","0.23%",1,2,13188,10379,13587,21.3,98,0.4,42,96.4,10005,374,17.2,1785,26.8,241,4.8,47384,20.2,57,42,3949,2923,55011,50.9,0.24,47.8,3569,17.4,3352,36.6,0.96,58.5,2531,68.2,4049,39021,40461,42066,39,3.7,4,19,"WI","Buffalo County, WI",6589,"      6,354 ",235,3.6,13374,50.7,49.3,23.3,1.9,96.4,0.4,4.3,5.3,42,20,10.7,12.4,5.3,51.6,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-14.3,10.7,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.46813,-3.831873,100005.8,-51.24451,0,-11.54433,2600.746,69.74605,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-16.60315,3955.746,-93.25423,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.00568260440716,26.8272402025691
"6","EAU CLAIRE","CITY OF ALTOONA EAU CLAIRE","CITY OF ALTOONA",576,196,40,492,1304,44.1717791411043,15.0306748466258,3.06748466257669,37.7300613496933,0,613,0.109298531810767,0.149987766087595,0.00734034744311231,0.280587275693312,0,4087,0.0130505709624796,"65486","82.58%","27,271","23,301",3508,"54,080",3970,"-11.07%","0.19%","296.83%","-1.32%","50.43%","43.09%","6.49%","1.84%",1,0,2,"30,666","23,256","884","54,806","55.95%","42.43%","1.61%","1.79%",1,2,101564,80642,98736,20.6,93.1,1,806,91.4,73707,6935,31,24999,10.6,91.4,2.2,48090,154.8,61,38,33146,20959,55035,56.1,0.26,42.5,30618,151.8,23218,50.4,1.3,43.1,27271,701.6,23301,40646,42699,43747,25,5.1,2.5,55,"WI","Eau Claire County, WI",59099,"     57,348 ",1751,3,100607,49.1,50.9,16.6,2.1,91.4,0.7,3.1,3.6,27.1,22.1,12.9,19.9,11.3,33.8,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-5.699997,0.5999985,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-4.789639,-0.910358,100005.8,-91.58309,0,-2.944325,28022.5,751.4993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8.003139,22764.35,-536.6552,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",5.04213396115563,381.691449044281
"7","POLK","CITY OF AMERY POLK","CITY OF AMERY",178,50,20,168,416,42.7884615384615,12.0192307692308,4.80769230769231,40.3846153846154,0,176,0.693181818181818,0.117255163224517,0.00466355762824783,0.301136363636364,0.0227272727272727,1501,0.0284090909090909,"26328","86.19%","7,568","13,864",1259,"22,691",-6296,"-24.87%","14.64%","210.10%","0.52%","33.35%","61.10%","5.55%","0.77%",0,0,2,"10,073","12,094","406","22,573","44.62%","53.58%","1.80%","0.74%",0,2,43437,33794,44205,22.2,96.9,0.3,101,95.6,32307,1487,19.3,6522,21.7,318.7,4.2,48538,48.4,48,50,10876,11282,55095,44.7,0.32,53.7,10054,73,12075,33.4,1.12,61.1,7568,251.8,13864,38377,40266,41777,42,4.9,3.8,25,"WI","Polk County, WI",24941,"     24,081 ",860,3.4,43698,50.3,49.7,21.6,1.6,95.7,0.4,2.4,5.9,39.2,22.4,11,13.1,6.1,47.5,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-11.3,7.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-9.231408,-2.068591,100005.8,-90.38808,0,-8.544328,7776.549,208.5492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-13.60314,13544.69,-319.3076,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",3.87949981372259,164.494266951212
"8","LANGLADE","CITY OF ANTIGO LANGLADE","CITY OF ANTIGO",581,144,49,670,1444,40.2354570637119,9.97229916897507,3.39335180055402,46.398891966759,1,478,0,0.12184552638287,0.00433341830231965,0.190376569037657,0,3923,0.0292887029288703,"11983","84.23%","3,260","6,436",397,"10,093",-3176,"-28.71%","10.66%","205.38%","-4.05%","32.30%","63.77%","3.93%","0.34%",0,0,2,"4,573","5,816","130","10,519","43.47%","55.29%","1.24%","0.34%",0,2,19410,15489,19977,20.2,96.3,0.7,108,94.9,14699,790,13.2,2045,18.6,135.6,6.6,42389,22.9,50,49,5182,5081,55067,43.6,0.18,55.4,4569,20.6,5810,32.3,0.78,63.8,3260,79.4,6436,36875,38677,39900,52,4.9,3.2,42,"WI","Langlade County, WI",9661,"      9,254 ",407,4.2,19706,50.4,49.6,25.4,1.9,95.1,0.6,3.4,8.5,44.1,21,9.6,9.3,4.2,56,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-11.3,8.399998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-11.97428,0.674283,100005.8,13.28665,0,-8.544328,3349.835,89.8349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-13.60314,6287.77,-148.2302,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",3.13113691056019,270.770507202233
"9","CALUMET","CITY OF APPLETON CALUMET","CITY OF APPLETON",1032,270,46,715,2063,50.0242365487155,13.08773630635,2.22976248182259,34.658264663112,0,780,0,0.126767430521697,0.00650089387290752,0.0730769230769231,0,6153,0.00512820512820513,"30495","86.67%","9,634","15,345",1450,"26,429",-5711,"-16.15%","5.54%","269.90%","0.03%","36.45%","58.06%","5.49%","0.90%",0,0,2,"11,489","14,539","392","26,420","43.49%","55.03%","1.48%","0.86%",0,2,49491,36772,48971,25.7,95.4,0.6,221,91.9,33793,2979,27.6,10149,11.3,153.2,2.6,65130,153.9,50,48,13295,12722,55015,43.6,0.26,55.1,11477,68,14519,36.5,1.08,58.1,9634,290,15345,41188,43803,44892,16,6.3,2.5,54,"WI","Calumet County, WI",27894,"     27,106 ",788,2.8,49502,50.2,49.8,15.1,3.7,92.1,0.5,3.2,4.2,34.5,18.3,11.7,20.2,7.8,41.9,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-7.099998,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-6.372703,-0.7272959,100005.8,-36.00052,0,-4.344327,9899.481,265.4814,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.403141,14991.58,-353.4172,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03630304084483,716.167468098801
"10","OUTAGAMIE","CITY OF APPLETON OUTAGAMIE","CITY OF APPLETON",5525,1533,266,3762,11086,49.8376330506946,13.8282518491791,2.39942269529136,33.9346924048349,0,4907,0,0.145284974093264,0.00781643227239082,0.0996535561442837,0.00122274302017526,33775,0.00794782963113919,"109491","86.91%","38,117","51,579",5466,"95,162",-13462,"-16.52%","8.88%","255.40%","0.63%","40.05%","54.20%","5.74%","3.23%",0,0,2,"45,659","47,372","1,538","94,569","48.28%","50.09%","1.63%","3.08%",0,2,182006,137779,176695,24.3,92.2,1.2,1653,88.8,122347,15431,26.4,36374,7.9,74,2.8,58318,277.2,55,43,50294,39677,55087,48.4,0.28,50.2,45565,275.6,47294,40.1,1.14,54.2,38117,1093.2,51579,42229,43933,45429,15,4,3.4,36,"WI","Outagamie County, WI",103226,"    100,032 ",3194,3.1,179139,49.9,50.1,15.5,3.8,88.9,1,2.4,4.5,34,20.3,11.8,19.2,7.7,40.9,0.483871,0.516129,NA,NA,1382210,1409467,1613950,1408746,-8.300003,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-6.051722,-2.248281,100005.8,-402.7317,0,-5.544332,39167.38,1050.379,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10.60315,50391.06,-1187.938,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S M100","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",5.62473926731575,634.928289347651
