,MCD_FIPS,county,muni_county,democrat_votes.perc,republican_votes.perc,other_votes.perc,dem.change.perc,rep.change.perc,oth.change.perc,tch_prop,os_prop,paper_prop,counted_absent_prop,rejected_absent_prop,absentee_person_prop,sameday_reg_prop,turnout_reg_feb,votes.tot2016,inspector_prop,dem.perc2012,rep.perc2012,oth.perc2012,votes.tot2012,pct_hs,inspector_prop_2012,total_ballots,registrants,late_registrants,tch_prop_2012,os_prop_2012,paper_prop_2012,automark_prop_2012,total_ballots_2012,turnout_reg_2012,counted_absent_prop_2012,rejected_absent_prop_2012,absentee_person_prop_2012,registrants_2012,late_registrants_2012,sameday_reg_prop_2012,pop,inc_2015,unemp_rate,pct_graduate,coll_deg_plus25_2013,pct_white,pct_black,pct_latino,pct_male,age_med,house_size_ave,municipality_reprim,votes_rec_cruz_reprim,votes_rec_kasich_reprim,votes_rec_other_reprim,votes_rec_trump_reprim,votes_tot_reprim,votes_perc_cruz_reprim,votes_perc_kasich_reprim,votes_perc_other_reprim,votes_perc_trump_reprim,trump_prim_won_reprim,total_ballots_reprim,tch_prop_reprim,turnout_perc_reprim,sameday_reg_prop_reprim,counted_absent_prop_reprim,rejected_absent_prop_reprim,registrants_reprim,late_registrants_reprim,trump_vote_diff,tch_prop_reprim_diff,municipality_demprim,votes_rec_clinton_demprim,votes_rec_other_demprim,votes_rec_sanders_demprim,votes_tot_demprim,votes_perc_clinton_demprim,votes_perc_other_demprim,votes_perc_sanders_demprim,clinton_prim_won_demprim,total_ballots_demprim,tch_prop_demprim,turnout_perc_demprim,sameday_reg_prop_demprim,counted_absent_prop_demprim,rejected_absent_prop_demprim,registrants_demprim,late_registrants_demprim,Total.Voter.Reg_demprim,TotalTurnout_2016_demprim,clinton_vote_diff,tch_prop_demprim_diff,trump_prim_2012_vote_diff,clinton_prim_2012_vote_diff,tch_prop_2012_reprim_diff,tch_prop_2012_demprim_diff,tch_prop_2012_2016_diff,os_model_off,tch_bmd_model_off,tch_use_off,bmd_use_off,os_use_off,tch_model_off,bmd_model_off,tch_use_off_true,tch_model_off_full,demwinner,demwinner2012,muni.dense
1,5501900100,CLARK,CITY OF ABBOTSFORD CLARK,36.59305994,58.83280757,4.574132492,-4.83764051,1.306727094,3.530913416,0,0,1,0.134674923,0,0.597701149,0.0625,0.538333333,634,0.018575851,41.43070045,57.52608048,1.043219076,671,44.2,0.007429421,646,1200,0.00619195,0,0,1,0,673,0.824754902,0.153046062,0.001485884,0.413461538,816,0.037147103,0.08320951,1582,23413,3.8647343,15.39456662,15.39456662,92.41466498,0,21.30214918,52.46523388,41.6,2.33,CITY OF ABBOTSFORD,138,23,6,146,313,44.08945687,7.348242812,1.916932907,46.64536741,1,90,0,0.12244898,0.002721088,0.233333333,0,735,0.011111111,12.18744016,0,CITY OF ABBOTSFORD,101,0,92,193,52.33160622,0,47.66839378,1,90,0,0.12244898,0.002721088,0.233333333,0,735,0.011111111,16236,83.44%,-15.73854628,0,-10.88071306,10.90090577,0,0,0,ES&S M100,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,0,0,551.0646794
2,5507300100,MARATHON,CITY OF ABBOTSFORD MARATHON,39.18918919,57.43243243,3.378378378,-4.073222158,2.822503354,1.250718804,0,1,1,0.155405405,0,0.826086957,0.175757576,0.896969697,148,0.081081081,43.26241135,54.60992908,2.127659574,141,37.6,0.035211268,148,165,0.013513514,0,0,1,0,284,0.682692308,0.197183099,0,0.25,416,0.035211268,0.126760563,597,32501,1.572327044,1.5625,1.5625,96.31490787,0,37.01842546,45.8961474,49.1,2.64,CITY OF ABBOTSFORD,18,7,3,31,59,30.50847458,11.86440678,5.084745763,52.54237288,1,14,0,0.105263158,0.007518797,0,0,133,0,4.890059551,0,CITY OF ABBOTSFORD,11,0,19,30,36.66666667,0,63.33333333,0,14,0,0.105263158,0.007518797,0,0,133,0,80465,85.56%,2.522522523,0,-2.067556197,-6.595744681,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,152.0781065
3,5500100275,ADAMS,CITY OF ADAMS ADAMS,43.57615894,50.1986755,6.225165563,-18.70454281,12.8553171,5.849225713,0,1,0,0.155263158,0,0.37007874,0.120167189,0.79414838,755,0.022368421,62.28070175,37.3433584,0.37593985,798,42.7,0.016129032,760,957,0.019736842,0,1,0,0,806,0.809236948,0.153846154,0.00248139,0.27480916,996,0.014888337,0.064516129,1660,18198,6.651108518,17.70833333,17.70833333,95.48192771,0.301204819,4.879518072,46.86746988,46.5,2.35,CITY OF ADAMS,83,16,13,140,252,32.93650794,6.349206349,5.158730159,55.55555556,1,113,0,0.121244635,0.005364807,0.150442478,0,932,0,-5.356880059,0,CITY OF ADAMS,130,1,123,254,51.18110236,0.393700787,48.42519685,1,113,0,0.121244635,0.005364807,0.150442478,0,932,0,11892,84.99%,-7.604943422,0,18.21219716,-11.09959939,0,0,0,Optech/Command Central- Eagle,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,0,1,217.6141719
4,5506101000,KEWAUNEE,CITY OF ALGOMA KEWAUNEE,46.95534506,47.09066306,5.953991881,-10.69705442,6.169781087,4.527273334,0.320979484,0.679020516,0,0.326273991,0.00198544,0.765285996,0.062125341,0.823433243,1478,0.011250827,57.65239948,40.92088197,1.426718547,1542,45.6,0.006397953,1511,1835,0.017207148,0.136276392,0.863723608,0,0,1563,0.858319605,0,0.000639795,0.700716846,1821,0.023672425,0.074856046,3131,21398,7.047949162,16.78688525,16.78688525,97.09358033,1.469179176,2.267646119,49.47301182,43.5,2.22,CITY OF ALGOMA,242,51,32,251,576,42.01388889,8.854166667,5.555555556,43.57638889,1,377,0.851458886,0.217793183,0.009243212,0.143236074,0.013262599,1731,0,3.514274169,-0.530479402,CITY OF ALGOMA,283,1,319,603,46.93200663,0.165837479,52.90215589,0,377,0.851458886,0.217793183,0.009243212,0.143236074,0.013262599,1731,0,12568,85.47%,0.023338427,-0.530479402,2.655506917,-10.72039285,0.715182494,0.715182494,0.184703092,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge,1,0,1,Dominion (Sequoia)/Command Central-Edge,NA,0,Dominion (Sequoia)/Command Central-Edge,0,1,483.5838173
5,5501101225,BUFFALO,CITY OF ALMA BUFFALO,41.60756501,53.19148936,5.200945626,-10.39243499,6.524822695,3.867612293,0.829439252,0,0.170560748,0.140186916,0,0.06557377,0.082191781,0.837573386,423,0.011682243,52,46.66666667,1.333333333,450,42,0.011013216,428,511,0.014018692,0.81938326,0,0.18061674,0,454,0.81508079,0.145374449,0.002202643,0.5,557,0.008810573,0.072687225,678,27960,3.966005666,18.49710983,18.49710983,99.11504425,0.884955752,3.687315634,53.09734513,55,1.88,CITY OF ALMA,58,15,2,62,137,42.33576642,10.94890511,1.459854015,45.25547445,1,76,0.934210526,0.149019608,0.003921569,0.052631579,0,510,0.013157895,7.936014909,-0.104771274,CITY OF ALMA,63,0,82,145,43.44827586,0,56.55172414,0,76,0.934210526,0.149019608,0.003921569,0.052631579,0,510,0.013157895,8313,83.26%,-1.84071085,-0.104771274,-1.411192214,-8.551724138,0.114827266,0.114827266,0.010055992,NA,Dominion (Sequoia)/Command Central-Edge,1,0,0,Dominion (Sequoia)/Command Central-Edge,NA,1,Dominion (Sequoia)/Command Central-Edge,0,1,33.01065128
6,5503501550,EAU CLAIRE,CITY OF ALTOONA EAU CLAIRE,47.38493724,44.84832636,7.766736402,-7.900297661,1.363986315,6.536311346,0.028245659,0.971495206,0.000259134,0.399585385,0.000777403,0.771099744,0.114884887,0.879644404,3824,0.011401918,55.2852349,43.48434004,1.230425056,3576,27.1,0.006072316,3859,4387,0.031096139,0.042782225,0.957217775,0,0,3623,0.868200335,0.265801822,0.000276014,0.672502575,4173,0.031189622,0.114269942,7053,27517,3.919716647,23.4807418,23.4807418,92.31532681,0.226853821,0.609669644,49.79441372,36.4,2.48,CITY OF ALTOONA,576,196,40,492,1304,44.17177914,15.03067485,3.067484663,37.73006135,0,613,0.109298532,0.149987766,0.007340347,0.280587276,0,4087,0.013050571,7.11826501,-0.081052872,CITY OF ALTOONA,575,8,828,1411,40.75124026,0.566973777,58.68178597,0,613,0.109298532,0.149987766,0.007340347,0.280587276,0,4087,0.013050571,65486,82.58%,6.633696983,-0.081052872,-5.754278695,-14.53399464,0.066516307,0.066516307,-0.014536565,Optech/Command Central- Eagle,Dominion (Sequoia)/Command Central-Edge,1,0,1,Dominion (Sequoia)/Command Central-Edge,NA,0,Dominion (Sequoia)/Command Central-Edge,1,1,549.8508558
7,5509501725,POLK,CITY OF AMERY POLK,41.90902312,51.82699478,6.263982103,-9.67468729,4.391097344,5.283589946,0.74764322,0,0.25235678,0.250906454,0.002900653,0.449591281,0.129132876,0.860262009,1341,0.007976795,51.58371041,47.43589744,0.980392157,1326,39.2,0.009737828,1379,1603,0.034807832,0.942322097,0,0.057677903,0,1335,0.86970684,0.196254682,0,0.550943396,1535,0.03071161,0.115355805,2865,24632,3.899721448,23.15308454,23.15308454,95.28795812,1.989528796,0.383944154,50.12216405,51.1,2.16,CITY OF AMERY,178,50,20,168,416,42.78846154,12.01923077,4.807692308,40.38461538,0,176,0.693181818,0.117255163,0.004663558,0.301136364,0.022727273,1501,0.028409091,11.4423794,0.054461402,CITY OF AMERY,214,2,173,389,55.01285347,0.514138817,44.47300771,1,176,0.693181818,0.117255163,0.004663558,0.301136364,0.022727273,1501,0.028409091,26328,86.19%,-13.10383035,0.054461402,-7.051282051,3.429143063,-0.249140279,-0.249140279,-0.194678878,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge,1,0,1,Dominion (Sequoia)/Command Central-Edge,NA,0,Dominion (Sequoia)/Command Central-Edge,0,1,286.3159628
8,5506702250,LANGLADE,CITY OF ANTIGO LANGLADE,38.15711754,57.56054341,4.282339043,-9.894466421,7.462421743,2.432044678,0.149898521,0.84981154,0,0.155407364,0.000869817,0.733944954,0.128571429,0.895844156,3386,0.007828356,48.05158396,50.09812167,1.850294365,3567,44.1,0.007510431,3449,3850,0.023195129,0.087621697,0.911543811,0.000834492,0,3595,0.980365421,0.172461752,0.001668985,0.593650794,3667,0.024200278,0.140472879,8001,20110,7.249190939,15.51383399,15.51383399,94.91313586,1.712285964,2.612173478,48.143982,42.2,2.06,CITY OF ANTIGO,581,144,49,670,1444,40.23545706,9.972299169,3.393351801,46.39889197,1,478,0,0.121845526,0.004333418,0.190376569,0,3923,0.029288703,11.16165145,0.149898521,CITY OF ANTIGO,477,5,563,1045,45.64593301,0.4784689,53.87559809,0,478,0,0.121845526,0.004333418,0.190376569,0,3923,0.029288703,11983,84.23%,-7.488815472,0.149898521,-3.699229704,-2.40565095,-0.087621697,-0.087621697,0.062276825,Dominion (Sequoia)/Command Central- Sequoia Insight,Dominion (Sequoia)/Command Central-Edge,1,0,1,Dominion (Sequoia)/Command Central-Edge,NA,0,Dominion (Sequoia)/Command Central-Edge,0,0,488.8165226
9,5501502375,CALUMET,CITY OF APPLETON CALUMET,46.13190731,46.39928699,7.468805704,-5.164421211,-0.73835004,5.902771251,0,1,0,0.267007402,0.000352485,0.787411689,0.10915493,0.868646663,5610,0.016214311,51.29632852,47.13763703,1.566034453,5747,34.5,0.015296367,5674,6532,0.013041946,0,0.999826178,0,0,5753,0.90299796,0.206848601,0.000173822,0.714756801,6371,0.025378064,0.114896576,11260,27663,2.935010482,28.31189711,28.31189711,85.87033748,2.388987567,8.632326821,51.56305506,35.8,2.7,CITY OF APPLETON,1032,270,46,715,2063,50.02423655,13.08773631,2.229762482,34.65826466,0,780,0,0.126767431,0.006500894,0.073076923,0,6153,0.005128205,11.74102232,0,CITY OF APPLETON,755,4,1138,1897,39.79968371,0.210859251,59.98945704,0,780,0,0.126767431,0.006500894,0.073076923,0,6153,0.005128205,30495,86.67%,6.332223597,0,-12.47937236,-11.49664481,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1235.111915
10,5508702375,OUTAGAMIE,CITY OF APPLETON OUTAGAMIE,49.742778,43.37158686,6.88563514,-3.672643628,-0.981413898,4.654057526,0,0.999935388,0.000129224,0.295826064,0.00064612,0.788068242,0.103640529,0.854351246,30324,0.020998902,53.41542163,44.35300076,2.231577615,31592,34,0.018794024,30954,36231,0.017154487,0,0.998799709,0,0,31659,0.895764366,0.246091159,0.000758078,0.706514943,35343,0.028617455,0.116459774,60740,27435,3.308464925,26.49834463,26.49834463,85.70464274,1.997036549,5.179453408,48.8870596,35.8,2.47,CITY OF APPLETON,5525,1533,266,3762,11086,49.83763305,13.82825185,2.399422695,33.9346924,0,4907,0,0.145284974,0.007816432,0.099653556,0.001222743,33775,0.00794783,9.436894457,0,CITY OF APPLETON,4185,26,7508,11719,35.71123816,0.221861934,64.06689991,0,4907,0,0.145284974,0.007816432,0.099653556,0.001222743,33775,0.00794783,109491,86.91%,14.03153984,0,-10.41830835,-17.70418347,0,0,0,ES&S M100,ES&S Automark,0,1,1,NA,ES&S Automark,0,aNone,1,1,1052.40945
