County,,,Muni,HINDI,ward,Voter Count,
ADAMS COUNTY,,,TOWN OF ADAMS - ADAMS COUNTY,01002,Town of Adams - Ward 1,470,
ADAMS COUNTY,,,TOWN OF ADAMS - ADAMS COUNTY,01002,Town of Adams - Ward 2,215,
ADAMS COUNTY,,,TOWN OF ADAMS - ADAMS COUNTY,01002,Town Of Adams - Ward 3,45,
ADAMS COUNTY,,,TOWN OF BIG FLATS - ADAMS COUNTY,01004,Town of Big Flats - Ward 1,204,
ADAMS COUNTY,,,TOWN OF BIG FLATS - ADAMS COUNTY,01004,Town Of Big Flats - Ward 2,356,
ADAMS COUNTY,,,TOWN OF COLBURN - ADAMS COUNTY,01006,Town of Colburn - Ward 1,163,
ADAMS COUNTY,,,TOWN OF DELL PRAIRIE - ADAMS COUNTY,01008,Town of Dell Prairie - Ward 1,284,
ADAMS COUNTY,,,TOWN OF DELL PRAIRIE - ADAMS COUNTY,01008,Town of Dell Prairie - Ward 2,688,
ADAMS COUNTY,,,TOWN OF DELL PRAIRIE - ADAMS COUNTY,01008,Town Of Dell Prairie - Ward 3,121,
ADAMS COUNTY,,,TOWN OF EASTON - ADAMS COUNTY,01010,Town of Easton - Ward 1,320,
ADAMS COUNTY,,,TOWN OF EASTON - ADAMS COUNTY,01010,Town of Easton - Ward 2,260,
ADAMS COUNTY,,,TOWN OF JACKSON - ADAMS COUNTY,01012,Town of Jackson - Ward 1,357,
ADAMS COUNTY,,,TOWN OF JACKSON - ADAMS COUNTY,01012,Town Of Jackson - Ward 2,366,
ADAMS COUNTY,,,TOWN OF LEOLA - ADAMS COUNTY,01014,Town of Leola - Ward 1,171,
ADAMS COUNTY,,,TOWN OF LINCOLN - ADAMS COUNTY,01016,Town of Lincoln - Ward 1,192,
ADAMS COUNTY,,,TOWN OF MONROE - ADAMS COUNTY,01018,Town of Monroe - Ward 1,294,
ADAMS COUNTY,,,TOWN OF NEW CHESTER - ADAMS COUNTY,01020,Town of New Chester - Ward 1,244,
ADAMS COUNTY,,,TOWN OF NEW CHESTER - ADAMS COUNTY,01020,Town of New Chester - Ward 2,255,
ADAMS COUNTY,,,TOWN OF NEW CHESTER - ADAMS COUNTY,01020,Town Of New Chester - Ward 3,44,
ADAMS COUNTY,,,TOWN OF NEW HAVEN - ADAMS COUNTY,01022,Town of New Haven - Ward,443,
ADAMS COUNTY,,,TOWN OF PRESTON - ADAMS COUNTY,01024,Town of Preston - Ward 1,529,
ADAMS COUNTY,,,TOWN OF PRESTON - ADAMS COUNTY,01024,Town of Preston - Ward 2,216,
ADAMS COUNTY,,,TOWN OF QUINCY - ADAMS COUNTY,01026,Town of Quincy - Ward 1,622,
ADAMS COUNTY,,,TOWN OF QUINCY - ADAMS COUNTY,01026,Town of Quincy - Ward 2,123,
ADAMS COUNTY,,,TOWN OF QUINCY - ADAMS COUNTY,01026,Town Of Quincy - Ward 3,77,
ADAMS COUNTY,,,TOWN OF RICHFIELD - ADAMS COUNTY,01028,Town of Richfield - Ward 1,105,
ADAMS COUNTY,,,TOWN OF ROME - ADAMS COUNTY,01030,Town of Rome - Ward 1,436,
ADAMS COUNTY,,,TOWN OF ROME - ADAMS COUNTY,01030,Town of Rome - Ward 2,504,
ADAMS COUNTY,,,TOWN OF ROME - ADAMS COUNTY,01030,Town of Rome - Ward 3,484,
ADAMS COUNTY,,,TOWN OF ROME - ADAMS COUNTY,01030,Town of Rome - Ward 4,431,
ADAMS COUNTY,,,TOWN OF ROME - ADAMS COUNTY,01030,Town of Rome - Ward 5,500,
ADAMS COUNTY,,,TOWN OF SPRINGVILLE - ADAMS COUNTY,01032,Town of Springville - Ward 1,211,
ADAMS COUNTY,,,TOWN OF SPRINGVILLE - ADAMS COUNTY,01032,Town of Springville - Ward 2,494,
ADAMS COUNTY,,,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,01034,Town of Strongs Prairie - Ward 1,348,
ADAMS COUNTY,,,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,01034,Town of Strongs Prairie - Ward 2,339,
ADAMS COUNTY,,,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,01034,Town Of Strongs Prairie - Ward 3,95,
ADAMS COUNTY,,,VILLAGE OF FRIENDSHIP - ADAMS COUNTY,01126,Town Of Strongs Prairie - Ward 3,1,
ADAMS COUNTY,,,VILLAGE OF FRIENDSHIP - ADAMS COUNTY,01126,Village of Friendship - Ward 1,385,
ADAMS COUNTY,,,CITY OF ADAMS - ADAMS COUNTY,01201,City of Adams - Ward 1,298,
ADAMS COUNTY,,,CITY OF ADAMS - ADAMS COUNTY,01201,City of Adams - Ward 2,379,
ADAMS COUNTY,,,CITY OF ADAMS - ADAMS COUNTY,01201,City of Adams - Ward 3,184,
ADAMS COUNTY,,,CITY OF ADAMS - ADAMS COUNTY,01201,City of Adams - Ward 4,203,
ASHLAND COUNTY,,,TOWN OF AGENDA - ASHLAND COUNTY,02002,Town of Agenda - Ward 1,279,
ASHLAND COUNTY,,,TOWN OF ASHLAND - ASHLAND COUNTY,02004,Town of Ashland - Ward 1,355,
