"","X","muni_county","democrat_votes.rec","democrat_votes.perc","other_votes.rec","votes.tot2016","other_votes.perc","voters.tot2016","republican_votes.rec","republican_votes.perc","democrat_votes.rec2012","other_votes.rec2012","votes.tot2012","republican_votes.rec2012","turnout.2012","dem.perc2012","rep.perc2012","oth.perc2012","dem.change.num","rep.change.num","oth.change.num","dem.change.perc","rep.change.perc","oth.change.perc","turnout.2016.perc","turnout.change.perc","demwinner","demwinner2012","county","municipality","reporting_unit","county_use_opt_scan","county_machine_vendor_dealer","machine.vendor.dealer.model","accessible.vendor.dealer.model","muni_county_veri_mach_agreed","bmd_makedominion_voting_systems","bmd_makeelection_systems_software","bmd_makenot_applicable","bmd_makepopulex","bmd_makepremier_diebold_dominion","bmd_makesequoia_dominion","bmd_makevote_pad","bmd_modelaccuvote_os","bmd_modelaccuvote_tsx","bmd_modelautomark","bmd_modelavc_edge","bmd_modelds200","bmd_modelexpressvote","bmd_modelimagecast_evolution","bmd_modelimagecast_precinct","bmd_modelivotronic","bmd_modelmodel_100","bmd_modelnot_applicable","bmd_modeloptech_iiip_eagle","bmd_modeloptech_insight","bmd_modelpopulexslate","bmd_modelvote_pad_ballot_marking_system","bmd_accessible_useno","bmd_accessible_useyes","bmd_absentee_ballotsno","bmd_absentee_ballotsyes","bmd_vvpatn_a","bmd_vvpatyes","hand_accessible_useno","hand_accessible_useyes","hand_absentee_ballotsno","hand_absentee_ballotsyes","hand_vvpatn_a","hand_vvpatyes","os_makedominion_voting_systems","os_makeelection_systems_software","os_makenot_applicable","os_makepopulex","os_makepremier_diebold_dominion","os_makesequoia_dominion","os_makevote_pad","os_modelaccuvote_os","os_modelaccuvote_tsx","os_modelautomark","os_modelavc_edge","os_modelds200","os_modelexpressvote","os_modelimagecast_evolution","os_modelimagecast_precinct","os_modelivotronic","os_modelmodel_100","os_modelnot_applicable","os_modeloptech_iiip_eagle","os_modeloptech_insight","os_modelpopulexslate","os_modelvote_pad_ballot_marking_system","os_accessible_useno","os_accessible_useyes","os_absentee_ballotsno","os_absentee_ballotsyes","os_vvpatn_a","os_vvpatyes","tch_makedominion_voting_systems","tch_makeelection_systems_software","tch_makenot_applicable","tch_makepopulex","tch_makepremier_diebold_dominion","tch_makesequoia_dominion","tch_makevote_pad","tch_modelaccuvote_os","tch_modelaccuvote_tsx","tch_modelautomark","tch_modelavc_edge","tch_modelds200","tch_modelexpressvote","tch_modelimagecast_evolution","tch_modelimagecast_precinct","tch_modelivotronic","tch_modelmodel_100","tch_modelnot_applicable","tch_modeloptech_iiip_eagle","tch_modeloptech_insight","tch_modelpopulexslate","tch_modelvote_pad_ballot_marking_system","tch_accessible_useno","tch_accessible_useyes","tch_absentee_ballotsno","tch_absentee_ballotsyes","tch_vvpatn_a","tch_vvpatyes","MCD_FIPS","precincts","total_registration","state","jurisdiction","division","equipment_type","polling_place","habitation","municipality.1","county.1","hand","os.use","tch.use","bmd.use"
"1",1,"CITY OF ABBOTSFORD CLARK",232,36.5930599369085,29,634,4.57413249211356,778,373,58.8328075709779,278,7,671,386,86.2467866323908,41.4307004470939,57.5260804769002,1.04321907600596,-46,-13,22,-4.83764051018537,1.30672709407776,3.5309134161076,81.4910025706941,-4.75578406169667,0,0,"CLARK","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARDS 2-5",1,"ES&S","ES&S M100","ES&S Automark","CITY OF ABBOTSFORD CLARK",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5501900100,1,775,"Wisconsin","Clark City","Abbotsford","Ballot Marking Device or System","Yes","City","CITY OF ABBOTSFORD","CLARK",0,1,0,1
"2",2,"CITY OF ABBOTSFORD MARATHON",58,39.1891891891892,5,148,3.37837837837838,170,85,57.4324324324324,61,3,141,77,82.9411764705882,43.2624113475177,54.6099290780142,2.12765957446809,-3,8,2,-4.07322215832855,2.82250335441825,1.25071880391029,87.0588235294118,4.11764705882352,0,0,"MARATHON","CITY OF ABBOTSFORD","CITY OF ABBOTSFORD WARD 1",0,NA,NA,NA,"CITY OF ABBOTSFORD CLARK",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5507300100,1,775,"Wisconsin","Clark City","Abbotsford","Ballot Marking Device or System","Yes","City","CITY OF ABBOTSFORD","CLARK",0,1,0,1
"3",3,"CITY OF ADAMS ADAMS",329,43.5761589403974,47,755,6.22516556291391,1064,379,50.1986754966887,497,3,798,298,75,62.280701754386,37.34335839599,0.37593984962406,-168,81,44,-18.7045428139886,12.8553171006988,5.84922571328985,70.9586466165414,-4.04135338345864,0,1,"ADAMS","CITY OF ADAMS","CITY OF ADAMS WARD 1-4",1,"Optech","Optech/Command Central- Eagle","ES&S Automark","CITY OF ADAMS ADAMS",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500100275,1,971,"Wisconsin","Adams City","Adams","Ballot Marking Device or System","Yes","City","CITY OF ADAMS","ADAMS",0,1,0,1
"4",4,"CITY OF ALGOMA KEWAUNEE",694,46.9553450608931,88,1478,5.95399188092016,1855,696,47.0906630581867,889,22,1542,631,83.1266846361186,57.6523994811932,40.9208819714656,1.42671854734112,-195,65,66,-10.6970544203001,6.16978108672111,4.52727333357905,79.6765498652291,-3.45013477088949,0,1,"KEWAUNEE","CITY OF ALGOMA","CITY OF ALGOMA WARD 1-6",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF ALGOMA KEWAUNEE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5506101000,1,1849,"Wisconsin","Kewaunee City","Algoma","DRE-Touchscreen","Yes","City","CITY OF ALGOMA","KEWAUNEE",0,1,1,0
"5",5,"CITY OF ALMA BUFFALO",176,41.6075650118203,22,423,5.20094562647754,551,225,53.1914893617021,234,6,450,210,81.6696914700544,52,46.6666666666667,1.33333333333333,-58,15,16,-10.3924349881797,6.52482269503546,3.86761229314421,76.7695099818512,-4.90018148820326,0,1,"BUFFALO","CITY OF ALMA","CITY OF ALMA WARDS 1-2",0,NA,NA,NA,"CITY OF ALMA BUFFALO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5501101225,1,511,"Wisconsin","Buffalo City","Alma","DRE-Touchscreen","Yes","City","CITY OF ALMA","BUFFALO",1,0,1,0
"6",6,"CITY OF ALTOONA EAU CLAIRE",1812,47.3849372384937,297,3824,7.76673640167364,4896,1715,44.8483263598326,1977,44,3576,1555,73.0392156862745,55.2852348993289,43.4843400447427,1.23042505592841,-165,160,253,-7.90029766083514,1.3639863150899,6.53631134574523,78.1045751633987,5.06535947712419,1,1,"EAU CLAIRE","CITY OF ALTOONA","CITY OF ALTOONA WARDS 1-11",1,"Optech","Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge","CITY OF ALTOONA EAU CLAIRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5503501550,1,4495,"Wisconsin","Eau Claire City","Altoona","DRE-Touchscreen","Yes","City","CITY OF ALTOONA","EAU CLAIRE",0,1,1,0
"7",7,"CITY OF AMERY POLK",562,41.9090231170768,84,1341,6.26398210290828,1646,695,51.8269947800149,684,13,1326,629,80.5589307411908,51.5837104072398,47.4358974358974,0.980392156862745,-122,66,71,-9.67468729016301,4.39109734411748,5.28358994604553,81.4702308626974,0.911300121506684,0,1,"POLK","CITY OF AMERY","CITY OF AMERY WARDS 1-5",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF AMERY POLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5509501725,1,1642,"Wisconsin","Polk City","Amery","Optical Scan","Yes","City","CITY OF AMERY","POLK",0,1,1,0
"8",8,"CITY OF ANTIGO LANGLADE",1292,38.1571175428234,145,3386,4.28233904311872,4432,1949,57.5605434140579,1714,66,3567,1787,80.4828519855596,48.0515839641155,50.0981216708719,1.85029436501262,-422,162,79,-9.89446642129212,7.46242174318601,2.43204467810611,76.398916967509,-4.08393501805054,0,0,"LANGLADE","CITY OF ANTIGO","CITY OF ANTIGO WARD 1",1,"Dominion","Dominion (Sequoia)/Command Central- Sequoia Insight","Dominion (Sequoia)/Command Central-Edge","CITY OF ANTIGO LANGLADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5506702250,9,4136,"Wisconsin","Langlade City","Antigo","DRE-Touchscreen","Yes","City","CITY OF ANTIGO","LANGLADE",0,1,1,0
"9",9,"CITY OF APPLETON CALUMET",2588,46.1319073083779,419,5610,7.46880570409982,6529,2603,46.3992869875223,2948,90,5747,2709,88.0226680961862,51.2963285192274,47.1376370280146,1.56603445275796,-360,-106,329,-5.16442121084952,-0.738350040492335,5.90277125134186,85.9243375708378,-2.09833052534843,0,1,"CALUMET","CITY OF APPLETON","CITY OF APPLETON WARD 12",0,NA,NA,NA,"CITY OF APPLETON OUTAGAMIE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5501502375,59,36180,"Wisconsin","Outagamie City","Appleton","Ballot Marking Device or System","Yes","City","CITY OF APPLETON","OUTAGAMIE",0,1,0,1
"10",10,"CITY OF APPLETON OUTAGAMIE",15084,49.7427779976256,2088,30324,6.88563514048279,36645,13152,43.3715868618916,16875,705,31592,14012,86.210942829854,53.415421625728,44.353000759686,2.23157761458597,-1791,-860,1383,-3.67264362810239,-0.981413897794425,4.65405752589681,82.7507163323782,-3.46022649747577,1,1,"OUTAGAMIE","CITY OF APPLETON","CITY OF APPLETON WARD 1",1,"ES&S","ES&S M100","ES&S Automark","CITY OF APPLETON OUTAGAMIE",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5508702375,59,36180,"Wisconsin","Outagamie City","Appleton","Ballot Marking Device or System","Yes","City","CITY OF APPLETON","OUTAGAMIE",0,1,0,1
