County Name,Municipality Name,Reporting Unit,Original or recount,Total Votes,Donald J. Trump / Michael R. Pence,Hillary Clinton / Tim Kaine,Darrell L. Castle / Scott N. Bradley,Gary Johnson / Bill Weld,Jill Stein / Ajamu Baraka,Monica Moorehead / Lamont Lilly,Rocky Roque De La Fuente / Michael Steinberg,Cherunda Fox / Roger Kushner (write-in),Evan McMullin / Nathan Johnson (write-in),Michael A. Maturen / Juan Munoz (write-in),Marshall Schoenke / James Creighton Mitchell Jr. (write-in),Chris Keniston / Deacon Taylor (write-in),Laurence Kotlikoff / Edward E. Leamer (write-in),Tom Hoefling / Steve Schulin (write-in),Joseph Maldonado (write-in),Emidio Soltysik / Angela Nicole Walker (write-in),SCATTERING
ADAMS ,TOWN OF ADAMS,TOWN OF ADAMS Wards 1-3,Original,618,377,207,3,22,4,1,0,0,3,0,0,0,0,0,0,0,1
ADAMS ,TOWN OF BIG FLATS,TOWN OF BIG FLATS Ward 1-2,Original,490,300,169,4,10,4,0,0,0,0,0,0,0,0,0,0,0,3
ADAMS ,TOWN OF COLBURN,TOWN OF COLBURN Ward 1,Original,130,85,42,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF DELL PRAIRIE,TOWN OF DELL PRAIRIE Ward 1-3,Original,826,478,303,3,27,10,1,0,0,1,0,0,0,0,0,0,0,3
ADAMS ,TOWN OF EASTON,TOWN OF EASTON Wards 1-2,Original,519,334,169,5,6,1,0,0,0,1,0,0,0,0,0,0,0,3
ADAMS ,TOWN OF JACKSON,TOWN OF JACKSON Ward 1-2,Original,562,312,224,0,15,3,0,0,0,3,0,0,0,0,0,0,0,5
ADAMS ,TOWN OF LEOLA,TOWN OF LEOLA Ward 1,Original,138,117,18,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF LINCOLN,TOWN OF LINCOLN Ward 1,Original,181,98,77,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF MONROE,TOWN OF MONROE Ward 1,Original,237,129,102,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF NEW CHESTER,TOWN OF NEW CHESTER Ward 1-3,Original,401,247,138,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1
ADAMS ,TOWN OF NEW HAVEN,TOWN OF NEW HAVEN Ward 1,Original,340,177,145,3,9,4,0,0,0,0,0,0,0,0,0,0,0,2
ADAMS ,TOWN OF PRESTON,TOWN OF PRESTON Ward 1-2,Original,694,397,270,3,9,10,0,1,0,1,0,0,0,0,0,0,0,3
ADAMS ,TOWN OF QUINCY,TOWN OF QUINCY Ward 1-3,Original,652,358,272,3,12,6,1,0,0,0,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF RICHFIELD,TOWN OF RICHFIELD Ward 1,Original,86,56,27,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
ADAMS ,TOWN OF ROME,TOWN OF ROME Ward 1-5,Original,1961,1174,719,8,33,13,0,0,0,0,0,0,0,0,0,0,0,14
ADAMS ,TOWN OF SPRINGVILLE,TOWN OF SPRINGVILLE Ward 1-2,Original,657,418,223,1,1,8,2,0,0,0,0,0,0,0,0,0,0,4
ADAMS ,TOWN OF STRONGS PRAIRIE,TOWN OF STRONGS PRAIRIE Wards 1-3,Original,610,378,212,2,11,6,0,0,0,0,0,0,0,0,0,0,0,1
ADAMS ,VILLAGE OF FRIENDSHIP,VILLAGE OF FRIENDSHIP Ward 1,Original,285,155,117,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS ,CITY OF ADAMS,CITY OF ADAMS Ward 1-4,Original,755,379,329,6,16,6,2,1,0,4,0,0,0,0,0,0,0,12
ADAMS ,CITY OF WISCONSIN DELLS,"CITY OF WISCONSIN DELLS Wards 5,9",Original,22,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHLAND ,TOWN OF AGENDA,TOWN OF AGENDA Ward 1,Original,227,151,68,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
ASHLAND ,TOWN OF ASHLAND,TOWN OF ASHLAND Ward 1,Original,312,147,145,1,8,7,1,0,0,0,0,0,0,0,0,0,0,3
ASHLAND ,TOWN OF CHIPPEWA,TOWN OF CHIPPEWA Ward 1,Original,211,126,75,1,4,1,0,1,0,0,0,0,0,0,0,0,0,3
ASHLAND ,TOWN OF GINGLES,TOWN OF GINGLES Ward 1,Original,430,198,211,3,5,9,0,0,0,0,0,0,0,0,0,0,0,4
ASHLAND ,TOWN OF GORDON,TOWN OF GORDON Wards 1-2,Original,149,94,49,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0
ASHLAND ,TOWN OF JACOBS,TOWN OF JACOBS Ward 1,Original,334,204,120,0,6,1,0,0,0,2,0,0,0,0,0,0,0,1
ASHLAND ,TOWN OF LA POINTE,TOWN OF LA POINTE Ward 1,Original,242,52,159,0,8,17,0,1,0,3,0,0,0,0,0,0,0,2
ASHLAND ,TOWN OF MARENGO,TOWN OF MARENGO Wards 1-2,Original,212,101,92,0,8,5,0,1,0,3,0,0,0,0,0,0,0,2
ASHLAND ,TOWN OF MORSE,TOWN OF MORSE Wards 1-3,Original,297,139,150,0,2,1,1,0,0,2,0,0,0,0,0,0,0,2
ASHLAND ,TOWN OF PEEKSVILLE,TOWN OF PEEKSVILLE Wards 1-2,Original,95,52,33,1,4,3,0,0,0,1,0,0,0,0,0,0,0,1
ASHLAND ,TOWN OF SANBORN,TOWN OF SANBORN Wards 1-2,Original,496,72,399,2,6,11,1,0,0,0,0,0,0,0,0,0,0,5
ASHLAND ,TOWN OF SHANAGOLDEN,TOWN OF SHANAGOLDEN Ward 1,Original,63,32,28,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ASHLAND ,TOWN OF WHITE RIVER,TOWN OF WHITE RIVER Wards 1-2,Original,463,308,128,4,6,14,0,0,0,1,0,0,0,0,0,0,0,2
ASHLAND ,VILLAGE OF BUTTERNUT,VILLAGE OF BUTTERNUT Wards 1-2,Original,177,84,86,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 1,Original,476,238,213,1,12,5,0,0,0,0,0,0,0,0,0,0,0,7
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 2,Original,270,91,158,0,11,2,3,0,0,0,0,0,0,0,0,0,0,5
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 3,Original,320,107,201,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 4,Original,450,164,258,1,17,5,0,0,0,0,0,0,0,0,0,0,0,5
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 5,Original,396,100,271,2,10,3,0,0,0,0,0,0,0,0,0,0,0,10
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 6,Original,307,93,193,0,5,10,1,1,0,0,0,0,0,0,0,0,0,4
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 7,Original,476,116,303,0,14,32,1,0,0,0,0,0,0,0,0,0,0,10
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 8,Original,321,106,184,1,15,7,0,4,0,0,0,0,0,0,0,0,0,4
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 9,Original,287,88,175,3,6,11,1,0,0,0,0,0,0,0,0,0,0,3
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 10,Original,340,136,190,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
ASHLAND ,CITY OF ASHLAND,CITY OF ASHLAND Ward 11,Original,382,151,200,0,11,10,1,0,0,0,0,0,0,0,0,0,0,9
ASHLAND ,CITY OF MELLEN,CITY OF MELLEN Ward 1,Original,296,152,139,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRON ,TOWN OF ALMENA,TOWN OF ALMENA Ward 1-2,Original,483,306,148,4,21,1,0,0,0,3,0,0,0,0,0,0,0,0
BARRON ,TOWN OF ARLAND,TOWN OF ARLAND Ward 1,Original,317,180,107,4,19,7,0,0,0,0,0,0,0,0,0,0,0,0
